Date,Open,High,Low,Close,Adj Close,Volume
20100104,112.370003,113.389999,111.510002,113.330002,90.790062,118944600
20100105,113.260002,113.68,112.849998,113.629997,91.030411,111579900
20100106,113.519997,113.989998,113.43,113.709999,91.09449,116074400
20100107,113.5,114.330002,113.18,114.190002,91.47905,131091100
20100108,113.889999,114.620003,113.660004,114.57,91.783432,126402800
20100111,115.080002,115.129997,114.239998,114.730003,91.911636,106375700
20100112,113.970001,114.209999,113.220001,113.660004,91.054436,163333500
20100113,113.949997,114.940002,113.370003,114.620003,91.823486,161822000
20100114,114.489998,115.139999,114.419998,114.93,92.071815,115718800
20100115,114.730003,114.839996,113.199997,113.639999,91.038422,212283100
20100119,113.620003,115.129997,113.589996,115.059998,92.175987,139172700
20100120,114.279999,114.449997,112.980003,113.889999,91.238701,216490200
20100121,113.919998,114.269997,111.559998,111.699997,89.484276,344859600
20100122,111.199997,111.739998,109.089996,109.209999,87.489502,345942400
20100125,110.209999,110.410004,109.410004,109.769997,87.938095,186937500
20100126,109.339996,110.470001,109.040001,109.309998,87.56958,211168800
20100127,109.169998,110.080002,108.330002,109.830002,87.986176,271863600
20100128,110.190002,110.25,107.910004,108.57,86.976791,316104000
20100129,109.040001,109.800003,107.220001,107.389999,86.031456,310677600
20100201,108.150002,109.07,107.5,109.059998,87.369308,187865000
20100202,109.260002,110.589996,108.879997,110.379997,88.426773,216327900
20100203,109.879997,110.480003,109.510002,109.830002,87.986176,172730700
20100204,108.980003,109.029999,106.419998,106.440002,85.270409,356715700
20100205,106.559998,106.879997,104.580002,106.660004,85.446671,493585800
20100208,106.739998,107.330002,105.809998,105.889999,84.829781,224166900
20100209,107.129997,108.150002,106.269997,107.220001,85.895248,337820500
20100210,107.050003,107.599998,106.110001,107.010002,85.727058,240511500
20100211,106.870003,108.25,106.25,108.129997,86.624275,223591600
20100212,106.989998,108.099998,106.510002,108.040001,86.552162,304622100
20100216,108.860001,109.849998,107.82,109.739998,87.914093,159317500
20100217,110.269997,110.410004,109.739998,110.260002,88.33065,168845100
20100218,110.080002,111.139999,110.040001,110.910004,88.851387,193708600
20100219,110.620003,111.57,110.360001,111.139999,89.035637,222684900
20100222,111.550003,111.580002,110.830002,111.160004,89.051666,132346900
20100223,110.860001,111.199997,109.519997,109.809998,87.970154,207497000
20100224,110.139999,111,109.860001,110.82,88.779274,176350700
