,Dates,High,Low,Last
0,2011-03-01,81.75,80.93,81.74
1,2011-04-01,82.28,81.61,82.04
2,2011-05-01,83.38,81.89,83.25
3,2011-06-01,83.4,82.88,83.33
4,2011-07-01,83.68,82.86,83.15
5,2011-10-01,83.29,82.67,82.71
6,2011-11-01,83.49,82.68,83.24
7,2011-12-01,83.47,82.81,83.0
8,2011-01-13,83.15,82.55,82.81
9,2011-01-14,83.07,82.41,82.87
10,2011-01-17,83.01,82.35,82.68
11,2011-01-18,82.83,82.34,82.56
12,2011-01-19,82.69,81.85,82.02
13,2011-01-20,83.13,82.01,83.01
14,2011-01-21,83.09,82.53,82.57
15,2011-01-24,82.92,82.31,82.53
16,2011-01-25,82.67,81.98,82.25
17,2011-01-26,82.61,81.98,82.17
18,2011-01-27,83.22,82.02,82.92
19,2011-01-28,82.93,81.99,82.12
20,2011-01-31,82.26,81.78,82.04
21,2011-01-02,82.15,81.31,81.35
22,2011-02-02,81.86,81.35,81.55
23,2011-03-02,82.06,81.41,81.63
24,2011-04-02,82.47,81.13,82.18
25,2011-07-02,82.47,82.16,82.33
26,2011-08-02,82.42,81.78,82.36
27,2011-09-02,82.67,82.2,82.36
28,2011-10-02,83.37,82.34,83.23
29,2011-11-02,83.68,83.21,83.43
30,2011-02-14,83.57,83.1,83.32
31,2011-02-15,83.92,83.2,83.77
32,2011-02-16,83.98,83.5,83.68
33,2011-02-17,83.75,83.16,83.31
34,2011-02-18,83.53,83.03,83.18
35,2011-02-21,83.27,83.02,83.14
36,2011-02-22,83.54,82.58,82.77
37,2011-02-23,82.89,82.32,82.51
38,2011-02-24,82.52,81.63,81.89
39,2011-02-25,82.07,81.64,81.68
40,2011-02-28,81.98,81.62,81.78
41,2011-01-03,82.24,81.74,81.86
42,2011-02-03,82.11,81.57,81.87
43,2011-03-03,82.52,81.73,82.45
44,2011-04-03,83.07,82.21,82.32
45,2011-07-03,82.4,81.95,82.24
46,2011-08-03,82.86,82.21,82.67
47,2011-09-03,82.94,82.58,82.74
48,2011-10-03,83.17,82.7,82.98
49,2011-11-03,83.3,81.66,81.84
50,2011-03-14,82.45,80.62,81.63
51,2011-03-15,82.01,80.61,80.72
52,2011-03-16,81.17,79.57,79.59
53,2011-03-17,79.75,76.25,78.89
54,2011-03-18,81.99,78.83,80.58
55,2011-03-21,81.32,80.69,81.03
56,2011-03-22,81.29,80.85,80.97
57,2011-03-23,81.07,80.7,80.92
58,2011-03-24,81.06,80.77,80.97
59,2011-03-25,81.49,80.87,81.34
60,2011-03-28,81.85,81.31,81.69
61,2011-03-29,82.48,81.55,82.48
62,2011-03-30,83.18,82.37,82.89
63,2011-03-31,83.22,82.57,83.13
64,2011-01-04,84.73,83.13,84.06
65,2011-04-04,84.38,83.86,84.06
66,2011-05-04,84.88,84.03,84.87
67,2011-06-04,85.53,84.84,85.49
68,2011-07-04,85.5,84.59,84.91
69,2011-08-04,85.39,84.68,84.76
70,2011-11-04,85.16,84.51,84.6
71,2011-12-04,84.79,83.47,83.58
72,2011-04-13,84.26,83.51,83.84
73,2011-04-14,83.94,82.96,83.5
74,2011-04-15,83.78,82.96,83.13
75,2011-04-18,83.27,82.19,82.66
76,2011-04-19,82.76,82.32,82.59
77,2011-04-20,83.1,82.26,82.56
78,2011-04-21,82.6,81.62,81.85
79,2011-04-22,82.11,81.67,81.88
80,2011-04-25,82.43,81.67,81.83
81,2011-04-26,81.98,81.49,81.55
82,2011-04-27,82.79,81.27,82.16
83,2011-04-28,82.28,81.4,81.54
84,2011-04-29,81.66,81.05,81.19
85,2011-02-05,81.69,81.0,81.23
86,2011-03-05,81.28,80.7,80.94
87,2011-04-05,81.19,80.44,80.61
88,2011-05-05,80.69,79.57,80.07
89,2011-06-05,80.94,80.06,80.63
90,2011-09-05,80.85,80.19,80.36
91,2011-10-05,80.91,80.16,80.88
92,2011-11-05,81.33,80.62,81.05
93,2011-12-05,81.34,80.71,80.94
94,2011-05-13,81.09,80.34,80.8
95,2011-05-16,81.07,80.64,80.79
96,2011-05-17,81.77,80.74,81.42
97,2011-05-18,81.73,80.94,81.68
98,2011-05-19,82.23,81.47,81.61
99,2011-05-20,81.87,81.48,81.7
100,2011-05-23,82.04,81.32,82.01
101,2011-05-24,82.21,81.62,81.95
102,2011-05-25,82.17,81.8,81.97
103,2011-05-26,82.09,81.16,81.29
104,2011-05-27,81.42,80.7,80.8
105,2011-05-30,81.02,80.72,80.94
106,2011-05-31,81.77,80.72,81.52
107,2011-01-06,81.57,80.68,80.95
108,2011-02-06,81.33,80.57,80.9
109,2011-03-06,81.01,80.05,80.34
110,2011-06-06,80.4,79.98,80.1
111,2011-07-06,80.33,79.98,80.09
112,2011-08-06,80.28,79.7,79.89
113,2011-09-06,80.42,79.84,80.36
114,2011-10-06,80.47,79.97,80.32
115,2011-06-13,80.69,80.12,80.24
116,2011-06-14,80.63,80.09,80.49
117,2011-06-15,81.06,80.38,80.96
118,2011-06-16,81.06,80.49,80.63
119,2011-06-17,80.68,80.01,80.05
120,2011-06-20,80.37,80.03,80.25
121,2011-06-21,80.35,80.05,80.21
122,2011-06-22,80.39,80.02,80.29
123,2011-06-23,80.8,80.29,80.51
124,2011-06-24,80.61,80.14,80.43
125,2011-06-27,80.98,80.29,80.89
126,2011-06-28,81.27,80.66,81.12
127,2011-06-29,81.19,80.56,80.78
128,2011-06-30,80.87,80.27,80.56
129,2011-01-07,81.15,80.5,80.83
130,2011-04-07,80.97,80.54,80.8
131,2011-05-07,81.19,80.71,81.07
132,2011-06-07,81.12,80.77,80.91
133,2011-07-07,81.41,80.8,81.25
134,2011-08-07,81.48,80.5,80.64
135,2011-11-07,80.83,80.11,80.26
136,2011-12-07,80.38,79.17,79.24
137,2011-07-13,79.58,78.5,78.98
138,2011-07-14,79.61,78.47,79.14
139,2011-07-15,79.28,78.89,79.13
140,2011-07-18,79.3,78.95,79.04
141,2011-07-19,79.28,78.82,79.18
142,2011-07-20,79.32,78.71,78.78
143,2011-07-21,79.03,78.29,78.3
144,2011-07-22,78.73,78.22,78.54
145,2011-07-25,78.56,78.06,78.29
