Date,Expiry,Strike Price,best_bid,best_offer,Settle Price,futures_price
20130830,20150117,320,0.9,2,1.45,851.6630976
20130830,20150117,340,0.15,2.3,1.225,851.6630976
20130830,20150117,350,0.8,2.45,1.625,851.6630976
20130830,20150117,360,0.6,2.65,1.625,851.6630976
20130830,20150117,370,0.65,2.85,1.75,851.6630976
20130830,20150117,380,1.2,3,2.1,851.6630976
20130830,20150117,390,1.1,3.3,2.2,851.6630976
20130830,20150117,400,1.4,3.6,2.5,851.6630976
20130830,20150117,410,1.7,3.6,2.65,851.6630976
20130830,20150117,420,2.05,4,3.025,851.6630976
20130830,20150117,430,2.45,4.5,3.475,851.6630976
20130830,20150117,440,2.8,5,3.9,851.6630976
20130830,20150117,450,3.2,5,4.1,851.6630976
20130830,20150117,460,3.5,6,4.75,851.6630976
20130830,20150117,470,4,6.8,5.4,851.6630976
20130830,20150117,480,4.5,7.4,5.95,851.6630976
20130830,20150117,490,5.2,8,6.6,851.6630976
20130830,20150117,500,7.1,8.9,8,851.6630976
20130830,20150117,510,6.8,9.4,8.1,851.6630976
20130830,20150117,520,7.7,10.7,9.2,851.6630976
20130830,20150117,530,9.8,11.2,10.5,851.6630976
20130830,20150117,540,9.7,12.5,11.1,851.6630976
20130830,20150117,550,10.8,13.4,12.1,851.6630976
20130830,20150117,560,12,14.7,13.35,851.6630976
20130830,20150117,570,13.3,16,14.65,851.6630976
20130830,20150117,580,14.7,17.4,16.05,851.6630976
20130830,20150117,590,17.5,18.4,17.95,851.6630976
20130830,20150117,600,19,19.9,19.45,851.6630976
20130830,20150117,610,20.7,21.8,21.25,851.6630976
20130830,20150117,620,22.2,23.8,23,851.6630976
20130830,20150117,630,24.2,25.1,24.65,851.6630976
20130830,20150117,640,26.4,27.2,26.8,851.6630976
20130830,20150117,650,28.5,29.3,28.9,851.6630976
20130830,20150117,660,30.7,32,31.35,851.6630976
20130830,20150117,670,33.4,34.3,33.85,851.6630976
20130830,20150117,680,35.8,37.2,36.5,851.6630976
20130830,20150117,690,38.4,39.6,39,851.6630976
20130830,20150117,700,41.5,42.4,41.95,851.6630976
20130830,20150117,710,44.5,45.5,45,851.6630976
20130830,20150117,720,47.5,48.8,48.15,851.6630976
20130830,20150117,730,51,52.4,51.7,851.6630976
20130830,20150117,735,52.7,53.6,53.15,851.6630976
20130830,20150117,740,54.3,55.3,54.8,851.6630976
20130830,20150117,745,55.6,57.3,56.45,851.6630976
20130830,20150117,750,57.4,58.9,58.15,851.6630976
20130830,20150117,755,59.9,61.3,60.6,851.6630976
20130830,20150117,760,61.4,62.9,62.15,851.6630976
20130830,20150117,765,63.3,64.6,63.95,851.6630976
20130830,20150117,770,65.5,66.8,66.15,851.6630976
20130830,20150117,775,67.3,68.6,67.95,851.6630976
20130830,20150117,780,69.6,70.7,70.15,851.6630976
20130830,20150117,785,71.3,74,72.65,851.6630976
20130830,20150117,790,73.9,74.9,74.4,851.6630976
20130830,20150117,795,75.8,77,76.4,851.6630976
20130830,20150117,800,78,80,79,851.6630976
20130830,20150117,805,80.5,81.5,81,851.6630976
20130830,20150117,810,82.2,84.5,83.35,851.6630976
20130830,20150117,815,84.9,86.5,85.7,851.6630976
20130830,20150117,820,87.2,88.6,87.9,851.6630976
20130830,20150117,825,89.3,91.8,90.55,851.6630976
20130830,20150117,830,92.3,93.2,92.75,851.6630976
20130830,20150117,835,94.4,95.8,95.1,851.6630976
20130830,20150117,840,97.1,98.3,97.7,851.6630976
20130830,20150117,845,99.9,100.9,100.4,851.6630976
20130830,20150117,850,101.8,104,102.9,851.6630976
20130830,20150117,855,104.8,106.1,105.45,851.6630976
20130830,20150117,860,107.2,110.1,108.65,851.6630976
20130830,20150117,865,110.5,112.2,111.35,851.6630976
20130830,20150117,870,112.8,114.4,113.6,851.6630976
20130830,20150117,875,116.1,117.3,116.7,851.6630976
20130830,20150117,880,119,120.1,119.55,851.6630976
20130830,20150117,885,121.7,123.7,122.7,851.6630976
20130830,20150117,890,124.5,126.7,125.6,851.6630976
20130830,20150117,895,127.7,128.9,128.3,851.6630976
20130830,20150117,900,130.7,132.1,131.4,851.6630976
20130830,20150117,910,136.6,139,137.8,851.6630976
20130830,20150117,920,143,144.7,143.85,851.6630976
20130830,20150117,930,149.4,150.7,150.05,851.6630976
20130830,20150117,940,155.5,157.4,156.45,851.6630976
20130830,20150117,950,162.7,164.1,163.4,851.6630976
20130830,20150117,960,169.2,172.1,170.65,851.6630976
20130830,20150117,970,175.6,178.1,176.85,851.6630976
20130830,20150117,980,182.7,185.2,183.95,851.6630976
20130830,20150117,990,189.9,192.5,191.2,851.6630976
20130830,20150117,1000,197.3,200,198.65,851.6630976
20130830,20150117,1010,204.7,207.3,206,851.6630976
20130830,20150117,1020,212.3,215.1,213.7,851.6630976
20130830,20150117,1030,220,223.2,221.6,851.6630976
20130830,20150117,1040,227.8,230.7,229.25,851.6630976
20130830,20150117,1050,235.7,239.1,237.4,851.6630976
20130830,20150117,1060,243.8,247.2,245.5,851.6630976
20130830,20150117,1070,251.9,255.1,253.5,851.6630976
20130830,20150117,1080,260.1,263.8,261.95,851.6630976
20130830,20150117,1090,268.3,271.8,270.05,851.6630976
20130830,20150117,1100,276.7,280.1,278.4,851.6630976
20130830,20150117,1110,285.2,288.4,286.8,851.6630976
