,Date,Expiry,Option Type,Settle Price,Strike Price,Underlying Value,time_diff,futures_price
56,2021-01-11,2021-12-30,PE,0.05,440,0.0,0.9805555555555555,810.7
58,2021-01-11,2021-12-30,PE,0.05,460,0.0,0.9805555555555555,810.7
59,2021-01-11,2021-12-30,PE,0.05,470,0.0,0.9805555555555555,810.7
60,2021-01-11,2021-12-30,PE,0.1,480,0.0,0.9805555555555555,810.7
61,2021-01-11,2021-12-30,PE,0.1,490,0.0,0.9805555555555555,810.7
62,2021-01-11,2021-12-30,PE,0.15,500,0.0,0.9805555555555555,810.7
63,2021-01-11,2021-12-30,PE,0.25,510,0.0,0.9805555555555555,810.7
64,2021-01-11,2021-12-30,PE,0.3,520,0.0,0.9805555555555555,810.7
65,2021-01-11,2021-12-30,PE,0.4,530,0.0,0.9805555555555555,810.7
66,2021-01-11,2021-12-30,PE,0.55,540,0.0,0.9805555555555555,810.7
67,2021-01-11,2021-12-30,PE,0.75,550,0.0,0.9805555555555555,810.7
68,2021-01-11,2021-12-30,PE,1.0,560,0.0,0.9805555555555555,810.7
69,2021-01-11,2021-12-30,PE,1.3,570,0.0,0.9805555555555555,810.7
70,2021-01-11,2021-12-30,PE,1.65,580,0.0,0.9805555555555555,810.7
71,2021-01-11,2021-12-30,PE,2.1,590,0.0,0.9805555555555555,810.7
72,2021-01-11,2021-12-30,PE,2.65,600,0.0,0.9805555555555555,810.7
73,2021-01-11,2021-12-30,PE,3.3,610,0.0,0.9805555555555555,810.7
74,2021-01-11,2021-12-30,PE,4.1,620,0.0,0.9805555555555555,810.7
75,2021-01-11,2021-12-30,PE,5.0,630,0.0,0.9805555555555555,810.7
76,2021-01-11,2021-12-30,PE,6.1,640,0.0,0.9805555555555555,810.7
77,2021-01-11,2021-12-30,PE,7.3,650,0.0,0.9805555555555555,810.7
78,2021-01-11,2021-12-30,PE,8.75,660,0.0,0.9805555555555555,810.7
79,2021-01-11,2021-12-30,PE,10.35,670,0.0,0.9805555555555555,810.7
80,2021-01-11,2021-12-30,PE,12.15,680,0.0,0.9805555555555555,810.7
81,2021-01-11,2021-12-30,PE,14.2,690,0.0,0.9805555555555555,810.7
82,2021-01-11,2021-12-30,PE,16.45,700,0.0,0.9805555555555555,810.7
83,2021-01-11,2021-12-30,PE,19.0,710,0.0,0.9805555555555555,810.7
84,2021-01-11,2021-12-30,PE,21.75,720,0.0,0.9805555555555555,810.7
85,2021-01-11,2021-12-30,PE,24.75,730,0.0,0.9805555555555555,810.7
86,2021-01-11,2021-12-30,PE,28.05,740,0.0,0.9805555555555555,810.7
87,2021-01-11,2021-12-30,PE,13.0,750,0.0,0.9805555555555555,810.7
88,2021-01-11,2021-12-30,PE,35.45,760,0.0,0.9805555555555555,810.7
89,2021-01-11,2021-12-30,PE,39.55,770,0.0,0.9805555555555555,810.7
90,2021-01-11,2021-12-30,PE,43.95,780,0.0,0.9805555555555555,810.7
91,2021-01-11,2021-12-30,PE,48.6,790,0.0,0.9805555555555555,810.7
92,2021-01-11,2021-12-30,PE,29.65,800,0.0,0.9805555555555555,810.7
93,2021-01-11,2021-12-30,PE,58.8,810,0.0,0.9805555555555555,810.7
111,2021-01-11,2021-12-30,PE,0.05,450,0.0,0.9805555555555555,810.7
168,2021-02-11,2021-12-30,PE,0.05,440,800.95,0.8944444444444445,806.6
170,2021-02-11,2021-12-30,PE,0.05,460,800.95,0.8944444444444445,806.6
171,2021-02-11,2021-12-30,PE,0.05,470,800.95,0.8944444444444445,806.6
172,2021-02-11,2021-12-30,PE,0.1,480,800.95,0.8944444444444445,806.6
173,2021-02-11,2021-12-30,PE,0.1,490,800.95,0.8944444444444445,806.6
174,2021-02-11,2021-12-30,PE,0.15,500,800.95,0.8944444444444445,806.6
