gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcd,at,bkvlps,csho,dltt,dpvieb,lt,sale,wcap,costat,mkvalt
1045,20141231,2014,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,43771,2.8976,697.475,16196,12259,41750,42650,-1323,A,37405.5843
1045,20151231,2015,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,48415,9.0215,624.622,18330,13144,42780,40990,-3620,A,26452.7417
1045,20161231,2016,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,51274,7.4612,507.294,22489,14194,47489,40180,-3548,A,23685.5569
1045,20171231,2017,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,51396,8.2564,475.508,22511,15646,47470,42207,-5818,A,24740.6812
1045,20181231,2018,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,60580,-0.3669,460.611,29081,17443,60749,44541,-9459,A,14790.2192
1045,20191231,2019,INDL,C,D,STD,AAL,02376R102,AMERICAN AIRLINES GROUP INC,USD,59995,-0.2756,428.203,28875,18659,60113,45768,-10105,A,12280.862
1075,20101231,2010,INDL,C,D,STD,PNW,723484101,PINNACLE WEST CAPITAL CORP,USD,12362.703,33.8634,108.77,3045.794,,8587.477,3263.645,-378.806,A,4508.5165
1075,20111231,2011,INDL,C,D,STD,PNW,723484101,PINNACLE WEST CAPITAL CORP,USD,13111.018,34.9839,109.246,3019.054,,9180.432,3241.379,-386.235,A,5263.4723
1075,20121231,2012,INDL,C,D,STD,PNW,723484101,PINNACLE WEST CAPITAL CORP,USD,13379.615,36.201,109.743,3199.088,,9277.326,3301.804,-77.816,A,5594.6981
1075,20131231,2013,INDL,C,D,STD,PNW,723484101,PINNACLE WEST CAPITAL CORP,USD,13508.686,38.0686,110.182,2796.465,,9168.226,3454.628,-575.035,A,5830.8314
1075,20141231,2014,INDL,C,D,STD,PNW,723484101,PINNACLE WEST CAPITAL CORP,USD,14313.532,39.4994,110.571,3031.215,,9794.43,3491.632,-585.708,A,7553.105
1075,20151231,2015,INDL,C,D,STD,PNW,723484101,PINNACLE WEST CAPITAL CORP,USD,15028.258,41.304,110.98,3462.391,,10308.801,3495.443,-551.801,A,7155.9904
1075,20161231,2016,INDL,C,D,STD,PNW,723484101,PINNACLE WEST CAPITAL CORP,USD,16004.253,43.1449,111.337,4021.785,,11068.341,3498.682,-470.727,A,8687.6261
1075,20171231,2017,INDL,C,D,STD,PNW,723484101,PINNACLE WEST CAPITAL CORP,USD,17019.082,44.8018,111.752,4789.713,,11883.352,3565.296,-181.564,A,9519.0354
1075,20181231,2018,INDL,C,D,STD,PNW,723484101,PINNACLE WEST CAPITAL CORP,USD,17664.202,46.5907,112.102,4638.232,,12315.497,3691.247,-723.973,A,9551.0904
1075,20191231,2019,INDL,C,D,STD,PNW,723484101,PINNACLE WEST CAPITAL CORP,USD,18479.247,48.2999,112.436,4884.43,,12926.059,3471.209,-1048.335,A,10111.3695
1078,20101231,2010,INDL,C,D,STD,ABT,2824100,ABBOTT LABORATORIES,USD,59462.266,14.4721,1546.984,12523.517,9403.346,36985.802,35166.721,5055.095,A,74116.0034
1078,20111231,2011,INDL,C,D,STD,ABT,2824100,ABBOTT LABORATORIES,USD,60276.893,15.563,1570.379,12039.822,10142.61,35750.748,38851.259,8288.546,A,88302.4112
1078,20121231,2012,INDL,C,D,STD,ABT,2824100,ABBOTT LABORATORIES,USD,67234.944,16.9478,1576.667,18085.302,10865.84,40421.712,39873.91,18042.407,A,103271.6885
1078,20131231,2013,INDL,C,D,STD,ABT,2824100,ABBOTT LABORATORIES,USD,42953,16.2593,1548.098,3388,6965,17686,21848,9740,A,59338.5963
1078,20141231,2014,INDL,C,D,STD,ABT,2824100,ABBOTT LABORATORIES,USD,41275,14.2742,1508.035,3408,6697,19636,20247,4729,A,67891.7357
1078,20151231,2015,INDL,C,D,STD,ABT,2824100,ABBOTT LABORATORIES,USD,41247,14.4031,1472.665,5871,6653,19921,20405,4969,A,66137.3852
1078,20161231,2016,INDL,C,D,STD,ABT,2824100,ABBOTT LABORATORIES,USD,52666,13.9442,1472.869,20681,6661,31949,20853,20116,A,56572.8983
1078,20171231,2017,INDL,C,D,STD,ABT,2824100,ABBOTT LABORATORIES,USD,76250,17.7202,1743.602,27210,7658,45152,27390,11235,A,99507.3661
1078,20181231,2018,INDL,C,D,STD,ABT,2824100,ABBOTT LABORATORIES,USD,67173,17.3865,1755.619,19359,8143,36451,30578,5620,A,126983.9223
1078,20191231,2019,INDL,C,D,STD,ABT,2824100,ABBOTT LABORATORIES,USD,67887,17.6386,1762.503,17416,8761,36586,31904,4804,A,153091.0106
1161,20101231,2010,INDL,C,D,STD,AMD,7903107,ADVANCED MICRO DEVICES,USD,4964,1.4832,683,2188,1379,3951,6494,1920,A,5586.94
1161,20111231,2011,INDL,C,D,STD,AMD,7903107,ADVANCED MICRO DEVICES,USD,4954,2.2779,698,1527,1470,3364,6568,1455,A,3769.2
