 , ,All stocks, , ,All-but-tiny stocks, , ,Large stocks,
 ,Slope,t-stat,R^2,Slope,t-stat,R^2,Slope,t-stat,R^2
Model 1:,Three predictors,,,,,,,,
LogSize,0.29,7.79,0.033,0.3,6.99,0.038,0.39,7.72,0.04
LogB/M,-0.53,-0.89, ,-0.48,-0.84, ,0.34,0.59, 
Return_2_12,0.68,1.74, ,0.32,0.73, ,0.42,0.98, 
N, ,46359, , ,37505, , ,23890,
Model 2:, Seven predictors,,,,,,,,
LogSize,0.31,5.9,0.036,0.31,5.7,0.042,0.38,5.73,0.045
LogB/M,-0.31,-0.45, ,-0.43,-0.6, ,0.19,0.26, 
Return_2_12,0.59,1.66, ,0.23,0.51, ,0.42,0.93, 
LogIssues_1_36,-0.54,-0.96, ,0.19,0.36, ,0.19,0.24, 
Accruals,2.18,3.69, ,2.19,4.14, ,2.05,3.94, 
ROA,2.33,1.64, ,1.52,1.41, ,0.4,0.36, 
LogAG,1.64,2.04, ,1.41,1.45, ,0.36,1.79, 
N, ,34116, , ,26944, , ,17682,
Model 3:, Eleven predictors,,,,,,,,
LogSize,0.36,6.46,0.037,0.38,6.83,0.042,0.46,6.28,0.046
LogB/M,-0.58,-0.9, ,-0.48,-0.74, ,0.27,0.36, 
Return_2_12,0.49,1.45, ,0.3,0.77, ,0.58,1.47, 
LogIssues_1_36,-0.38,-0.59, ,0.15,0.25, ,0.57,0.6, 
Accruals,0.52,0.89, ,0.38,0.73, ,0.33,0.64, 
ROA,1.65,1.24, ,0.61,0.57, ,-0.59,-0.51, 
LogAG,1.91,4.08, ,1.27,3.43, ,1.45,3.25, 
LogIssues_1_12,-0.15,-1.25, ,-0.01,-0.1, ,-0.07,-0.52, 
Turnover_1_12,-1.35,-3.9, ,-1.6,-5.06, ,-1.63,-5.41, 
Debt/price,-0.43,-3.23, ,-0.37,-2.47, ,-0.46,-2.32, 
Sales/price,0.02,0.63, ,0.04,1.21, ,0.07,1.71, 
N, ,33337, , ,26201, , ,17133,
