FM estimate,slopes,Model,Avg,Std,p10,p90,Slope,S.E.,t-stat,R^2
All stocks,Rolling,Model 1,0.24,0.69,-0.82,0.98,1,0.54,1.83,0.034
All stocks,Rolling,Model 2,2.55,6.87,-4.77,9.92,0.45,0.03,15.09,0.706
All stocks,Rolling,Model 3,2.03,7.06,-4.73,9.63,0.43,0.03,12.88,0.636
All stocks,Cumulative,Model 1,0.28,0.29,-0.05,0.54,3.2,0.95,3.36,0.106
All stocks,Cumulative,Model 2,2.09,4.68,-3.16,6.73,0.71,0.03,22.85,0.846
All stocks,Cumulative,Model 3,1.8,4.29,-3.15,5.99,0.76,0.04,20.35,0.813
All-but-tiny stocks,Rolling,Mode 1,0.51,0.79,-0.67,1.38,1.19,0.4,2.98,0.085
All-but-tiny stocks,Rolling,Mode 2,1.98,5.53,-3.41,8.7,0.51,0.04,12.23,0.611
All-but-tiny stocks,Rolling,Mode 3,1.96,6.16,-3.43,8.78,0.43,0.04,10.51,0.538
All-but-tiny stocks,Cumulative,Mode 1,0.56,0.29,0.21,0.93,2.38,0.57,4.2,0.156
All-but-tiny stocks,Cumulative,Mode 2,1.85,3.49,-2.42,5.63,0.89,0.04,23.03,0.848
All-but-tiny stocks,Cumulative,Mode 3,1.75,3.36,-2.35,5.59,0.92,0.04,21.75,0.833
Large stocks,Rolling,Model 1,1.22,1.26,-0.67,2.69,0.67,0.21,3.26,0.1
Large stocks,Rolling,Model 2,2.16,5.61,-2.85,9.54,0.4,0.05,8.3,0.42
Large stocks,Rolling,Model 3,2.42,8.53,-3.13,10.78,0.27,0.03,8.06,0.406
Large stocks,Cumulative,Model 1,1.17,0.39,0.74,1.68,1.24,0.28,4.44,0.172
Large stocks,Cumulative,Model 2,1.99,3.31,-1.75,6.34,0.81,0.05,15.5,0.717
Large stocks,Cumulative,Model 3,1.71,3.22,-1.33,5.4,0.83,0.06,13.85,0.669
