,date,account_value
0,2019-12-31,100000.0
1,2020-01-02,100272.07995644001
2,2020-01-03,99862.27133996
3,2020-01-06,99967.80863750001
4,2020-01-07,99380.84950808002
5,2020-01-08,100527.3197354516
6,2020-01-09,101630.46001514161
7,2020-01-10,101149.78502517402
8,2020-01-13,102158.10527274401
9,2020-01-14,101422.9057495091
10,2020-01-15,102064.10848420451
11,2020-01-16,103932.14711576732
12,2020-01-17,104405.85641246733
13,2020-01-21,104014.8660073562
14,2020-01-22,103575.8216476327
15,2020-01-23,104194.42622814234
16,2020-01-24,103144.81916949993
17,2020-01-27,101421.27679209993
18,2020-01-28,103127.28602106642
19,2020-01-29,104667.46660076673
20,2020-01-30,107614.49266790031
21,2020-01-31,106261.25619243033
22,2020-02-03,108827.8720429903
23,2020-02-04,111969.93596730453
24,2020-02-05,111820.25339011943
25,2020-02-06,114138.49672081944
26,2020-02-07,114292.24188723003
27,2020-02-10,117278.4615482022
28,2020-02-11,114827.30940663541
29,2020-02-12,114986.30351244043
30,2020-02-13,114444.10605071043
31,2020-02-14,115446.90681759044
32,2020-02-18,116517.53778352684
33,2020-02-19,116857.66340309643
34,2020-02-20,115326.05655544694
35,2020-02-21,111663.53874215782
36,2020-02-24,107592.44552328784
37,2020-02-25,105812.54416456784
38,2020-02-26,107133.06035014226
39,2020-02-27,100290.11849178624
40,2020-02-28,102704.85963826385
41,2020-03-02,108470.48476312765
42,2020-03-03,103261.86480826444
43,2020-03-04,106645.50187400026
44,2020-03-05,103958.90161886906
45,2020-03-06,101468.30286437905
46,2020-03-09,94606.52595398904
47,2020-03-10,101066.00856490605
48,2020-03-11,96493.98145040606
49,2020-03-12,87569.78280244254
50,2020-03-13,100005.53002107985
51,2020-03-16,85277.39327047985
52,2020-03-17,91177.68829929984
53,2020-03-18,87331.31514878185
54,2020-03-19,88766.37493768186
55,2020-03-20,85951.82334685186
56,2020-03-23,85087.17486402184
57,2020-03-24,92813.96850829707
58,2020-03-25,91926.19803529704
59,2020-03-26,96749.50650580705
60,2020-03-27,92765.53763703327
61,2020-03-30,99286.37205933325
62,2020-03-31,97725.83702613326
63,2020-04-01,94257.97294623326
64,2020-04-02,96208.65126813325
65,2020-04-03,95448.99850654326
66,2020-04-06,101949.69646585938
67,2020-04-07,100844.82453482898
68,2020-04-08,101796.78681021827
69,2020-04-09,101797.55565911806
70,2020-04-13,102019.23388275885
71,2020-04-14,107064.77301659086
72,2020-04-15,105949.61750876087
73,2020-04-16,108582.72463612085
74,2020-04-17,109212.35671613086
75,2020-04-20,107376.62936452086
76,2020-04-21,102925.94582117087
77,2020-04-22,105865.76795999437
78,2020-04-23,104570.29289647516
79,2020-04-24,106477.66793967519
80,2020-04-27,106172.97149787519
81,2020-04-28,103589.17102517518
82,2020-04-29,108232.68538357518
83,2020-04-30,109317.41574587519
84,2020-05-01,106930.43497413518
85,2020-05-04,109515.26774683519
86,2020-05-05,110477.99221479517
87,2020-05-06,111409.01273429739
88,2020-05-07,112003.05954940138
89,2020-05-08,112653.57624549977
90,2020-05-11,113738.21083477128
91,2020-05-12,111150.65297765167
92,2020-05-13,109560.58350728468
93,2020-05-14,110029.5109604591
94,2020-05-15,111354.6216918491
95,2020-05-18,112399.8555188687
96,2020-05-19,111730.52666603868
97,2020-05-20,113259.50899529867
98,2020-05-21,112103.67483653867
99,2020-05-22,112138.48194362209
100,2020-05-26,110982.8459989121
101,2020-05-27,111125.01204280209
102,2020-05-28,110897.06089562208
103,2020-05-29,112009.60877586209
104,2020-06-01,111752.95540926208
105,2020-06-02,112799.89012324209
106,2020-06-03,113056.0445303211
107,2020-06-04,111569.8382978211
108,2020-06-05,113734.7744725211
109,2020-06-08,114420.8682420819
110,2020-06-09,115196.7555595775
111,2020-06-10,119452.63036464351
112,2020-06-11,113045.8300286435
113,2020-06-12,113936.8328114435
114,2020-06-15,114526.7466509435
115,2020-06-16,117314.44080726348
116,2020-06-17,117635.0038071535
117,2020-06-18,118874.6636084623
118,2020-06-19,118166.6379082623
119,2020-06-22,121418.7049068398
120,2020-06-23,122228.5900590078
121,2020-06-24,119999.3636058922
122,2020-06-25,121502.53523196321
123,2020-06-26,119449.2558614932
124,2020-06-29,120708.7581503832
125,2020-06-30,123260.04977980322
126,2020-07-01,123931.8794319252
127,2020-07-02,124870.0125339805
128,2020-07-06,127096.6713181905
129,2020-07-07,125598.47388943729
130,2020-07-08,128247.1436646245
131,2020-07-09,129139.52598088849
132,2020-07-10,128791.2652104885
133,2020-07-13,124795.78179171852
134,2020-07-14,125419.27283981851
135,2020-07-15,125212.47229254301
136,2020-07-16,123123.067075233
137,2020-07-17,122477.652070303
138,2020-07-20,127736.80750930661
139,2020-07-21,126017.7968509066
140,2020-07-22,127509.46624583662
141,2020-07-23,123178.4527818226
142,2020-07-24,122453.47027154264
143,2020-07-27,123979.89579719541
144,2020-07-28,122865.6449852042
145,2020-07-29,124106.1805934042
146,2020-07-30,124008.88461840422
147,2020-07-31,124591.49354349982
148,2020-08-03,131577.39325985886
149,2020-08-04,129604.24342035883
150,2020-08-05,129401.23409077083
151,2020-08-06,131456.7586465558
152,2020-08-07,129110.80895928723
153,2020-08-10,126542.4730842196
154,2020-08-11,123585.80691911963
155,2020-08-12,126517.6135435196
156,2020-08-13,126201.4708908837
157,2020-08-14,126322.2962138837
158,2020-08-17,127156.03860188372
159,2020-08-18,127809.69316849973
160,2020-08-19,127022.98616790722
161,2020-08-20,129473.05545132722
162,2020-08-21,128542.23998512726
163,2020-08-24,128942.40677756294
164,2020-08-25,130596.9275309428
165,2020-08-26,133415.73732045482
166,2020-08-27,136126.98301109482
167,2020-08-28,137504.44360978622
168,2020-08-31,135615.02606894224
169,2020-09-01,136650.09294949472
170,2020-09-02,139280.91421399475
171,2020-09-03,130661.64903749472
172,2020-09-04,128829.67219299474
173,2020-09-08,122997.55709561473
174,2020-09-09,128161.01738996473
175,2020-09-10,124574.74789277422
176,2020-09-11,123789.15020034864
177,2020-09-14,124621.39305319825
178,2020-09-15,126310.68536481824
179,2020-09-16,124035.14113203823
180,2020-09-17,122933.36838611824
181,2020-09-18,121389.58035889824
182,2020-09-21,122691.43952582394
183,2020-09-22,125142.21965824394
184,2020-09-23,121027.23632359394
185,2020-09-24,122308.28854389396
186,2020-09-25,124787.63660583543
187,2020-09-28,125746.07394465894
188,2020-09-29,124634.46241176894
189,2020-09-30,126454.82475906894
190,2020-10-01,127734.00036752535
191,2020-10-02,123967.95480402536
192,2020-10-05,126048.20892303536
