,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,report_date
99,MSFT,Microsoft Corporation,1997-07-17T00:00:00.000Z,TNS,0.1,0.1,0.83,EDT,0,EQUITY,1997-07-17
98,MSFT,Microsoft Corporation,1997-10-20T00:00:00.000Z,TNS,0.09,0.09,2.53,EDT,0,EQUITY,1997-10-20
97,MSFT,Microsoft Corporation,1998-01-21T00:00:00.000Z,TNS,0.1,0.11,3.85,EDT,0,EQUITY,1998-01-21
96,MSFT,Microsoft Corporation,1998-04-22T00:00:00.000Z,TNS,0.12,0.13,5.72,EDT,0,EQUITY,1998-04-22
95,MSFT,Microsoft Corporation,1998-07-16T00:00:00.000Z,TNS,0.12,0.13,4.99,EDT,0,EQUITY,1998-07-16
94,MSFT,Microsoft Corporation,1998-10-20T00:00:00.000Z,TNS,0.12,0.14,13.84,EDT,0,EQUITY,1998-10-20
93,MSFT,Microsoft Corporation,1999-01-19T00:00:00.000Z,TNS,0.15,0.18,23.47,EDT,0,EQUITY,1999-01-19
92,MSFT,Microsoft Corporation,1999-04-20T00:00:00.000Z,TNS,0.16,0.19,21.78,EDT,0,EQUITY,1999-04-20
91,MSFT,Microsoft Corporation,1999-07-19T00:00:00.000Z,TNS,0.18,0.2,12.03,EDT,0,EQUITY,1999-07-19
90,MSFT,Microsoft Corporation,1999-10-19T00:00:00.000Z,TNS,0.17,0.19,10.38,EDT,0,EQUITY,1999-10-19
89,MSFT,Microsoft Corporation,2000-01-18T00:00:00.000Z,TNS,0.21,0.24,11.27,EDT,0,EQUITY,2000-01-18
88,MSFT,Microsoft Corporation,2000-04-20T00:00:00.000Z,TNS,0.2,0.22,5.27,EDT,0,EQUITY,2000-04-20
87,MSFT,Microsoft Corporation,2000-07-18T00:00:00.000Z,TNS,0.21,0.22,5.81,EDT,0,EQUITY,2000-07-18
86,MSFT,Microsoft Corporation,2000-10-18T00:00:00.000Z,TNS,0.21,0.23,11.48,EDT,0,EQUITY,2000-10-18
85,MSFT,Microsoft Corporation,2001-01-18T00:00:00.000Z,TNS,0.23,0.24,1.44,EDT,0,EQUITY,2001-01-18
84,MSFT,Microsoft Corporation,2001-04-19T00:00:00.000Z,TNS,0.21,0.22,5.33,EDT,0,EQUITY,2001-04-19
83,MSFT,Microsoft Corporation,2001-07-19T00:00:00.000Z,TNS,0.21,0.22,0.75,EDT,0,EQUITY,2001-07-19
82,MSFT,Microsoft Corporation,2001-10-18T00:00:00.000Z,TNS,0.2,0.22,9.5,EDT,0,EQUITY,2001-10-18
81,MSFT,Microsoft Corporation,2002-01-17T00:00:00.000Z,TNS,0.21,0.25,15.25,EDT,0,EQUITY,2002-01-17
80,MSFT,Microsoft Corporation,2002-04-18T00:00:00.000Z,TNS,0.25,0.25,-3.56,EDT,0,EQUITY,2002-04-18
79,MSFT,Microsoft Corporation,2002-07-18T00:00:00.000Z,TNS,0.21,0.21,0.8,EDT,0,EQUITY,2002-07-18
78,MSFT,Microsoft Corporation,2002-10-17T00:00:00.000Z,TNS,0.21,0.28,29.06,EDT,0,EQUITY,2002-10-17
77,MSFT,Microsoft Corporation,2003-01-16T00:00:00.000Z,TNS,0.23,0.27,14.22,EDT,0,EQUITY,2003-01-16
76,MSFT,Microsoft Corporation,2003-04-15T00:00:00.000Z,TNS,0.24,0.27,13.16,EDT,0,EQUITY,2003-04-15
75,MSFT,Microsoft Corporation,2003-07-17T00:00:00.000Z,TNS,0.24,0.23,-2.84,EDT,0,EQUITY,2003-07-17
74,MSFT,Microsoft Corporation,2003-10-23T00:00:00.000Z,TNS,0.29,0.3,3.56,EDT,0,EQUITY,2003-10-23
73,MSFT,Microsoft Corporation,2004-01-22T00:00:00.000Z,TNS,0.3,0.34,13.46,EDT,0,EQUITY,2004-01-22
72,MSFT,Microsoft Corporation,2004-04-22T00:00:00.000Z,TNS,0.29,0.34,19.1,EDT,0,EQUITY,2004-04-22
71,MSFT,Microsoft Corporation,2004-07-22T00:00:00.000Z,TNS,0.29,0.28,-1.87,EDT,0,EQUITY,2004-07-22
70,MSFT,Microsoft Corporation,2004-10-21T00:00:00.000Z,TNS,0.3,0.31,2.89,EDT,0,EQUITY,2004-10-21
69,MSFT,Microsoft Corporation,2005-01-27T00:00:00.000Z,TNS,0.33,0.35,6.81,EDT,0,EQUITY,2005-01-27
68,MSFT,Microsoft Corporation,2005-04-28T00:00:00.000Z,TNS,0.32,0.32,0.93,EDT,0,EQUITY,2005-04-28
67,MSFT,Microsoft Corporation,2005-07-21T00:00:00.000Z,TNS,0.31,0.32,2.4,EDT,0,EQUITY,2005-07-21
66,MSFT,Microsoft Corporation,2005-10-27T00:00:00.000Z,TNS,0.3,0.31,4.14,EDT,0,EQUITY,2005-10-27
65,MSFT,Microsoft Corporation,2006-01-26T00:00:00.000Z,TNS,0.33,0.33,-0.08,EDT,0,EQUITY,2006-01-26
64,MSFT,Microsoft Corporation,2006-04-27T00:00:00.000Z,TNS,0.33,0.32,-2.93,EDT,0,EQUITY,2006-04-27
63,MSFT,Microsoft Corporation,2006-07-20T00:00:00.000Z,TNS,0.3,0.31,2.63,EDT,0,EQUITY,2006-07-20
62,MSFT,Microsoft Corporation,2006-10-26T00:00:00.000Z,TNS,0.31,0.35,13.02,EDT,0,EQUITY,2006-10-26
61,MSFT,Microsoft Corporation,2007-01-25T00:00:00.000Z,TNS,0.23,0.26,11.48,EDT,0,EQUITY,2007-01-25
60,MSFT,Microsoft Corporation,2007-04-26T00:00:00.000Z,TNS,0.46,0.49,6.86,EDT,0,EQUITY,2007-04-26
59,MSFT,Microsoft Corporation,2007-07-19T00:00:00.000Z,TNS,0.39,0.39,0.3,EDT,0,EQUITY,2007-07-19
58,MSFT,Microsoft Corporation,2007-10-25T00:00:00.000Z,TNS,0.39,0.45,15.38,EDT,0,EQUITY,2007-10-25
57,MSFT,Microsoft Corporation,2008-01-24T00:00:00.000Z,TNS,0.46,0.5,9.33,EDT,0,EQUITY,2008-01-24
