,Dates,High,Low,Last
0,2011-03-01,0.9953,0.9889,0.9938
1,2011-04-01,1.0034,0.9917,0.9983
2,2011-05-01,1.0023,0.9934,0.9956
3,2011-06-01,0.9994,0.9925,0.9966
4,2011-07-01,1.0004,0.9899,0.9935
5,2011-10-01,0.9984,0.9911,0.9934
6,2011-11-01,0.9951,0.9893,0.9905
7,2011-12-01,0.9913,0.9849,0.9857
8,2011-01-13,0.991,0.9855,0.9892
9,2011-01-14,0.9977,0.9886,0.9909
10,2011-01-17,0.9902,0.9857,0.987
11,2011-01-18,0.9935,0.9838,0.9913
12,2011-01-19,0.9966,0.9889,0.9957
13,2011-01-20,1.0031,0.995,0.9973
14,2011-01-21,0.9988,0.9909,0.9931
15,2011-01-24,0.9983,0.9919,0.9935
16,2011-01-25,1.0004,0.9912,0.9968
17,2011-01-26,0.9982,0.9937,0.994
18,2011-01-27,0.9987,0.9927,0.9934
19,2011-01-28,1.0017,0.9934,1.0013
20,2011-01-31,1.0058,0.9963,1.001
21,2011-01-02,1.0011,0.99,0.9906
22,2011-02-02,0.9916,0.9861,0.9879
23,2011-03-02,0.9922,0.9866,0.9911
24,2011-04-02,0.9932,0.9832,0.9873
25,2011-07-02,0.9913,0.9859,0.9908
26,2011-08-02,0.9978,0.9869,0.9952
27,2011-09-02,0.9957,0.9915,0.9938
28,2011-10-02,0.9988,0.9932,0.9953
29,2011-11-02,0.9986,0.9863,0.9874
30,2011-02-14,0.9902,0.9851,0.9891
31,2011-02-15,0.9903,0.9852,0.9898
32,2011-02-16,0.9905,0.9846,0.9849
33,2011-02-17,0.9859,0.9816,0.9843
34,2011-02-18,0.9875,0.9819,0.9868
35,2011-02-21,0.9872,0.9822,0.983
36,2011-02-22,0.992,0.9824,0.9907
37,2011-02-23,0.9959,0.9858,0.9895
38,2011-02-24,0.9902,0.9817,0.9826
39,2011-02-25,0.9833,0.9773,0.9774
40,2011-02-28,0.98,0.971,0.9716
41,2011-01-03,0.9756,0.9684,0.9748
42,2011-02-03,0.9776,0.9709,0.9731
43,2011-03-03,0.9753,0.9715,0.972
44,2011-04-03,0.9744,0.97,0.9734
45,2011-07-03,0.9743,0.97,0.9733
46,2011-08-03,0.9749,0.9708,0.9714
47,2011-09-03,0.9715,0.9668,0.9685
48,2011-10-03,0.9767,0.9684,0.976
49,2011-11-03,0.9803,0.9705,0.9732
50,2011-03-14,0.9764,0.9707,0.9738
51,2011-03-15,0.9974,0.9735,0.9859
52,2011-03-16,0.9968,0.9807,0.9914
53,2011-03-17,0.9953,0.9835,0.9848
54,2011-03-18,0.9867,0.9804,0.9843
55,2011-03-21,0.9856,0.975,0.9778
56,2011-03-22,0.9814,0.9747,0.9807
57,2011-03-23,0.9844,0.9792,0.9816
58,2011-03-24,0.9825,0.9732,0.9752
59,2011-03-25,0.9828,0.9742,0.9805
60,2011-03-28,0.9825,0.9742,0.9779
61,2011-03-29,0.9786,0.9739,0.9744
62,2011-03-30,0.9754,0.9687,0.971
63,2011-03-31,0.973,0.9683,0.9706
64,2011-01-04,0.9707,0.9626,0.9632
65,2011-04-04,0.9688,0.9616,0.967
66,2011-05-04,0.9693,0.9628,0.9638
67,2011-06-04,0.9642,0.9569,0.9608
68,2011-07-04,0.9624,0.9571,0.9582
69,2011-08-04,0.9595,0.9527,0.9554
70,2011-11-04,0.9578,0.9543,0.9566
71,2011-12-04,0.9658,0.9557,0.9634
72,2011-04-13,0.9655,0.9586,0.9623
73,2011-04-14,0.967,0.9596,0.9611
74,2011-04-15,0.965,0.9592,0.9592
75,2011-04-18,0.9722,0.9587,0.9642
76,2011-04-19,0.9667,0.9548,0.9561
77,2011-04-20,0.9565,0.9498,0.9525
78,2011-04-21,0.9538,0.9455,0.9532
79,2011-04-22,0.9548,0.952,0.9545
80,2011-04-25,0.9561,0.9504,0.9544
81,2011-04-26,0.9563,0.9496,0.9516
82,2011-04-27,0.9576,0.9488,0.9497
83,2011-04-28,0.9521,0.9465,0.9506
84,2011-04-29,0.955,0.9446,0.9451
85,2011-02-05,0.9519,0.9447,0.9506
86,2011-03-05,0.9542,0.9459,0.9526
87,2011-04-05,0.9604,0.9505,0.9594
88,2011-05-05,0.9713,0.9569,0.9669
89,2011-06-05,0.9703,0.9574,0.9666
90,2011-09-05,0.9696,0.9605,0.9618
91,2011-10-05,0.9654,0.9568,0.9568
92,2011-11-05,0.9639,0.9513,0.9619
93,2011-12-05,0.9695,0.96,0.9627
94,2011-05-13,0.9744,0.9605,0.9686
95,2011-05-16,0.9771,0.9684,0.9758
96,2011-05-17,0.9794,0.9717,0.9721
97,2011-05-18,0.9759,0.9697,0.9701
98,2011-05-19,0.9714,0.9654,0.9676
99,2011-05-20,0.9772,0.9641,0.9742
100,2011-05-23,0.9811,0.9724,0.978
101,2011-05-24,0.9793,0.9755,0.9767
102,2011-05-25,0.9816,0.9744,0.9774
103,2011-05-26,0.9816,0.9757,0.9777
104,2011-05-27,0.9798,0.9754,0.9761
105,2011-05-30,0.9787,0.9752,0.9771
106,2011-05-31,0.9772,0.9655,0.9685
107,2011-01-06,0.9775,0.9667,0.9772
108,2011-02-06,0.981,0.9745,0.9759
109,2011-03-06,0.9852,0.9745,0.9778
110,2011-06-06,0.9817,0.9768,0.9809
111,2011-07-06,0.9811,0.9732,0.9745
112,2011-08-06,0.9821,0.9739,0.9793
113,2011-09-06,0.9813,0.9724,0.973
114,2011-10-06,0.9799,0.9712,0.9799
115,2011-06-13,0.9799,0.9752,0.9761
116,2011-06-14,0.9772,0.9675,0.9682
117,2011-06-15,0.9829,0.9671,0.9791
118,2011-06-16,0.9899,0.9773,0.9812
119,2011-06-17,0.9869,0.9776,0.9794
120,2011-06-20,0.985,0.9782,0.9798
121,2011-06-21,0.9806,0.971,0.9711
122,2011-06-22,0.9754,0.9701,0.9739
123,2011-06-23,0.9825,0.9714,0.979
124,2011-06-24,0.9887,0.9771,0.9886
125,2011-06-27,0.9913,0.9844,0.9861
126,2011-06-28,0.9885,0.9811,0.9812
127,2011-06-29,0.9825,0.969,0.9695
128,2011-06-30,0.9705,0.9625,0.9634
129,2011-01-07,0.9651,0.9581,0.9585
130,2011-04-07,0.9618,0.958,0.9611
131,2011-05-07,0.9643,0.9594,0.9634
132,2011-06-07,0.9695,0.9615,0.9653
133,2011-07-07,0.9667,0.9569,0.9587
134,2011-08-07,0.9666,0.9566,0.9627
135,2011-11-07,0.9696,0.96,0.9688
136,2011-12-07,0.9779,0.9626,0.9666
137,2011-07-13,0.9669,0.9578,0.9582
138,2011-07-14,0.9617,0.9549,0.9606
139,2011-07-15,0.9624,0.9521,0.9532
140,2011-07-18,0.9636,0.9531,0.9597
141,2011-07-19,0.9602,0.9483,0.9501
142,2011-07-20,0.9513,0.9457,0.9474
143,2011-07-21,0.9494,0.9423,0.9433
144,2011-07-22,0.9531,0.9427,0.948
145,2011-07-25,0.9525,0.9435,0.9472
146,2011-07-26,0.9475,0.9407,0.9443
147,2011-07-27,0.9506,0.9411,0.9498
148,2011-07-28,0.9523,0.9458,0.9493
149,2011-07-29,0.959,0.9486,0.9552
150,2011-01-08,0.9606,0.9492,0.957
151,2011-02-08,0.9619,0.9548,0.9613
152,2011-03-08,0.9647,0.9568,0.9621
153,2011-04-08,0.9816,0.9603,0.9815
154,2011-05-08,0.9854,0.9742,0.982
155,2011-08-08,0.9945,0.9782,0.9945
156,2011-09-08,1.001,0.977,0.9772
157,2011-10-08,0.9954,0.9767,0.9949
