,Dates,High,Low,Last
0,2011-03-01,0.9384,0.9321,0.9334
1,2011-04-01,0.9517,0.9327,0.9486
2,2011-05-01,0.9685,0.9469,0.9659
3,2011-06-01,0.9708,0.9611,0.9655
4,2011-07-01,0.9691,0.9605,0.9673
5,2011-10-01,0.9727,0.9631,0.9676
6,2011-11-01,0.9784,0.9661,0.9737
7,2011-12-01,0.9756,0.9662,0.9666
8,2011-01-13,0.9764,0.9613,0.9639
9,2011-01-14,0.9687,0.9606,0.9634
10,2011-01-17,0.9677,0.9621,0.9647
11,2011-01-18,0.9657,0.9551,0.9634
12,2011-01-19,0.9647,0.9521,0.9549
13,2011-01-20,0.9684,0.9528,0.9674
14,2011-01-21,0.9687,0.9573,0.9584
15,2011-01-24,0.9623,0.9472,0.9491
16,2011-01-25,0.9523,0.9404,0.9423
17,2011-01-26,0.9465,0.9401,0.9417
18,2011-01-27,0.9482,0.939,0.9454
19,2011-01-28,0.9471,0.9406,0.9419
20,2011-01-31,0.9449,0.9369,0.944
21,2011-01-02,0.9456,0.9337,0.9354
22,2011-02-02,0.9442,0.9329,0.9401
23,2011-03-02,0.9526,0.9396,0.9456
24,2011-04-02,0.9594,0.9451,0.955
25,2011-07-02,0.9598,0.953,0.9555
26,2011-08-02,0.9644,0.9524,0.9633
27,2011-09-02,0.9661,0.9553,0.9578
28,2011-10-02,0.9703,0.9575,0.9691
29,2011-11-02,0.9776,0.9679,0.9732
30,2011-02-14,0.975,0.9692,0.97
31,2011-02-15,0.973,0.965,0.9671
32,2011-02-16,0.9739,0.9554,0.9594
33,2011-02-17,0.9602,0.9478,0.9497
34,2011-02-18,0.9539,0.9436,0.9446
35,2011-02-21,0.949,0.9425,0.9468
36,2011-02-22,0.9506,0.9367,0.9389
37,2011-02-23,0.9392,0.9308,0.933
38,2011-02-24,0.9336,0.9234,0.9264
39,2011-02-25,0.9319,0.9228,0.9282
40,2011-02-28,0.9307,0.926,0.9289
41,2011-01-03,0.9323,0.9275,0.9284
42,2011-02-03,0.9292,0.9202,0.9236
43,2011-03-03,0.9328,0.9233,0.9316
44,2011-04-03,0.933,0.9224,0.9245
45,2011-07-03,0.9276,0.9236,0.9266
