DATE, EUR , JPY , GBP , CAD , AUD , NZD , CHF , DKK , NOK , SEK ,
3/1/11, 0.7484 , 81.7400 , 0.6456 , 0.9938 , 0.9835 , 1.2930 , 0.9334 , 5.5788 , 5.8277 , 6.7004 ,
4/1/11, 0.7514 , 82.0400 , 0.6416 , 0.9983 , 0.9949 , 1.3045 , 0.9486 , 5.6006 , 5.8631 , 6.7233 ,
5/1/11, 0.7605 , 83.2500 , 0.6445 , 0.9956 , 1.0005 , 1.3208 , 0.9659 , 5.6673 , 5.9028 , 6.7635 ,
6/1/11, 0.7691 , 83.3300 , 0.6463 , 0.9966 , 1.0056 , 1.3217 , 0.9655 , 5.7300 , 5.9603 , 6.8640 ,
7/1/11, 0.7748 , 83.1500 , 0.6432 , 0.9935 , 1.0041 , 1.3161 , 0.9673 , 5.7719 , 5.9910 , 6.9374 ,
10/1/11, 0.7721 , 82.7100 , 0.6421 , 0.9934 , 1.0044 , 1.3096 , 0.9676 , 5.7515 , 5.9749 , 6.8780 ,
11/1/11, 0.7708 , 83.2400 , 0.6411 , 0.9905 , 1.0130 , 1.3148 , 0.9737 , 5.7428 , 5.9502 , 6.8552 ,
12/1/11, 0.7616 , 83.0000 , 0.6343 , 0.9857 , 1.0034 , 1.3091 , 0.9666 , 5.6730 , 5.9059 , 6.7521 ,
13/1/11, 0.7483 , 82.8100 , 0.6314 , 0.9892 , 1.0024 , 1.2965 , 0.9639 , 5.5743 , 5.8720 , 6.7061 ,
14/1/11, 0.7469 , 82.8700 , 0.6301 , 0.9909 , 1.0113 , 1.3053 , 0.9634 , 5.5645 , 5.8414 , 6.6587 ,
17/1/11, 0.7522 , 82.6800 , 0.6294 , 0.9870 , 1.0062 , 1.2948 , 0.9647 , 5.6041 , 5.8602 , 6.7163 ,
18/1/11, 0.7470 , 82.5600 , 0.6264 , 0.9913 , 1.0006 , 1.2955 , 0.9634 , 5.5655 , 5.8283 , 6.6509 ,
19/1/11, 0.7422 , 82.0200 , 0.6252 , 0.9957 , 0.9991 , 1.3007 , 0.9549 , 5.5306 , 5.8195 , 6.6233 ,
20/1/11, 0.7422 , 83.0100 , 0.6290 , 0.9973 , 1.0131 , 1.3210 , 0.9674 , 5.5312 , 5.8731 , 6.6588 ,
21/1/11, 0.7342 , 82.5700 , 0.6250 , 0.9931 , 1.0103 , 1.3173 , 0.9584 , 5.4723 , 5.8177 , 6.5858 ,
24/1/11, 0.7332 , 82.5300 , 0.6255 , 0.9935 , 1.0026 , 1.3103 , 0.9491 , 5.4655 , 5.7863 , 6.5821 ,
25/1/11, 0.7309 , 82.2500 , 0.6322 , 0.9968 , 1.0033 , 1.3009 , 0.9423 , 5.4481 , 5.7628 , 6.5276 ,
26/1/11, 0.7292 , 82.1700 , 0.6275 , 0.9940 , 1.0007 , 1.2940 , 0.9417 , 5.4352 , 5.7599 , 6.4638 ,
27/1/11, 0.7281 , 82.9200 , 0.6278 , 0.9934 , 1.0081 , 1.2950 , 0.9454 , 5.4275 , 5.7998 , 6.4338 ,
28/1/11, 0.7347 , 82.1200 , 0.6305 , 1.0013 , 1.0060 , 1.2927 , 0.9419 , 5.4768 , 5.8183 , 6.5280 ,
31/1/11, 0.7302 , 82.0400 , 0.6245 , 1.0010 , 1.0026 , 1.2938 , 0.9440 , 5.4434 , 5.7755 , 6.4474 ,
1/2/11, 0.7231 , 81.3500 , 0.6195 , 0.9906 , 0.9890 , 1.2798 , 0.9354 , 5.3907 , 5.7006 , 6.3692 ,
2/2/11, 0.7241 , 81.5500 , 0.6176 , 0.9879 , 0.9900 , 1.2932 , 0.9401 , 5.3975 , 5.7126 , 6.4184 ,
3/2/11, 0.7335 , 81.6300 , 0.6197 , 0.9911 , 0.9849 , 1.2930 , 0.9456 , 5.4676 , 5.7410 , 6.4751 ,
4/2/11, 0.7363 , 82.1800 , 0.6207 , 0.9873 , 0.9864 , 1.2985 , 0.9550 , 5.4891 , 5.7558 , 6.4813 ,
7/2/11, 0.7362 , 82.3300 , 0.6207 , 0.9908 , 0.9867 , 1.2989 , 0.9555 , 5.4881 , 5.7812 , 6.4610 ,
8/2/11, 0.7339 , 82.3600 , 0.6223 , 0.9952 , 0.9856 , 1.2902 , 0.9633 , 5.4716 , 5.7743 , 6.4368 ,
9/2/11, 0.7282 , 82.3600 , 0.6210 , 0.9938 , 0.9878 , 1.2948 , 0.9578 , 5.4294 , 5.7574 , 6.4357 ,
10/2/11, 0.7351 , 83.2300 , 0.6212 , 0.9953 , 0.9956 , 1.3082 , 0.9691 , 5.4818 , 5.8254 , 6.4611 ,
11/2/11, 0.7378 , 83.4300 , 0.6247 , 0.9874 , 0.9979 , 1.3148 , 0.9732 , 5.5019 , 5.8496 , 6.4818 ,
14/2/11, 0.7413 , 83.3200 , 0.6235 , 0.9891 , 0.9971 , 1.3215 , 0.9700 , 5.5271 , 5.8302 , 6.4845 ,
15/2/11, 0.7415 , 83.7700 , 0.6201 , 0.9898 , 1.0036 , 1.3300 , 0.9671 , 5.5284 , 5.8237 , 6.4809 ,
16/2/11, 0.7370 , 83.6800 , 0.6213 , 0.9849 , 0.9967 , 1.3250 , 0.9594 , 5.4953 , 5.7253 , 6.4180 ,
17/2/11, 0.7348 , 83.3100 , 0.6183 , 0.9843 , 0.9882 , 1.3177 , 0.9497 , 5.4774 , 5.7036 , 6.4013 ,
18/2/11, 0.7303 , 83.1800 , 0.6153 , 0.9868 , 0.9855 , 1.3130 , 0.9446 , 5.4441 , 5.6684 , 6.3879 ,
21/2/11, 0.7311 , 83.1400 , 0.6163 , 0.9830 , 0.9907 , 1.3092 , 0.9468 , 5.4503 , 5.6771 , 6.4272 ,
22/2/11, 0.7326 , 82.7700 , 0.6197 , 0.9907 , 1.0012 , 1.3398 , 0.9389 , 5.4616 , 5.6786 , 6.4488 ,
23/2/11, 0.7273 , 82.5100 , 0.6169 , 0.9895 , 0.9978 , 1.3410 , 0.9330 , 5.4222 , 5.6346 , 6.3941 ,
24/2/11, 0.7246 , 81.8900 , 0.6197 , 0.9826 , 0.9913 , 1.3380 , 0.9264 , 5.4029 , 5.6184 , 6.3857 ,
25/2/11, 0.7271 , 81.6800 , 0.6204 , 0.9774 , 0.9826 , 1.3305 , 0.9282 , 5.4217 , 5.6373 , 6.4246 ,
28/2/11, 0.7243 , 81.7800 , 0.6151 , 0.9716 , 0.9817 , 1.3291 , 0.9289 , 5.4011 , 5.5954 , 6.3249 ,
1/3/11, 0.7258 , 81.8600 , 0.6147 , 0.9748 , 0.9868 , 1.3383 , 0.9284 , 5.4124 , 5.6036 , 6.3372 ,
2/3/11, 0.7212 , 81.8700 , 0.6126 , 0.9731 , 0.9834 , 1.3455 , 0.9236 , 5.3776 , 5.5469 , 6.3133 ,
3/3/11, 0.7159 , 82.4500 , 0.6144 , 0.9720 , 0.9856 , 1.3495 , 0.9316 , 5.3378 , 5.5606 , 6.3177 ,
4/3/11, 0.7149 , 82.3200 , 0.6147 , 0.9734 , 0.9864 , 1.3545 , 0.9245 , 5.3309 , 5.5673 , 6.3462 ,
7/3/11, 0.7159 , 82.2400 , 0.6172 , 0.9733 , 0.9882 , 1.3570 , 0.9266 , 5.3393 , 5.5517 , 6.3573 ,
8/3/11, 0.7192 , 82.6700 , 0.6188 , 0.9714 , 0.9902 , 1.3523 , 0.9352 , 5.3636 , 5.5825 , 6.3653 ,
9/3/11, 0.7190 , 82.7400 , 0.6172 , 0.9685 , 0.9893 , 1.3576 , 0.9296 , 5.3624 , 5.5707 , 6.3210 ,
10/3/11, 0.7247 , 82.9800 , 0.6226 , 0.9760 , 0.9992 , 1.3598 , 0.9320 , 5.4054 , 5.6558 , 6.4028 ,
11/3/11, 0.7193 , 81.8400 , 0.6218 , 0.9732 , 0.9864 , 1.3464 , 0.9298 , 5.3645 , 5.5972 , 6.3349 ,
14/3/11, 0.7147 , 81.6300 , 0.6184 , 0.9738 , 0.9904 , 1.3526 , 0.9244 , 5.3305 , 5.6005 , 6.3385 ,
15/3/11, 0.7144 , 80.7200 , 0.6220 , 0.9859 , 1.0091 , 1.3665 , 0.9165 , 5.3286 , 5.6612 , 6.4000 ,
16/3/11, 0.7194 , 79.5900 , 0.6241 , 0.9914 , 1.0164 , 1.3734 , 0.9082 , 5.3660 , 5.6683 , 6.4822 ,
17/3/11, 0.7132 , 78.8900 , 0.6197 , 0.9848 , 1.0201 , 1.3931 , 0.8985 , 5.3190 , 5.6564 , 6.4158 ,
18/3/11, 0.7051 , 80.5800 , 0.6160 , 0.9843 , 1.0041 , 1.3678 , 0.9010 , 5.2585 , 5.5652 , 6.2718 ,
21/3/11, 0.7029 , 81.0300 , 0.6131 , 0.9778 , 0.9937 , 1.3592 , 0.9045 , 5.2417 , 5.5390 , 6.2680 ,
22/3/11, 0.7044 , 80.9700 , 0.6111 , 0.9807 , 0.9898 , 1.3512 , 0.9035 , 5.2532 , 5.5681 , 6.3159 ,
23/3/11, 0.7098 , 80.9200 , 0.6160 , 0.9816 , 0.9871 , 1.3503 , 0.9084 , 5.2935 , 5.6098 , 6.3462 ,
24/3/11, 0.7054 , 80.9700 , 0.6203 , 0.9752 , 0.9792 , 1.3349 , 0.9086 , 5.2602 , 5.5568 , 6.3228 ,
25/3/11, 0.7098 , 81.3400 , 0.6234 , 0.9805 , 0.9747 , 1.3273 , 0.9199 , 5.2934 , 5.6018 , 6.3794 ,
