exchange,instrument_token,tradingsymbol,last_price,volume,open,high,low,close
NSE,1793,AARTIIND,374.9,1139835,375.1,376.7,367.5,375.1
NSE,5633,ACC,1786.2,175285,1794,1796.9,1781,1788.2
NSE,6401,ADANIENT,2283.4,2376286,2196,2302,2183,2178.1
NSE,8705,ADOR,1001.55,9029,1010,1013.95,986.5,1013.15
NSE,10241,AEGISLOG,707.4,142804,714.05,715.95,704.3,712.8
NSE,82945,ANGELONE,2548.1,499389,2550,2564.7,2528.4,2552.6
NSE,39425,APCOTEXIND,404.25,20212,409,409,395,406.6
NSE,41729,APOLLOTYRE,438.9,282065,434.25,440.95,430,434.2
NSE,51969,ASHAPURMIN,560.7,821479,527.35,565,523.85,526.75
NSE,60417,ASIANPAINT,2489.1,721135,2463.9,2504.2,2452,2475.6
NSE,70401,AUROPHARMA,1052.9,796011,1042,1056.4,1031.8,1042.1
NSE,71169,AUTOAXLES,1644.2,5636,1650,1666.2,1641,1657.9
NSE,81153,BAJFINANCE,877.8,5367926,877.15,888.3,872.75,877.15
NSE,85761,BALKRISIND,2416.2,210938,2448.3,2448.3,2391.1,2428.4
NSE,87297,BALRAMCHIN,551.8,81172,545.1,555,540.4,545.2
NSE,94977,BATAINDIA,1183.4,44912,1178.1,1192,1175,1182.1
NSE,97281,BBTC,1835.5,18079,1850,1850,1828.1,1849.4
NSE,70913,GICRE,399.5,1051714,395,403,389.4,393.25
NSE,36865,GODREJAGRO,800.4,298946,817.05,822.25,790.05,816.05
NSE,12289,HAPPSTMNDS,576.6,219575,592.1,593.5,575,592.8
NSE,50945,MASFIN,300.95,90717,304,304.55,295.55,302.4
NSE,32769,ROUTE,867.4,47189,864.75,871.25,856.2,863.4
NSE,4865,STYRENIX,2756.1,15559,2750.1,2804,2742.4,2767.5
NSE,79873,TIINDIA,3000.6,315016,2893.9,3015.4,2878.5,2885.7
NSE,113921,5PAISA,375,15752,370.7,378.95,366.8,369.3
NSE,160001,ABREL,1854.2,99416,1865.1,1877.3,1823.1,1865.9
NSE,98049,BEL,383.9,8910936,384,388.4,381.55,384.6
NSE,103425,BERGEPAINT,546.1,152097,551.05,555.5,541,551.05
NSE,108033,BHARATFORG,1165.9,630216,1136.8,1173.3,1129.5,1135.2
NSE,122881,BIRLACORPN,1289.6,64357,1249.2,1293.9,1237.6,1249.2
NSE,134657,BPCL,320.95,7957794,322.25,330,317.2,319.45
NSE,149249,CANFINHOME,753.95,515783,742.55,756.95,740.25,743.65
NSE,152321,CARBORUNIV,849.25,359274,841.35,861.9,833.05,841.3
NSE,158465,CENTENKA,495,19182,491,497.35,490,495.25
NSE,194561,CGPOWER,664.9,2048345,666,668.8,655.5,666.4
NSE,163073,CHAMBLFERT,522.25,1482566,529.75,533.9,516.5,530.55
NSE,175361,CHOLAFIN,1483,842409,1452,1493.6,1448,1451.1
NSE,177665,CIPLA,1504.8,898160,1488,1514,1480.2,1485.8
NSE,189185,COROMANDEL,2441.6,177015,2420.1,2464.9,2407.4,2420.1
NSE,189953,COSMOFIRST,1042.4,41073,1024,1057.2,1015.4,1024.6
NSE,179969,DICIND,594.65,4044,597.15,599.2,584,600.05
NSE,173057,EXIDEIND,377.65,2391804,375.65,380.25,373.5,375.65
NSE,151553,GRAPHITE,523.3,265094,523.3,527.5,518.95,523.35
NSE,119553,HDFCLIFE,764.75,1719052,763.5,765.85,753.7,761.55
NSE,183041,HEUBACHIND,590.9,11709,590.3,593,590.1,590.55
NSE,125185,ICEMAKE,722.05,20467,730.25,742.4,719.45,730.25
NSE,162305,IGARASHI,520.65,55845,530,530,515.05,524.25
NSE,98561,MAHLOG,332.35,753291,322.95,339,321.25,322
NSE,130305,MAZDOCK,2697.3,1919753,2636.8,2755,2624,2636.7
NSE,189441,SBIETFIT,376.16,7579,375.07,377.32,373.3,375.08
NSE,134913,UTIAMC,1331.9,71317,1322.9,1339.2,1308.3,1322.9
NSE,263681,AARON,405.1,77740,449.2,451.05,400.5,454
NSE,267265,AXISBNKETF,569.37,1423,565.73,569.67,564.31,564.71
NSE,197633,DABUR,510.05,1123741,507.7,511.55,499.3,507.25
NSE,199937,DALMIASUG,358.45,46430,353.55,359.7,349,353.55
NSE,207617,DCMSHRIRAM,1367.3,48783,1352.3,1377.9,1321.4,1352.3
NSE,211713,DEEPAKFERT,1475.3,267288,1463.2,1489,1408,1470.3
NSE,239617,DPABHUSHAN,1640,37977,1647.4,1655,1615,1623.8
NSE,225537,DRREDDY,1219.5,1246374,1212.5,1237,1208.6,1211.4
NSE,234497,EIDPARRY,1148.4,483013,1122,1159,1122,1117.6
NSE,235265,EIHOTEL,359.65,88954,354.1,361,352.5,355.7
NSE,239873,ELGIEQUIP,508.9,434481,511.1,518.85,501.5,512.25
NSE,254209,EVERESTIND,509,9328,508.7,522.55,490.5,508.75
NSE,258049,FACT,914.75,144289,923.1,929.85,905,926.05
NSE,265729,FINCABLES,845.9,128716,856,859.95,838.6,846.25
NSE,277761,GABRIEL,1013.2,437816,1009,1035,995,1010
NSE,281601,GARFIBRES,822.6,47834,835.1,838.9,816.5,833.55
NSE,288513,GHCL,547.9,65323,545,551,541.95,548.55
NSE,303617,GLAND,1936.3,78843,1934.6,1945.2,1907.3,1934.6
NSE,295169,GLAXO,2687.1,56444,2651,2712.6,2611.1,2651
NSE,299009,GMBREW,677.45,10783,678,679.4,670.55,678.45
NSE,300545,GNFC,498.5,282207,499,504.25,493,498.25
NSE,297985,NEWGEN,866.05,337906,873.05,889.8,859.55,874.4
NSE,237057,ORCHPHARMA,780.1,71361,760,797.45,741.05,754.9
NSE,269569,UFLEX,588.5,18701,588.3,589.95,583.8,588.3
NSE,275457,ZENSARTECH,791.55,202620,785.6,796,779,785.65
NSE,361473,AGI,914.45,74054,930,930,901,919.55
NSE,325121,AMBUJACEM,588.85,839347,580.15,591.3,580.05,580
NSE,386049,ASTERDM,587.85,720794,580.6,590,576.15,580.45
NSE,372481,BIRLANU,1965.6,16555,1984,1999.5,1940.4,1985
NSE,413185,FAIRCHEMOR,857.05,24141,854.95,869.05,847.55,855.8
NSE,304641,FMGOETZE,537.4,65974,535.75,543.45,522,528.65
NSE,336641,GALAXYSURF,2414.8,9554,2426,2448,2398.8,2439
NSE,401921,GMMPFAUDLR,1309.1,79862,1280,1321,1268.8,1283.4
NSE,315393,GRASIM,2758.9,1236332,2726,2795,2720,2691.6
NSE,324353,GUJALKALI,559.25,60416,565,570,553.8,578.65
NSE,341249,HDFCBANK,1995.6,4552927,1975.9,1997.6,1973.1,1973.9
NSE,342017,HEG,505.55,567368,504.8,513.65,500,505.8
