instrument_token,exchange,tradingsymbol
1025,NSE,21STCENMGM
1793,NSE,AARTIIND
2561,NSE,ABAN
3329,NSE,ABB
4865,NSE,STYRENIX
5633,NSE,ACC
6401,NSE,ADANIENT
8705,NSE,ADOR
10241,NSE,AEGISLOG
12289,NSE,HAPPSTMNDS
20225,NSE,ALEMBICLTD
25601,NSE,ARE&M
26625,NSE,SHAREINDIA
32769,NSE,ROUTE
34817,NSE,ANDHRSUGAR
36865,NSE,GODREJAGRO
39425,NSE,APCOTEXIND
40193,NSE,APOLLOHOSP
41729,NSE,APOLLOTYRE
42497,NSE,ANDHRAPAP
47105,NSE,TCPLPACK
49409,NSE,ARVIND
50945,NSE,MASFIN
51457,NSE,UNIDT
51969,NSE,ASHAPURMIN
54273,NSE,ASHOKLEY
56321,NSE,IEX
60417,NSE,ASIANPAINT
65281,NSE,NIRAJ
67329,NSE,ATUL
69121,NSE,CHEMCON
70401,NSE,AUROPHARMA
70913,NSE,GICRE
71169,NSE,AUTOAXLES
78081,NSE,BAJAJHLDNG
78849,NSE,BAJAJHIND
79873,NSE,TIINDIA
81153,NSE,BAJFINANCE
82945,NSE,ANGELONE
85761,NSE,BALKRISIND
86529,NSE,BALMLAWRIE
87297,NSE,BALRAMCHIN
87553,NSE,CAMS
88833,NSE,BANARBEADS
89601,NSE,BANARISUG
94209,NSE,BASF
94977,NSE,BATAINDIA
97281,NSE,BBTC
97537,NSE,SINTERCOM
98049,NSE,BEL
98561,NSE,MAHLOG
100609,NSE,GLOBE
101121,NSE,BEML
102145,NSE,NIACL
103425,NSE,BERGEPAINT
107265,NSE,BEPL
108033,NSE,BHARATFORG
108801,NSE,KHADIM
109057,NSE,BHARATGEAR
111617,NSE,IFGLEXPOR
112129,NSE,BHEL
113921,NSE,5PAISA
119553,NSE,HDFCLIFE
120577,NSE,OSWALGREEN
121345,NSE,3MINDIA
122881,NSE,BIRLACORPN
125185,NSE,ICEMAKE
126721,NSE,BLUEDART
130305,NSE,MAZDOCK
131329,NSE,BOMDYEING
133633,NSE,ICICIB22
134657,NSE,BPCL
134913,NSE,UTIAMC
135681,NSE,BPL
140033,NSE,BRITANNIA
147969,NSE,LIKHITHA
149249,NSE,CANFINHOME
151553,NSE,GRAPHITE
152321,NSE,CARBORUNIV
158465,NSE,CENTENKA
160001,NSE,ABREL
160769,NSE,CESC
162305,NSE,IGARASHI
163073,NSE,CHAMBLFERT
164097,NSE,DNAMEDIA
173057,NSE,EXIDEIND
175361,NSE,CHOLAFIN
177665,NSE,CIPLA
179457,NSE,HEMIPROP
179969,NSE,DICIND
181249,NSE,SHRADHA
182785,NSE,SHALBY
183041,NSE,HEUBACHIND
184833,NSE,SBIETFPB
189185,NSE,COROMANDEL
189441,NSE,SBIETFIT
189953,NSE,COSMOFIRST
193793,NSE,CRISIL
194561,NSE,CGPOWER
197633,NSE,DABUR
199937,NSE,DALMIASUG
205825,NSE,SHIVATEX
206081,NSE,DCM
207105,NSE,BSHSL
207617,NSE,DCMSHRIRAM
209153,NSE,DCW
210433,NSE,BANKA
211713,NSE,DEEPAKFERT
219393,NSE,DHAMPURSUG
223745,NSE,ASTRON
225537,NSE,DRREDDY
232961,NSE,EICHERMOT
233729,NSE,EQUITASBNK
234497,NSE,EIDPARRY
235265,NSE,EIHOTEL
237057,NSE,ORCHPHARMA
237569,NSE,ELECTCAST
239617,NSE,DPABHUSHAN
239873,NSE,ELGIEQUIP
240641,NSE,PGHL
244481,NSE,ESABINDIA
245249,NSE,ESCORTS
251137,NSE,EPL
255745,NSE,EUROTEXIND
258049,NSE,FACT
258817,NSE,SCHAEFFLER
261889,NSE,FEDERALBNK
263681,NSE,AARON
265729,NSE,FINCABLES
266497,NSE,FINPIPE
267265,NSE,AXISBNKETF
269569,NSE,UFLEX
274689,NSE,FOSECOIND
275457,NSE,ZENSARTECH
277761,NSE,GABRIEL
281601,NSE,GARFIBRES
288513,NSE,GHCL
290305,NSE,APOLLO
291585,NSE,GICHSGFIN
293121,NSE,GIPCL
295169,NSE,GLAXO
297473,NSE,GTL
297985,NSE,NEWGEN
299009,NSE,GMBREW
300545,NSE,GNFC
302337,NSE,GODFRYPHLP
303361,NSE,AMBER
303617,NSE,GLAND
304641,NSE,FMGOETZE
306177,NSE,KANSAINER
307201,NSE,ESG
315393,NSE,GRASIM
316161,NSE,GREAVESCOT
319233,NSE,GSFC
320001,NSE,CASTROLIND
324353,NSE,GUJALKALI
325121,NSE,AMBUJACEM
329985,NSE,GFLLIMITED
336129,NSE,HARRMALAYA
336641,NSE,GALAXYSURF
341249,NSE,HDFCBANK
342017,NSE,HEG
342529,NSE,SDBL
345089,NSE,HEROMOTOCO
348161,NSE,HIMATSEIDE
348929,NSE,HINDALCO
351233,NSE,HINDCOMPOS
356865,NSE,HINDUNILVR
359169,NSE,HINDOILEXP
359937,NSE,HINDPETRO
361473,NSE,AGI
364545,NSE,HINDZINC
369153,NSE,SANOFI
370689,NSE,HLVLTD
372481,NSE,BIRLANU
375041,NSE,ACCURACY
375553,NSE,AKZOINDIA
377857,NSE,IDBI
378881,NSE,REPL
380161,NSE,IFBIND
381697,NSE,IFCI
382465,NSE,RBA
383233,NSE,SHIVAMILLS
385793,NSE,MOGSEC
386049,NSE,ASTERDM
387073,NSE,INDHOTEL
387841,NSE,INDIACEM
389377,NSE,INDIAGLYCO
391681,NSE,INDIANHUME
396033,NSE,RKEC
400641,NSE,RVHL
401921,NSE,GMMPFAUDLR
403457,NSE,GILLETTE
404737,NSE,TARC
407809,NSE,MGEL
408065,NSE,INFY
408833,NSE,INGERRAND
413185,NSE,FAIRCHEMOR
414977,NSE,TATAINVEST
415745,NSE,IOC
416513,NSE,LINDEINDIA
416769,NSE,BECTORFOOD
417281,NSE,IONEXCHANG
418049,NSE,IPCALAB
424961,NSE,ITC
425729,NSE,SUNDROP
428033,NSE,HGINFRA
428801,NSE,ITI
430337,NSE,IVP
437249,NSE,JAYBARMARU
440321,NSE,JAYSREETEA
441857,NSE,JBCHEPHARM
449537,NSE,JINDALPOLY
460033,NSE,AWHCL
461313,NSE,JYOTISTRUC
462081,NSE,KABRAEXTRU
462849,NSE,KAJARIACER
463617,NSE,KAKATCEM
464385,NSE,KPIL
467457,NSE,KAMATHOTEL
469761,NSE,KANORICHEM
470529,NSE,KARURVYSYA
471297,NSE,KCP
481025,NSE,CARYSIL
486657,NSE,CUMMINSIND
491265,NSE,KOPRAN
492033,NSE,KOTAKBANK
492289,NSE,WEALTH
493313,NSE,LIQUIDETF
498945,NSE,KSB
502785,NSE,TRENT
506625,NSE,LMW
511233,NSE,LICHSGFIN
513025,NSE,AHLADA
516609,NSE,LUMAXIND
519169,NSE,LYKALABS
519425,NSE,IRFC
519937,NSE,M&M
523009,NSE,RAMCOCEM
524289,NSE,INDIGOPNTS
524545,NSE,CHENNPETRO
526337,NSE,HOMEFIRST
530689,NSE,VTL
533761,NSE,MAHSCOOTER
534529,NSE,MAHSEAMLES
539137,NSE,MANGLMCEM
539393,NSE,STOVEKRAFT
540673,NSE,MARALOVER
543745,NSE,MASTEK
548353,NSE,MFSL
548865,NSE,BDL
557057,NSE,AKG
558337,NSE,BOSCHLTD
558849,NSE,SUNDARMHLD
563713,NSE,MIRCELECTR
573697,NSE,MODTHREAD
577537,NSE,PENINLAND
578305,NSE,MOREPENLAB
579329,NSE,BANDHANBNK
580609,NSE,MOTOGENFIN
582913,NSE,MRF
584449,NSE,MRPL
585985,NSE,HLEGLAS
587265,NSE,MTNL
589569,NSE,HAL
590337,NSE,BESTAGRO
590593,NSE,MUNJALSHOW
592129,NSE,MURUDCERA
592897,NSE,HEIDELBERG
593665,NSE,NCC
593921,NSE,SMCGLOBAL
595969,NSE,CPSEETF
596737,NSE,JAYNECOIND
601601,NSE,NURECA
610561,NSE,NAVNETEDUL
611329,NSE,NELCO
613633,NSE,SANDHAR
615937,NSE,NEULANDLAB
617473,NSE,PEL
619777,NSE,NILKAMAL
622337,NSE,RAILTEL
623361,NSE,CONSUMBEES
624385,NSE,NKIND
625153,NSE,NOCIL
630529,NSE,MIDHANI
632833,NSE,OILCOUNTUB
633601,NSE,ONGC
638209,NSE,ORIENTHOT
638977,NSE,ORIENTPPR
643329,NSE,BCLIND
643585,NSE,OSWALAGRO
648961,NSE,PGHH
655873,NSE,HUHTAMAKI
664321,NSE,3PLAND
665089,NSE,AMJLAND
667137,NSE,LEMONTREE
668161,NSE,PEARLPOLY
669185,NSE,HERANBA
669697,NSE,SEAMECLTD
672513,NSE,IT
674817,NSE,DIVOPPBEES
676609,NSE,PFIZER
678145,NSE,PCBL
681985,NSE,PIDILITIND
687873,NSE,POLYPLEX
692481,NSE,PRAJIND
693249,NSE,PRAKASH
693505,NSE,MTARTECH
695297,NSE,BUTTERFLY
695553,NSE,PRECWIRE
701185,NSE,PRSMJOHNSN
712449,NSE,JUBLINGREA
714753,NSE,EASEMYTRIP
715265,NSE,RSWM
716545,NSE,CHEMFAB
719105,NSE,RAJSREESUG
720385,NSE,ARVEE
720897,NSE,RALLIS
724225,NSE,ANURAS
726273,NSE,RANASUG
727297,NSE,LXCHEM
728065,NSE,RANEHOLDIN
730625,NSE,CRAFTSMAN
