tradingsymbol,name,last_price,instrument_type,segment,exchange
GOLDSTAR-ST,GOLDSTAR POWER,0,EQ,NSE,NSE
21STCENMGM,21ST CENTURY MGMT SERVICE,0,EQ,NSE,NSE
AARTIIND,AARTI INDUSTRIES,0,EQ,NSE,NSE
ABAN,ABAN OFFSHORE,0,EQ,NSE,NSE
ABB,ABB INDIA,0,EQ,NSE,NSE
656KA30-SG,SDL KA 6.56% 2030,0,EQ,NSE,NSE
GATECHDVR,GACM TECHNOLOGIES,0,EQ,NSE,NSE
66RJ30-SG,SDL RJ 6.6% 2030,0,EQ,NSE,NSE
STYRENIX,STYRENIX PERFORMANCE,0,EQ,NSE,NSE
66GA30A-SG,SDL GA 6.6% 2030,0,EQ,NSE,NSE
664UP30-SG,SDL UP 6.64% 2030,0,EQ,NSE,NSE
ACC,ACC,0,EQ,NSE,NSE
67JK30-SG,SDL JK 6.7% 2030,0,EQ,NSE,NSE
ADANIENT,ADANI ENTERPRISES,0,EQ,NSE,NSE
67HR30-SG,SDL HR 6.7% 2030,0,EQ,NSE,NSE
667MH31-SG,SDL MH 6.67% 2031,0,EQ,NSE,NSE
679MP33-SG,SDL MP 6.79% 2033,0,EQ,NSE,NSE
ADOR,ADOR WELDING,0,EQ,NSE,NSE
677KA34-SG,SDL KA 6.77% 2034,0,EQ,NSE,NSE
685AP36-SG,SDL AP 6.85% 2036,0,EQ,NSE,NSE
AEGISLOG,AEGIS LOGISTICS,0,EQ,NSE,NSE
687AP38-SG,SDL AP 6.87% 2038,0,EQ,NSE,NSE
677WB40-SG,SDL WB 6.77% 2040,0,EQ,NSE,NSE
SANWARIA-BZ,SANWARIA CONSUMER,0,EQ,NSE,NSE
HAPPSTMNDS,HAPPIEST MINDS TECHNO,0,EQ,NSE,NSE
605AS25-SG,SDL AS 6.05% 2025,0,EQ,NSE,NSE
663GJ29-SG,SDL GJ 6.63% 2029,0,EQ,NSE,NSE
684TS40-SG,SDL TS 6.84% 2040,0,EQ,NSE,NSE
665KA30-SG,SDL KA 6.65% 2030,0,EQ,NSE,NSE
675KA33-SG,SDL KA 6.75% 2033,0,EQ,NSE,NSE
667UK30-SG,SDL UK 6.67% 2030,0,EQ,NSE,NSE
ALEMBICLTD,ALEMBIC,0,EQ,NSE,NSE
BETA-SM,BETA DRUGS,0,EQ,NSE,NSE
67ML30-SG,SDL ML 6.7% 2030,0,EQ,NSE,NSE
67NL30-SG,SDL NL 6.7% 2030,0,EQ,NSE,NSE
667RJ30-SG,SDL RJ 6.67% 2030,0,EQ,NSE,NSE
67TR30-SG,SDL TR 6.7% 2030,0,EQ,NSE,NSE
668UP30-SG,SDL UP 6.68% 2030,0,EQ,NSE,NSE
676MP33-SG,SDL MP 6.76% 2033,0,EQ,NSE,NSE
ARE&M,AMARA RAJA ENERGY MOB,0,EQ,NSE,NSE
SHAREINDIA,SHARE IND. SECURITIES,0,EQ,NSE,NSE
OMFURN-SM,OMFURN INDIA,0,EQ,NSE,NSE
ROUTE,ROUTE MOBILE,0,EQ,NSE,NSE
ANDHRSUGAR,ANDHRA SUGARS,0,EQ,NSE,NSE
GODREJAGRO,GODREJ AGROVET,0,EQ,NSE,NSE
SGBSEP28VI-GB,2.50%GOLDBONDS2028SR-VI,0,EQ,NSE,NSE
APCOTEXIND,APCOTEX INDUSTRIES LIMITE,0,EQ,NSE,NSE
APOLLOHOSP,APOLLO HOSPITALS ENTER. L,0,EQ,NSE,NSE
67MH28-SG,SDL MH 6.7% 2028,0,EQ,NSE,NSE
MILTON-SM,MILTON INDUSTRIES,0,EQ,NSE,NSE
674UP30-SG,SDL UP 6.74% 2030,0,EQ,NSE,NSE
APOLLOTYRE,APOLLO TYRES,0,EQ,NSE,NSE
68AS30-SG,SDL AS 6.8% 2030,0,EQ,NSE,NSE
674GA30-SG,SDL GA 6.74% 2030,0,EQ,NSE,NSE
ANDHRAPAP,ANDHRA PAPER,0,EQ,NSE,NSE
67GJ30-SG,SDL GJ 6.7% 2030,0,EQ,NSE,NSE
67KA30-SG,SDL KA 6.7% 2030,0,EQ,NSE,NSE
672RJ30-SG,SDL RJ 6.72% 2030,0,EQ,NSE,NSE
673SK30-SG,SDL SK 6.73% 2030,0,EQ,NSE,NSE
669TN30-SG,SDL TN 6.69% 2030,0,EQ,NSE,NSE
ARENTERP,RAJDARSHAN INDUSTRIES,0,EQ,NSE,NSE
678KA32-SG,SDL KA 6.78% 2032,0,EQ,NSE,NSE
TCPLPACK,TCPL PACKAGING,0,EQ,NSE,NSE
678MH32-SG,SDL MH 6.78% 2032,0,EQ,NSE,NSE
850NHAI29-N5,,0,EQ,NSE,NSE
875NHAI29-N6,,0,EQ,NSE,NSE
ARVIND,ARVIND,0,EQ,NSE,NSE
MASFIN,MAS FINANCIAL SERV,0,EQ,NSE,NSE
UNIDT,UNITED DRILLING TOOLS,0,EQ,NSE,NSE
ASHAPURMIN,ASHAPURA MINECHEM,0,EQ,NSE,NSE
ASHOKLEY,ASHOK LEYLAND,0,EQ,NSE,NSE
IEX,INDIAN ENERGY EXC,0,EQ,NSE,NSE
ASIANPAINT,ASIAN PAINTS,0,EQ,NSE,NSE
AAKASH-BE,AAKASH EXPLORATION SER L,0,EQ,NSE,NSE
ADL-BE,ARCHIDPLY DECOR,0,EQ,NSE,NSE
SGBOCT25-GB,2.50% GOLDBONDS2025SR-III,0,EQ,NSE,NSE
NIRAJ,NIRAJ CEMENT STRUC,0,EQ,NSE,NSE
ATUL,ATUL,0,EQ,NSE,NSE
CHEMCON,CHEMCON SPECIAL CHEM,0,EQ,NSE,NSE
AUROPHARMA,AUROBINDO PHARMA,0,EQ,NSE,NSE
GICRE,GENERAL INS CORP OF INDIA,0,EQ,NSE,NSE
AUTOAXLES,AUTOMOTIVE AXLES,0,EQ,NSE,NSE
69PY29-SG,SDL PY 6.9% 2029,0,EQ,NSE,NSE
69AS30A-SG,SDL AS 6.9% 2030,0,EQ,NSE,NSE
683GJ30-SG,SDL GJ 6.83% 2030,0,EQ,NSE,NSE
685KA30-SG,SDL KA 6.85% 2030,0,EQ,NSE,NSE
685RJ30-SG,SDL RJ 6.85% 2030,0,EQ,NSE,NSE
689GA30-SG,SDL GA 6.89% 2030,0,EQ,NSE,NSE
SGBOCT25IV-GB,2.50% GOLDBONDS2025SR-IV,0,EQ,NSE,NSE
BAJAJHLDNG,BAJAJ HOLDINGS & INVS,0,EQ,NSE,NSE
69ML30-SG,SDL ML 6.9% 2030,0,EQ,NSE,NSE
69UP30-SG,SDL UP 6.9% 2030,0,EQ,NSE,NSE
BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LT,0,EQ,NSE,NSE
69UK30A-SG,SDL UK 6.9% 2030,0,EQ,NSE,NSE
697KA31-SG,SDL KA 6.97% 2031,0,EQ,NSE,NSE
TIINDIA,TUBE INVEST OF INDIA,0,EQ,NSE,NSE
71MH32-SG,SDL MH 7.1% 2032,0,EQ,NSE,NSE
696JK35-SG,SDL JK 6.96% 2035,0,EQ,NSE,NSE
704WB35-SG,SDL WB 7.04% 2035,0,EQ,NSE,NSE
705MZ35-SG,SDL MZ 7.05% 2035,0,EQ,NSE,NSE
BAJFINANCE,BAJAJ FINANCE,0,EQ,NSE,NSE
70AP39-SG,SDL AP 7.0% 2039,0,EQ,NSE,NSE
695PN40-SG,SDL PN 6.95% 2040,0,EQ,NSE,NSE
705HR40-SG,SDL HR 7.05% 2040,0,EQ,NSE,NSE
694TS50-SG,SDL TS 6.94% 2050,0,EQ,NSE,NSE
ANGELONE,ANGEL ONE,0,EQ,NSE,NSE
VALIANTORG-BE,VALIANT ORGANICS,0,EQ,NSE,NSE
BALKRISIND,BALKRISHNA IND.,0,EQ,NSE,NSE
BALMLAWRIE,BALMER LAWRIE & CO,0,EQ,NSE,NSE
BALRAMCHIN,BALRAMPUR CHINI MILLS,0,EQ,NSE,NSE
CAMS,COMPUTER AGE MNGT SER,0,EQ,NSE,NSE
BANARBEADS,BANARAS BEADS,0,EQ,NSE,NSE
