,date,Open,High,Low,Close
0,2022-01-07,1815.45,1836.0,1806.8,1814.3
1,2022-01-10,1815.0,1869.9,1813.0,1850.75
2,2022-01-11,1855.0,1870.0,1850.15,1855.6
3,2022-01-12,1868.9,1889.0,1860.0,1877.45
4,2022-01-13,1905.0,1912.5,1866.35,1896.8
5,2022-01-14,1882.0,1933.0,1881.0,1929.35
6,2022-01-17,1938.55,1953.9,1930.5,1939.5
7,2022-01-18,1922.1,1945.0,1911.45,1920.75
8,2022-01-19,1916.0,1916.0,1862.85,1867.05
9,2022-01-20,1844.0,1848.0,1815.5,1823.7
10,2022-01-21,1795.0,1808.0,1776.0,1785.7
11,2022-01-24,1765.0,1768.65,1728.0,1736.8
12,2022-01-25,1726.6,1740.0,1700.5,1722.15
13,2022-01-27,1702.0,1709.7,1665.0,1678.6
14,2022-01-28,1681.0,1727.55,1679.5,1686.2
15,2022-01-31,1718.0,1749.5,1715.35,1736.2
16,2022-02-01,1766.1,1780.0,1734.7,1772.05
17,2022-02-02,1789.0,1792.8,1772.0,1787.1
18,2022-02-03,1779.0,1779.0,1734.0,1738.55
19,2022-02-04,1732.0,1753.95,1710.15,1741.1
20,2022-02-07,1722.2,1732.0,1695.4,1715.0
21,2022-02-08,1710.0,1725.0,1696.0,1717.3
22,2022-02-09,1735.0,1743.0,1725.0,1737.3
23,2022-02-10,1755.65,1773.9,1748.75,1769.6
24,2022-02-11,1740.0,1745.95,1713.0,1721.35
25,2022-02-14,1690.0,1718.55,1678.25,1682.2
26,2022-02-15,1699.0,1746.75,1690.45,1738.25
27,2022-02-16,1738.25,1755.45,1726.85,1733.3
28,2022-02-17,1744.0,1749.0,1720.3,1724.8
29,2022-02-18,1710.0,1722.5,1703.5,1706.95
30,2022-02-21,1701.0,1737.3,1691.5,1730.7
31,2022-02-22,1699.9,1751.0,1691.05,1734.35
32,2022-02-23,1750.0,1758.25,1733.4,1742.85
33,2022-02-24,1690.1,1714.95,1670.5,1678.15
34,2022-02-25,1715.0,1728.15,1677.0,1694.6
35,2022-02-28,1682.2,1728.05,1665.0,1715.6
36,2022-03-02,1710.0,1714.4,1691.0,1702.8
37,2022-03-03,1720.2,1733.9,1705.55,1720.85
38,2022-03-04,1695.25,1736.0,1681.0,1723.3
39,2022-03-07,1697.0,1751.0,1696.0,1739.85
40,2022-03-08,1718.45,1800.0,1718.45,1778.2
41,2022-03-09,1791.0,1831.6,1791.0,1813.35
42,2022-03-10,1844.75,1844.75,1810.2,1825.9
43,2022-03-11,1814.0,1831.4,1811.0,1822.0
44,2022-03-14,1831.55,1895.0,1831.55,1890.7
45,2022-03-15,1888.35,1888.35,1830.0,1839.3
46,2022-03-16,1865.0,1893.95,1849.0,1889.4
47,2022-03-17,1923.3,1923.3,1833.05,1854.6
48,2022-03-21,1861.0,1886.9,1841.1,1853.05
49,2022-03-22,1850.0,1890.0,1839.0,1887.4
50,2022-03-23,1897.0,1900.0,1857.0,1872.4
51,2022-03-24,1856.15,1894.6,1856.15,1886.7
52,2022-03-25,1892.0,1894.0,1858.0,1876.55
53,2022-03-28,1866.0,1880.9,1852.65,1873.9
54,2022-03-29,1873.9,1889.4,1860.55,1886.0
55,2022-03-30,1910.0,1919.0,1895.0,1903.95
56,2022-03-31,1900.0,1913.0,1894.2,1906.85
57,2022-04-01,1886.85,1910.3,1878.3,1903.55
58,2022-04-04,1889.75,1893.0,1873.0,1882.95
59,2022-04-05,1883.8,1889.6,1857.15,1861.1
60,2022-04-06,1855.0,1857.5,1822.15,1828.85
61,2022-04-07,1821.05,1828.15,1807.55,1811.0
62,2022-04-08,1823.0,1838.0,1808.0,1814.6
63,2022-04-11,1814.0,1814.0,1762.55,1766.55
64,2022-04-12,1757.5,1757.5,1727.75,1742.45
65,2022-04-13,1754.95,1757.5,1732.0,1748.55
66,2022-04-18,1605.5,1650.0,1590.0,1621.4
67,2022-04-19,1636.65,1636.65,1550.0,1562.0
68,2022-04-20,1575.0,1596.3,1563.0,1587.7
69,2022-04-21,1595.0,1627.2,1589.25,1618.8
70,2022-04-22,1604.35,1610.7,1582.4,1585.45
71,2022-04-25,1572.8,1572.8,1554.1,1561.1
72,2022-04-26,1577.2,1592.0,1566.55,1581.0
73,2022-04-27,1572.75,1572.75,1550.35,1552.8
74,2022-04-28,1570.0,1601.8,1557.45,1582.6
75,2022-04-29,1590.0,1597.3,1560.8,1567.55
76,2022-05-02,1550.9,1552.75,1531.0,1541.0
77,2022-05-04,1547.25,1570.0,1530.15,1535.55
78,2022-05-05,1560.05,1589.4,1557.45,1585.15
79,2022-05-06,1550.0,1561.85,1535.05,1542.85
80,2022-05-09,1540.0,1586.8,1522.15,1570.35
81,2022-05-10,1558.0,1569.15,1546.05,1553.0
82,2022-05-11,1549.95,1549.95,1511.6,1526.75
83,2022-05-12,1514.0,1527.5,1504.3,1508.8
84,2022-05-13,1519.3,1529.25,1498.1,1504.4
85,2022-05-16,1510.0,1511.85,1478.65,1489.1
86,2022-05-17,1494.9,1525.0,1480.9,1518.45
87,2022-05-18,1522.0,1549.7,1505.3,1509.2
88,2022-05-19,1481.0,1484.7,1417.65,1427.15
89,2022-05-20,1453.0,1466.75,1446.7,1455.15
90,2022-05-23,1455.1,1488.0,1450.05,1468.4
91,2022-05-24,1468.6,1469.55,1435.25,1441.0
92,2022-05-25,1435.0,1442.5,1399.25,1410.45
93,2022-05-26,1418.0,1430.0,1407.05,1423.95
94,2022-05-27,1443.95,1467.0,1437.4,1461.35
95,2022-05-30,1487.0,1530.0,1485.0,1526.8
96,2022-05-31,1510.7,1518.0,1488.15,1503.6
97,2022-06-01,1513.0,1514.75,1472.1,1478.55
98,2022-06-02,1484.0,1513.85,1475.6,1508.0
99,2022-06-03,1524.9,1555.0,1518.0,1521.7
