,date,Open,High,Low,Close,Volume
0,2024-08-08,1825.0,1832.9,1781.8,1785.55,811391
1,2024-08-09,1803.0,1807.55,1791.0,1799.4,789272
2,2024-08-12,1791.0,1821.4,1790.55,1810.05,618188
3,2024-08-13,1815.0,1844.95,1803.8,1825.55,810978
4,2024-08-14,1831.0,1851.15,1808.0,1845.95,648490
5,2024-08-16,1871.0,1890.9,1852.5,1876.45,1620998
6,2024-08-19,1886.0,1897.3,1870.0,1881.85,622654
7,2024-08-20,1888.9,1902.55,1866.0,1889.7,964261
8,2024-08-21,1890.0,1925.0,1882.45,1920.55,948150
9,2024-08-22,1924.0,1924.0,1893.55,1895.65,767704
10,2024-08-23,1895.65,1908.0,1877.0,1884.65,543897
11,2024-08-26,1882.1,1916.35,1880.35,1912.1,580249
12,2024-08-27,1919.9,1957.45,1891.9,1895.2,1032266
13,2024-08-28,1899.0,1905.85,1878.0,1890.6,766452
14,2024-08-29,1893.0,1902.0,1863.55,1893.25,636198
15,2024-08-30,1888.0,1921.5,1888.0,1899.35,1562361
16,2024-09-02,1920.0,1920.0,1880.1,1885.4,663594
17,2024-09-03,1890.0,1910.0,1882.0,1901.95,593605
18,2024-09-04,1897.95,1916.0,1878.5,1901.3,573554
19,2024-09-05,1916.0,1916.0,1860.0,1879.45,544961
20,2024-09-06,1877.1,1888.45,1860.2,1872.35,788707
21,2024-09-09,1872.35,1900.0,1859.05,1892.4,422565
22,2024-09-10,1894.1,1942.0,1894.1,1922.45,1335774
23,2024-09-11,1925.0,1968.0,1924.95,1957.6,1175514
24,2024-09-12,1975.9,2000.95,1970.3,1996.4,1824365
25,2024-09-13,2001.0,2023.0,1974.0,1988.05,1147593
26,2024-09-16,1987.75,2008.95,1984.5,1989.9,324013
27,2024-09-17,1995.0,2009.95,1973.0,2006.55,596475
28,2024-09-18,2008.75,2008.75,1977.1,1987.8,427477
29,2024-09-19,1987.8,2002.0,1967.6,1998.6,757558
30,2024-09-20,2000.0,2058.85,1990.0,2048.1,1360503
31,2024-09-23,2057.0,2106.0,2051.0,2082.4,1311899
32,2024-09-24,2087.0,2087.0,2054.05,2068.15,1097815
33,2024-09-25,2062.0,2072.95,2034.7,2061.6,676261
34,2024-09-26,2061.6,2061.6,1991.85,2022.05,1227890
35,2024-09-27,2037.0,2037.0,2000.55,2031.3,1325848
36,2024-09-30,2035.0,2060.0,2007.45,2012.9,749912
37,2024-10-01,2020.0,2065.4,1970.55,1999.8,860908
38,2024-10-03,1959.0,2009.95,1919.55,1972.9,1327472
39,2024-10-04,1968.95,1983.55,1928.9,1934.45,1379482
40,2024-10-07,1944.0,1950.0,1900.95,1914.6,731944
41,2024-10-08,1914.0,1954.7,1910.0,1948.45,1086748
42,2024-10-09,1934.1,1971.8,1920.3,1928.7,1281595
43,2024-10-10,1941.0,1959.35,1930.3,1938.3,517804
44,2024-10-11,1944.45,1947.0,1928.5,1938.5,329385
45,2024-10-14,1939.15,1960.0,1933.35,1940.25,505739
46,2024-10-15,1951.9,1951.9,1921.6,1934.7,484293
47,2024-10-16,1934.05,1970.0,1914.95,1939.3,646184
48,2024-10-17,1945.0,1946.05,1785.8,1805.55,3142978
49,2024-10-18,1805.55,1865.0,1763.65,1849.7,2638593
50,2024-10-21,1855.0,1865.0,1801.7,1812.7,920339
51,2024-10-22,1812.7,1819.45,1761.5,1770.8,1400528
52,2024-10-23,1775.0,1776.75,1746.5,1749.8,1457260
53,2024-10-24,1758.8,1759.0,1705.05,1723.3,1229222
54,2024-10-25,1723.5,1730.35,1677.1,1694.95,720139
55,2024-10-28,1705.0,1709.65,1661.1,1668.4,694254
56,2024-10-29,1677.9,1683.05,1646.3,1672.2,1036926
57,2024-10-30,1674.0,1685.0,1650.2,1662.5,1154994
58,2024-10-31,1662.5,1679.1,1632.6,1638.4,1787940
59,2024-11-01,1655.0,1656.5,1642.7,1647.3,64766
60,2024-11-04,1652.9,1652.9,1606.5,1628.3,854857
61,2024-11-05,1625.0,1640.8,1590.0,1633.55,1191485
62,2024-11-06,1648.0,1684.9,1635.15,1675.15,980220
63,2024-11-07,1700.0,1700.05,1645.55,1666.05,944499
64,2024-11-08,1662.0,1671.45,1645.2,1660.65,743428
65,2024-11-11,1655.0,1665.55,1632.0,1641.75,511576
66,2024-11-12,1643.95,1655.45,1599.35,1603.4,538309
67,2024-11-13,1600.0,1622.0,1586.75,1614.1,723526
68,2024-11-14,1615.0,1637.25,1597.55,1618.85,717761
69,2024-11-18,1619.0,1634.3,1601.7,1619.05,458137
70,2024-11-19,1622.95,1663.95,1618.4,1632.7,575229
71,2024-11-21,1624.95,1639.45,1611.4,1636.1,739900
72,2024-11-22,1636.5,1676.0,1631.55,1665.8,740554
73,2024-11-25,1689.9,1728.0,1686.7,1708.15,2342379
74,2024-11-26,1708.0,1726.95,1686.9,1711.2,941525
75,2024-11-27,1712.3,1733.9,1692.9,1728.75,1127424
76,2024-11-28,1737.0,1742.4,1707.9,1717.6,886719
