date,open,high,low,close
2022-01-03,462.0,472.0,460.1,470.8
2022-01-04,472.5,484.7,471.05,483.5
2022-01-05,481.9,495.0,479.15,492.4
2022-01-06,487.7,494.4,485.4,491.7
2022-01-07,493.45,501.95,489.45,491.25
2022-01-10,493.35,504.95,492.5,503.65
2022-01-11,503.0,507.8,499.25,505.95
2022-01-12,509.9,513.5,508.5,510.25
2022-01-13,510.0,512.85,507.0,511.35
2022-01-14,509.0,510.35,505.15,508.35
2022-01-17,508.0,518.9,507.55,514.0
2022-01-18,514.0,517.45,505.0,506.8
2022-01-19,505.0,517.65,500.3,515.8
2022-01-20,516.0,519.15,508.0,511.4
2022-01-21,505.3,507.5,498.0,502.7
2022-01-24,502.4,506.8,488.0,494.15
2022-01-25,490.0,517.5,489.0,514.65
2022-01-27,503.55,530.85,503.2,528.95
2022-01-28,534.0,536.4,521.4,523.45
2022-01-31,529.0,540.9,527.05,538.3
2022-02-01,543.95,543.95,520.0,532.3
2022-02-02,536.65,544.25,531.35,539.8
2022-02-03,537.15,544.7,537.15,540.1
2022-02-04,542.15,546.4,527.3,530.3
2022-02-07,531.9,549.0,525.25,533.25
2022-02-08,535.5,537.65,519.0,531.35
2022-02-09,534.95,536.5,527.75,535.25
2022-02-10,537.1,543.95,534.4,540.55
2022-02-11,536.25,537.7,527.1,529.6
2022-02-14,515.0,515.6,499.7,501.4
2022-02-15,502.0,526.85,497.1,524.8
2022-02-16,526.5,528.0,514.0,516.7
2022-02-17,520.0,520.0,511.15,512.95
2022-02-18,510.1,520.9,510.1,515.3
2022-02-21,511.55,517.5,504.65,511.85
2022-02-22,500.9,505.3,495.5,498.4
2022-02-23,503.0,505.35,497.25,498.7
2022-02-24,480.0,487.95,468.0,472.65
2022-02-25,480.0,491.9,479.3,482.95
2022-02-28,476.9,485.3,473.1,483.2
2022-03-02,478.0,479.8,467.0,474.25
2022-03-03,480.0,483.4,464.6,467.4
2022-03-04,460.3,470.9,457.65,461.95
2022-03-07,447.5,453.95,433.45,440.3
2022-03-08,438.0,442.1,425.0,440.3
2022-03-09,442.0,454.3,438.55,451.7
2022-03-10,469.9,476.65,461.65,468.7
2022-03-11,466.4,474.8,462.0,470.35
2022-03-14,471.0,486.0,470.55,485.15
2022-03-15,489.0,490.5,480.65,485.85
2022-03-16,493.0,494.3,489.4,492.75
2022-03-17,499.0,503.5,498.3,501.9
2022-03-21,502.0,502.0,489.0,490.6
2022-03-22,490.6,495.8,477.25,493.7
2022-03-23,498.5,502.4,489.2,490.65
2022-03-24,485.0,494.8,483.5,487.1
2022-03-25,491.75,493.3,486.6,490.7
2022-03-28,490.95,498.6,481.95,497.5
2022-03-29,500.0,501.4,491.7,495.0
2022-03-30,499.3,500.4,492.3,494.3
2022-03-31,494.3,497.55,492.2,493.55
2022-04-01,491.0,509.75,491.0,508.2
2022-04-04,509.3,514.9,506.0,512.4
2022-04-05,514.4,516.4,507.7,509.4
2022-04-06,507.0,515.2,506.0,513.95
2022-04-07,510.05,519.9,510.05,514.95
2022-04-08,519.5,519.5,512.35,516.1
2022-04-11,513.5,522.0,513.2,514.9
2022-04-12,512.75,516.7,504.35,512.85
2022-04-13,514.3,520.9,513.75,517.7
2022-04-18,512.0,515.0,504.0,509.5
2022-04-19,513.25,520.95,505.1,511.8
2022-04-20,512.0,513.7,507.0,509.3
2022-04-21,513.4,518.0,512.2,516.3
2022-04-22,512.9,513.5,499.0,500.6
2022-04-25,495.0,499.2,490.05,494.75
2022-04-26,499.0,507.9,498.45,505.5
2022-04-27,500.0,502.8,491.85,497.25
2022-04-28,499.15,510.0,496.5,507.5
2022-04-29,508.1,512.5,494.0,496.3
2022-05-02,492.65,495.0,481.3,491.0
2022-05-04,492.0,496.45,477.5,479.65
2022-05-05,485.0,494.0,478.65,480.0
2022-05-06,471.0,486.1,471.0,483.95
2022-05-09,477.1,483.7,473.8,475.9
2022-05-10,477.0,482.55,473.5,475.2
2022-05-11,475.25,479.0,463.65,476.55
2022-05-12,473.0,473.0,456.35,462.65
2022-05-13,469.45,477.0,439.75,444.65
2022-05-16,445.0,461.5,438.85,455.0
2022-05-17,458.3,469.65,456.15,467.3
2022-05-18,467.9,468.6,457.1,458.0
2022-05-19,449.05,450.0,444.45,447.5
2022-05-20,454.85,464.0,454.15,462.4
2022-05-23,463.1,471.4,459.5,460.9
2022-05-24,462.4,466.8,460.2,462.05
2022-05-25,461.0,464.45,452.05,454.1
2022-05-26,456.85,470.1,452.5,468.9
2022-05-27,471.4,475.0,467.5,468.95
2022-05-30,473.0,476.9,471.1,474.6
2022-05-31,474.0,476.4,465.0,468.1
2022-06-01,468.0,472.0,464.7,468.3
2022-06-02,466.9,472.35,466.15,469.85
2022-06-03,473.25,475.5,463.5,464.5
2022-06-06,464.2,465.6,456.5,463.7
2022-06-07,461.85,465.95,460.5,463.4
2022-06-08,466.6,475.55,463.2,471.3
2022-06-09,468.95,470.9,462.45,466.95
2022-06-10,462.0,464.15,458.6,461.85
2022-06-13,454.0,454.05,442.1,445.85
2022-06-14,445.0,449.25,443.35,448.1
2022-06-15,448.95,455.45,448.6,451.35
2022-06-16,455.15,457.75,440.15,441.6
