Year,Quarter,total_assets,          Non Current Assets,                    Gross Block,                    Less: Accumulated Depreciation,                    Net Block,                    Capital Work in Progress,                    Long Term Investments,                    Long Term Loans & Advances,                    Other Non Current Assets,          Current Assets,                    Accounts Receivable,                    Short Term Investments,                    Cash & Bank Balances,                    Other Current Assets,                    Short Term Loans and Advances,Liabilities,          Shareholders Funds,                    Share Capital,                    Reserves,          Non Current Liabilities,                    Deferred Tax Assets/Liabilities,                    Other Long Term Liabilities,          Current Liabilities,                    Accounts Payable,                    Other Current Liabilities,                    Short Term Provisions,Gross Sales,Net Sales,Operating Expenses,            Material Cost (%),            Other Manufacturing Expenses,            Employee Cost,            Selling and Distribution Expenses,            Power & Fuel Cost,            General and Administration Expenses,            Miscellaneous Expenses,Operating Profit,Other Income,OPM (%),Interest,PBDT,depreciation,Profit Before Taxation & Exceptional Items,Profit Before Tax,Provision for Taxs,            Current Income Tax,            Deferred Tax,            Other taxes,Profit After Tax,Extra items,Minority Interest,Share of Associate,net_income,Number of shares(Crs),Dividend Payout Ratio(%),operating_cash_flow,            Profit Before Tax,            Adjustments,            OCF Before Working Capital,            Working Capital Changes,            Taxes Paid,Cash from Investing Activity,            Net Fixed Assets Purchased,                    Fixed Assets Purchased,            Investment Purchased,            Investment Sold,            Interest Recieved,            Dividends Recieved,Cash from Financing Activity,            Proceeds From Shares,            Net Long Term Borrowings,            Dividend Paid,Net Cash Flow,Opening Cash & Cash Equivalents,Effect of FX,Closing Cash & Cash Equivalents,Net Capex (est),Free Cash Flow (est)
2025,Q1,147795.0,50082.0,56333.0,25372.0,30961.0,814.0,11059.0,4967.0,2895.0,97099.0,31158.0,12482.0,24455.0,6661.0,22343.0,147795.0,95818.0,2073.0,92677.0,8742.0,614.0,8128.0,42850.0,4164.0,29450.0,9236.0,162990.0,162990.0,124069.0,0.0,227.0,85950.0,1223.0,222.0,6761.0,838.0,38921.0,3915.0,23.87937910301245,416.0,42420.0,4812.0,37608.0,37608.0,10858.0,12130.0,-1272.0,0.0,26750.0,0.0,-37.0,,26713.0,415.3263455,66.7383,35694.0,37608.0,3983.0,41591.0,-295.0,-5602.0,-1946.0,-2237.0,-2237.0,-90956.0,92352.0,2040.0,,-24161.0,6.0,0.0,-20289.0,9587.0,14786.0,82.0,24455.0,2237.0,33457.0
2024,Q1,137360.0,46588.0,50791.0,23169.0,27622.0,293.0,11708.0,5993.0,2312.0,89432.0,30193.0,12915.0,14786.0,5619.0,25919.0,137360.0,88116.0,2071.0,85132.0,10105.0,1340.0,8765.0,38794.0,3956.0,26835.0,8003.0,153670.0,153670.0,117245.0,0.0,245.0,82620.0,1007.0,199.0,6773.0,654.0,36425.0,4711.0,23.70339038198738,470.0,40666.0,4678.0,35988.0,35988.0,9740.0,8390.0,1350.0,0.0,26248.0,0.0,-15.0,,26233.0,415.0867464,72.6307,25210.0,35988.0,3535.0,39523.0,-5082.0,-9231.0,-5009.0,-2201.0,-2201.0,-87474.0,82871.0,1768.0,,-17504.0,5.0,0.0,-14731.0,2697.0,12173.0,-84.0,14786.0,2201.0,23009.0
2023,Q1,124571.0,53715.0,49911.0,20686.0,29225.0,288.0,12569.0,9167.0,2441.0,70881.0,25424.0,6909.0,12173.0,4931.0,21444.0,124571.0,75407.0,2069.0,72460.0,9590.0,-25.0,9615.0,39186.0,3865.0,28231.0,7090.0,146767.0,146767.0,112284.0,0.0,278.0,78359.0,905.0,176.0,6201.0,1401.0,34483.0,3348.0,23.49506360421621,284.0,37547.0,4225.0,33322.0,33322.0,9214.0,9287.0,-73.0,0.0,24108.0,0.0,-13.0,,24095.0,414.8560044,58.3906,22467.0,33322.0,4283.0,37605.0,-6344.0,-8794.0,-1209.0,-2579.0,-2579.0,-87243.0,87987.0,1525.0,,-26695.0,35.0,0.0,-13653.0,-5437.0,17472.0,138.0,12173.0,2579.0,19888.0
2022,Q1,116673.0,49544.0,44374.0,18574.0,25800.0,416.0,13651.0,8101.0,1520.0,67185.0,22698.0,6673.0,17472.0,4096.0,16246.0,116673.0,75350.0,2098.0,72646.0,7334.0,-56.0,7390.0,33603.0,4134.0,23705.0,5764.0,121641.0,121641.0,90150.0,0.0,224.0,63986.0,553.0,132.0,5242.0,596.0,31491.0,2295.0,25.88847510296693,200.0,33586.0,3476.0,30110.0,30110.0,7964.0,7811.0,153.0,0.0,22146.0,0.0,-36.0,,22110.0,420.6738641,58.7752,23885.0,30110.0,2811.0,32921.0,-1424.0,-7612.0,-6416.0,-2161.0,-2161.0,-65070.0,58887.0,1898.0,,-24642.0,21.0,0.0,-12652.0,-7173.0,24714.0,-69.0,17472.0,2161.0,21724.0
2021,Q1,107288.0,46778.0,42372.0,16867.0,25505.0,922.0,11863.0,7591.0,674.0,60733.0,19294.0,2342.0,24714.0,2413.0,11970.0,107288.0,76351.0,2124.0,73855.0,6641.0,-223.0,6864.0,23865.0,2645.0,16341.0,4879.0,100472.0,100472.0,72929.0,0.0,150.0,55541.0,355.0,143.0,4458.0,975.0,27543.0,2547.0,27.41360777131937,195.0,29895.0,3267.0,26628.0,26628.0,7205.0,6672.0,533.0,0.0,19423.0,0.0,-72.0,,19351.0,426.0660846,59.2714,23224.0,26628.0,2217.0,28845.0,768.0,-6389.0,-7456.0,-2107.0,-2107.0,-48817.0,42048.0,1418.0,11.0,-9786.0,15.0,0.0,-9117.0,5982.0,18649.0,83.0,24714.0,2107.0,21117.0
2020,Q1,91024.0,37224.0,38323.0,14534.0,23789.0,954.0,4137.0,6818.0,750.0,54576.0,18487.0,4655.0,18649.0,1860.0,10925.0,91024.0,65450.0,2122.0,63031.0,4324.0,-776.0,5100.0,20856.0,2852.0,14110.0,3894.0,90791.0,90791.0,69035.0,0.0,100.0,50887.0,528.0,229.0,6806.0,1068.0,21756.0,3314.0,23.96272758313049,170.0,24900.0,2893.0,22007.0,22007.0,5368.0,5775.0,-407.0,0.0,16639.0,0.0,-45.0,,16594.0,425.8992566,44.7149,17003.0,22007.0,1913.0,23920.0,-2367.0,-4550.0,-239.0,-3307.0,-3307.0,-40541.0,41406.0,1929.0,2.0,-17591.0,6.0,0.0,-9515.0,-827.0,19568.0,-92.0,18649.0,3307.0,13696.0
2019,Q1,83366.0,31188.0,28065.0,12355.0,15710.0,1388.0,4634.0,8275.0,481.0,52878.0,14827.0,6627.0,19568.0,2531.0,9325.0,83366.0,64948.0,2170.0,62551.0,-278.0,-700.0,422.0,18638.0,1655.0,13221.0,3762.0,82675.0,82675.0,62505.0,0.0,48.0,45315.0,489.0,221.0,6611.0,1235.0,20170.0,2882.0,24.39673420018143,,23052.0,2011.0,21041.0,21041.0,5631.0,5727.0,-96.0,0.0,15410.0,0.0,-6.0,,15404.0,436.1733444,60.5194,14841.0,21041.0,1085.0,22126.0,-453.0,-6832.0,-575.0,-2445.0,-2445.0,-83092.0,83648.0,1557.0,2.0,-14512.0,6.0,0.0,-13705.0,-246.0,19871.0,-57.0,19568.0,2445.0,12396.0
2018,Q1,78608.0,29332.0,22980.0,10406.0,12574.0,1606.0,5756.0,8239.0,416.0,47957.0,13142.0,6407.0,19818.0,1382.0,7208.0,78608.0,64923.0,1088.0,63705.0,-421.0,-741.0,320.0,13781.0,694.0,9131.0,3956.0,70522.0,70522.0,51629.0,0.0,172.0,38893.0,305.0,207.0,5540.0,345.0,18893.0,3311.0,26.79022149116588,,22204.0,1863.0,20341.0,20270.0,4241.0,4581.0,-340.0,0.0,16029.0,0.0,,-71.0,16029.0,218.4114257,59.053,13218.0,20270.0,-307.0,19963.0,84.0,-6829.0,4452.0,-1998.0,-1998.0,-69349.0,74003.0,1768.0,4.0,-20505.0,5.0,0.0,-7464.0,-2835.0,22625.0,81.0,19871.0,1998.0,11220.0
2017,Q1,82815.0,29443.0,23379.0,9200.0,14179.0,1365.0,6453.0,6654.0,459.0,53705.0,12322.0,9970.0,22625.0,1416.0,7372.0,82815.0,68982.0,1144.0,67718.0,-180.0,-333.0,153.0,14013.0,367.0,7997.0,5649.0,68484.0,68484.0,50239.0,0.0,120.0,37659.0,342.0,228.0,5731.0,729.0,18245.0,3439.0,26.64125927223877,,21684.0,1703.0,19981.0,19951.0,5598.0,5653.0,-55.0,0.0,14353.0,0.0,,-30.0,14353.0,229.6944664,41.0479,11531.0,19951.0,-611.0,19340.0,-2156.0,-5653.0,-14542.0,-2760.0,-2760.0,-66610.0,52048.0,2753.0,29.0,-6939.0,,0.0,-6939.0,-9950.0,32697.0,-122.0,22625.0,2760.0,8771.0
2016,Q1,74814.0,23345.0,21293.0,7907.0,13386.0,960.0,1817.0,6474.0,424.0,51753.0,11330.0,75.0,32697.0,1127.0,6524.0,74814.0,61744.0,1144.0,60592.0,-169.0,-284.0,115.0,13239.0,386.0,7590.0,5263.0,62441.0,62441.0,45408.0,0.0,49.0,34406.0,198.0,217.0,5368.0,365.0,17033.0,3169.0,27.27855095209878,,20202.0,1459.0,18743.0,18740.0,5251.0,5318.0,-67.0,0.0,13489.0,0.0,,-3.0,13489.0,229.6944664,41.1328,10028.0,18740.0,-901.0,17839.0,-1946.0,-5865.0,-901.0,-2723.0,-2723.0,-24719.0,24980.0,2383.0,64.0,-6813.0,,0.0,-5540.0,2314.0,30367.0,16.0,32697.0,2723.0,7305.0
