Date,Open,High,Low,Close,Adj Close,Volume
02-07-2018,1640.900024,1647.75,1625.050049,1643.449951,1514.918457,1099574
03-07-2018,1645,1661.099976,1635,1643.5,1514.964844,1381265
04-07-2018,1642,1682.400024,1639.650024,1676,1544.922852,1244751
05-07-2018,1679,1692.349976,1668.400024,1688,1555.984497,1449303
06-07-2018,1689,1697.650024,1672.400024,1678.300049,1547.042969,1458899
09-07-2018,1682,1696,1674,1691.900024,1559.57959,773248
10-07-2018,1693.25,1698.849976,1678.099976,1687,1555.0625,1093651
11-07-2018,1685,1721,1679.050049,1718.150024,1583.776367,1158397
12-07-2018,1720,1749.400024,1718.25,1742.349976,1606.083862,1471465
13-07-2018,1742,1750.050049,1724,1742.650024,1606.360229,976456
16-07-2018,1749.800049,1779,1743.849976,1751.25,1614.287598,2218046
17-07-2018,1767,1780,1678.199951,1681.699951,1550.177124,6188478
18-07-2018,1693,1699.699951,1627,1643.75,1515.195068,2372869
19-07-2018,1651.900024,1670,1643.650024,1647.449951,1518.605591,1457149
20-07-2018,1655.900024,1671.449951,1628.800049,1655.849976,1526.348755,1734748
23-07-2018,1668.949951,1702.949951,1660.550049,1689.650024,1557.505371,1382893
24-07-2018,1700,1709.699951,1662.449951,1667.900024,1537.456421,1084438
25-07-2018,1671,1679.449951,1638.25,1652.949951,1523.675537,1526620
26-07-2018,1655,1679.650024,1645.050049,1669.949951,1539.345947,2088548
27-07-2018,1670,1674.800049,1641.449951,1659,1529.252441,1030665
30-07-2018,1666.25,1692,1651,1688.699951,1556.629517,1237254
31-07-2018,1690,1737.449951,1681.699951,1731.650024,1596.220703,1877744
01-08-2018,1732.949951,1743,1718.599976,1734.300049,1598.663452,1191134
02-08-2018,1742.25,1759.75,1739,1748.5,1611.752686,1127209
03-08-2018,1754,1767.349976,1746.900024,1763,1625.118774,758933
06-08-2018,1760,1760,1715.050049,1730.300049,1594.97644,1629015
07-08-2018,1730.800049,1742,1724,1730.050049,1594.745972,863577
08-08-2018,1728,1763,1721.349976,1757.150024,1619.726563,1423256
09-08-2018,1761.5,1765,1738.199951,1754.199951,1617.00708,939345
10-08-2018,1750,1763.599976,1741.5,1752.699951,1615.624268,730724
13-08-2018,1739,1756.5,1725.75,1728.849976,1593.639526,691024
14-08-2018,1729,1759.300049,1729,1744.25,1607.835327,850399
16-08-2018,1741,1751.949951,1730.599976,1737.400024,1601.520874,638454
17-08-2018,1741.099976,1788.599976,1731.75,1784.75,1645.167847,1420289
20-08-2018,1790,1808.650024,1773.199951,1777,1638.023926,924623
21-08-2018,1777,1777,1750,1752.5,1615.440186,1169476
23-08-2018,1764.949951,1783.5,1757.5,1772.800049,1634.152344,1375102
24-08-2018,1773.25,1789,1762.25,1780.949951,1641.665039,866648
27-08-2018,1791,1798,1778.699951,1792.300049,1652.127319,627163
28-08-2018,1789,1790.949951,1767.849976,1771.199951,1632.67749,991764
29-08-2018,1775,1779.400024,1751.25,1755.849976,1618.527832,777922
30-08-2018,1755,1779.800049,1755,1772.849976,1634.198486,1586926
31-08-2018,1777,1789.949951,1765,1780.099976,1640.881226,1335542
03-09-2018,1791.5,1791.5,1695.849976,1699.099976,1566.216309,1744229
04-09-2018,1697,1697.949951,1623.849976,1651.199951,1522.062256,3852609
05-09-2018,1643,1647.550049,1596,1611.699951,1485.651855,2693195
06-09-2018,1623.449951,1636.5,1598.650024,1608.599976,1482.794189,2008264
07-09-2018,1611.900024,1644.699951,1601,1638.75,1510.586182,1571003
10-09-2018,1632.699951,1640.400024,1604,1610.300049,1484.361328,1423511
11-09-2018,1613,1624,1576.050049,1590.650024,1466.247803,2381214
12-09-2018,1599.949951,1636.900024,1587.5,1626.849976,1499.616699,1789295
14-09-2018,1637.900024,1649,1612.5,1629.300049,1501.875244,1920969
17-09-2018,1620,1626,1595,1605.449951,1479.890381,904395
18-09-2018,1622,1670.949951,1618,1664.949951,1534.737183,2932792
19-09-2018,1671,1678.5,1637.150024,1647.099976,1518.283447,1589108
21-09-2018,1651,1656.900024,1606.300049,1621.300049,1494.500977,3032792
24-09-2018,1622.050049,1639.5,1564.099976,1590.449951,1466.063721,1817390
25-09-2018,1600,1640,1577.050049,1630.849976,1503.303955,1229970
26-09-2018,1644.400024,1649,1598,1610.75,1484.776123,980726
27-09-2018,1610,1625,1603.199951,1620.099976,1493.394775,1572603
28-09-2018,1620.099976,1627.300049,1600.050049,1608.400024,1482.609985,1735076
01-10-2018,1606.5,1652.400024,1601.599976,1642.300049,1513.858521,1721675
03-10-2018,1642,1642.050049,1606.650024,1618.849976,1492.242432,1213562
04-10-2018,1600,1602.800049,1562.099976,1573.949951,1450.854004,1544573
05-10-2018,1559.5,1574.849976,1528.599976,1558.550049,1436.658447,1638027
08-10-2018,1551,1570.400024,1537.099976,1559.349976,1437.395996,1998863
09-10-2018,1563,1570,1492.5,1512.449951,1394.164063,1562134
10-10-2018,1512.5,1543.199951,1490.550049,1527.650024,1408.175171,2294071
11-10-2018,1490,1540,1477.199951,1526.099976,1406.74646,1823960
12-10-2018,1555.5,1577.5,1540.099976,1569.599976,1446.84436,1728063
15-10-2018,1549.699951,1592.949951,1500,1526.300049,1406.930664,3913322
16-10-2018,1535.699951,1557.550049,1526.5,1546.199951,1425.27417,1374834
17-10-2018,1558.099976,1577.800049,1546.050049,1562,1439.838501,1223188
19-10-2018,1551.199951,1585.75,1543.050049,1578.400024,1454.956299,932433
22-10-2018,1588,1590,1566.599976,1584.900024,1460.947754,614209
23-10-2018,1575.550049,1582,1547.5,1552.050049,1430.667114,989355
24-10-2018,1562,1591,1552.400024,1585.949951,1461.915894,690618
25-10-2018,1574,1591.75,1552.650024,1571.550049,1456.909668,2397242
