Date,Open,High,Low,Close,Adj Close,Volume
02-07-2018,1852,1857.800049,1841.099976,1851.349976,1662.818726,2650290
03-07-2018,1859.949951,1879.900024,1857.050049,1874.050049,1683.206909,3242233
04-07-2018,1879.900024,1879.900024,1857.150024,1866.150024,1676.111328,2700614
05-07-2018,1873,1887.5,1862.099976,1880.300049,1688.820435,2472571
06-07-2018,1882.849976,1921,1881.650024,1912.949951,1718.145508,3713781
09-07-2018,1924,1924.400024,1876.5,1883,1691.245239,6151747
10-07-2018,1898,1898.900024,1870.75,1875.099976,1684.149658,5303302
11-07-2018,1900,1998,1894.150024,1979.900024,1778.277588,22903802
12-07-2018,1984,1990.900024,1960.5,1971.349976,1770.598145,6921701
13-07-2018,1975,1997.900024,1974,1981.099976,1779.355469,4148185
16-07-2018,1990,1996,1977.449951,1989.199951,1786.630371,2582159
17-07-2018,1989,2009,1981,2002.150024,1801.885132,3315492
18-07-2018,2005,2011.699951,1993.050049,2000.25,1800.175293,2013869
19-07-2018,2002.099976,2010.449951,1970,1981.400024,1783.210815,1746318
20-07-2018,1984.900024,2000,1984,1996.599976,1796.890137,1934995
23-07-2018,2001,2009.949951,1986,2005.650024,1805.035278,2086201
24-07-2018,2015,2015,1984.150024,1999,1799.050293,2038423
25-07-2018,2001.900024,2002,1968.400024,1981.5,1783.300537,1535492
26-07-2018,1974.949951,1985,1955.099976,1964.699951,1768.181274,3503036
27-07-2018,1960.849976,1964.650024,1940.300049,1943.75,1749.32666,2033977
30-07-2018,1943,1954.699951,1931.550049,1944.599976,1750.091309,1579251
31-07-2018,1942,1947,1928,1940.199951,1746.131592,2204803
01-08-2018,1949.949951,1981.550049,1949.800049,1976.5,1778.801025,2425180
02-08-2018,1980,1985,1945,1948.400024,1753.511597,1509287
03-08-2018,1956.5,1982.050049,1956.5,1979.449951,1781.455688,1505131
06-08-2018,1997,1998.949951,1972.25,1975.550049,1777.946167,1532249
07-08-2018,1978.199951,1979.150024,1960.5,1967.349976,1770.56604,1353521
08-08-2018,1972,1978.300049,1962,1974,1776.550659,1315062
09-08-2018,1980,1980.800049,1966,1974.349976,1776.865601,2060297
10-08-2018,1980.949951,1996.5,1972.050049,1993.099976,1793.740479,2784105
13-08-2018,1997.800049,2004.25,1990,2000.150024,1800.085327,3559575
14-08-2018,1992,2024.599976,1982.400024,2003.550049,1803.145142,3311765
16-08-2018,2000.300049,2020.050049,1995,2008.5,1807.599976,2152065
17-08-2018,2013.849976,2021.900024,2004,2012.75,1811.425049,1213731
20-08-2018,2024,2024,2003.699951,2009.949951,1808.904907,1587032
21-08-2018,2010.150024,2024,2004,2017.650024,1815.834717,1376866
23-08-2018,2022.800049,2038,2020.300049,2035.099976,1831.539307,3046791
24-08-2018,2035.099976,2046,2031,2043,1838.648926,1570533
27-08-2018,2043,2059,2035,2050.899902,1845.758911,1532702
28-08-2018,2055,2072,2052,2069.199951,1862.228271,1987983
29-08-2018,2072.5,2076.600098,2045.599976,2072,1864.748779,1525867
30-08-2018,2068,2085,2065.5,2082.399902,1874.108154,2408020
31-08-2018,2082.300049,2092,2074,2078.399902,1870.508057,2504554
03-09-2018,2084.800049,2090,2048.399902,2052.899902,1847.55896,1439711
04-09-2018,2059.800049,2104.75,2056.949951,2098.899902,1888.957764,4420803
05-09-2018,2100,2107.25,2075.050049,2079.25,1871.273193,1681106
06-09-2018,2075,2081.5,2060.300049,2075.300049,1867.71814,2238097
07-09-2018,2079.300049,2084,2065.399902,2079.850098,1871.813354,1312182
10-09-2018,2084.399902,2093.399902,2074.25,2080.75,1872.623291,1530539
11-09-2018,2089,2089,2042.199951,2046.25,1841.57373,3679745
12-09-2018,2052.350098,2068.899902,2040,2043.949951,1839.50415,2307661
14-09-2018,2044,2071.550049,2018.150024,2065.399902,1858.808716,3642038
17-09-2018,2070,2077.800049,2054.550049,2074.149902,1866.683228,1033857
18-09-2018,2073,2078.800049,2057.600098,2070.75,1863.623535,1456507
19-09-2018,2071.899902,2089,2066.850098,2077.899902,1870.057861,1301268
21-09-2018,2077,2121,2050.149902,2103.149902,1892.782715,4508530
24-09-2018,2115,2210.5,2098.149902,2198.449951,1978.550049,3032226
25-09-2018,2204.899902,2211.899902,2153.800049,2183.199951,1964.825806,2868778
26-09-2018,2187,2199,2135.100098,2142.149902,1927.88147,1970951
27-09-2018,2141.899902,2209.699951,2135.800049,2188.850098,1969.9104,3311802
28-09-2018,2178,2190,2158.850098,2183.699951,1965.275146,2904371
01-10-2018,2190.899902,2275.949951,2190.350098,2255.550049,2029.938721,3772208
03-10-2018,2250.300049,2255,2155.600098,2162.850098,1946.51123,3902322
04-10-2018,2156.600098,2156.649902,2056.350098,2064.800049,1858.268799,4762419
05-10-2018,2050,2120,2020.900024,2102.649902,1892.332886,3417624
08-10-2018,2102.649902,2122.199951,2048.149902,2077.550049,1869.743408,2010154
09-10-2018,2080.350098,2107.649902,2053.199951,2091.800049,1882.568115,1867130
10-10-2018,2100,2105.949951,2029,2043.599976,1839.189209,2749573
11-10-2018,1985,2013,1941,1979.949951,1781.905884,4700256
12-10-2018,1978,1978,1903,1918.300049,1726.422241,9373289
15-10-2018,1940,1955.550049,1920,1949.5,1754.501831,2638151
16-10-2018,1958,1971.900024,1935,1962.300049,1766.021118,2815425
17-10-2018,1970,1989,1920,1929.400024,1736.411987,2779207
19-10-2018,1929,1929,1870.050049,1913.199951,1721.832642,3428776
22-10-2018,1914,1916,1886.949951,1903,1712.652832,1778496
23-10-2018,1888,1898,1837,1843.650024,1662.734253,2752811
24-10-2018,1852.050049,1874,1811.099976,1848.5,1667.108276,2735913
25-10-2018,1844,1876.900024,1825.050049,1853,1671.166504,2507233
26-10-2018,1853.900024,1853.900024,1791.099976,1799.099976,1622.555786,2285970
29-10-2018,1808.699951,1877.949951,1784.349976,1871,1687.400269,2609483
30-10-2018,1867,1909.400024,1845,1894.800049,1708.864868,2404883
31-10-2018,1900,1943.900024,1875.449951,1938.150024,1747.96106,2769190
