Stock,Industry
AARTIIND,CHEMICALS
ABBOTINDIA,PHARMA
ABFRL,CONSUMER GOODS
ACC,CEMENT & CEMENT PRODUCTS
ADANIENT,SERVICES
ADANIGREEN,POWER
ADANIPORTS,SERVICES
ALKEM,PHARMA
AMBUJACEM,CEMENT & CEMENT PRODUCTS
APLLTD,PHARMA
APOLLOHOSP,HEALTHCARE SERVICES
APOLLOTYRE,AUTOMOBILE
ASHOKLEY,AUTOMOBILE
ASIANPAINT,CONSUMER GOODS
AUBANK,FINANCIAL SERVICES
AUROPHARMA,PHARMA
AXISBANK,FINANCIAL SERVICES
BAJAJ-AUTO,AUTOMOBILE
BAJAJFINSV,FINANCIAL SERVICES
BAJAJHLDNG,FINANCIAL SERVICES
BAJFINANCE,FINANCIAL SERVICES
BALKRISIND,AUTOMOBILE
BANDHANBNK,FINANCIAL SERVICES
BANKBARODA,FINANCIAL SERVICES
BANKINDIA,FINANCIAL SERVICES
BANKNIFTY,INDEX
BATAINDIA,CONSUMER GOODS
BBTC,CONSUMER GOODS
BEL,INDUSTRIAL MANUFACTURING
BERGEPAINT,CONSUMER GOODS
BHARATFORG,INDUSTRIAL MANUFACTURING
BHARTIARTL,TELECOM
BHEL,INDUSTRIAL MANUFACTURING
BIOCON,PHARMA
BOSCHLTD,AUTOMOBILE
BPCL,OIL & GAS
BRITANNIA,CONSUMER GOODS
CANBK,FINANCIAL SERVICES
CASTROLIND,OIL & GAS
CESC,POWER
CHOLAFIN,FINANCIAL SERVICES
CIPLA,PHARMA
COALINDIA,METALS
COFORGE,IT
COLPAL,CONSUMER GOODS
CONCOR,SERVICES
COROMANDEL,FERTILISERS & PESTICIDES
CROMPTON,CONSUMER GOODS
CUB,FINANCIAL SERVICES
CUMMINSIND,INDUSTRIAL MANUFACTURING
DABUR,CONSUMER GOODS
DALBHARAT,CEMENT & CEMENT PRODUCTS
DHANI,FINANCIAL SERVICES
DIVISLAB,PHARMA
DLF,CONSTRUCTION
DMART,CONSUMER GOODS
DRREDDY,PHARMA
EDELWEISS,FINANCIAL SERVICES
EICHERMOT,AUTOMOBILE
EMAMILTD,CONSUMER GOODS
ENDURANCE,AUTOMOBILE
ESCORTS,AUTOMOBILE
EXIDEIND,AUTOMOBILE
FEDERALBNK,FINANCIAL SERVICES
FORTIS,HEALTHCARE SERVICES
GAIL,OIL & GAS
GICRE,FINANCIAL SERVICES
GLENMARK,PHARMA
GMRINFRA,CONSTRUCTION
GODREJAGRO,CONSUMER GOODS
GODREJCP,CONSUMER GOODS
GODREJIND,CONSUMER GOODS
GODREJPROP,CONSTRUCTION
GRASIM,CEMENT & CEMENT PRODUCTS
GSPL,OIL & GAS
GUJGASLTD,OIL & GAS
HAVELLS,CONSUMER GOODS
HCLTECH,IT
HDFC,FINANCIAL SERVICES
HDFCAMC,FINANCIAL SERVICES
HDFCBANK,FINANCIAL SERVICES
HDFCLIFE,FINANCIAL SERVICES
HEROMOTOCO,AUTOMOBILE
HINDALCO,METALS
HINDPETRO,OIL & GAS
HINDUNILVR,CONSUMER GOODS
HINDZINC,METALS
HUDCO,FINANCIAL SERVICES
IBULHSGFIN,FINANCIAL SERVICES
ICICIBANK,FINANCIAL SERVICES
ICICIGI,FINANCIAL SERVICES
ICICIPRULI,FINANCIAL SERVICES
IDEA,TELECOM
IDFCFIRSTB,FINANCIAL SERVICES
IGL,OIL & GAS
INDHOTEL,SERVICES
INDIGO,SERVICES
INDUSINDBK,FINANCIAL SERVICES
INDUSTOWER,TELECOM
INFY,IT
IOC,OIL & GAS
IPCALAB,PHARMA
IRCTC,SERVICES
ISEC,FINANCIAL SERVICES
ITC,CONSUMER GOODS
JINDALSTEL,METALS
JSWSTEEL,METALS
JUBLFOOD,CONSUMER GOODS
KOTAKBANK,FINANCIAL SERVICES
L&TFH,FINANCIAL SERVICES
LALPATHLAB,HEALTHCARE SERVICES
LICHSGFIN,FINANCIAL SERVICES
LT,CONSTRUCTION
LTTS,IT
LUPIN,PHARMA
M&M,AUTOMOBILE
M&MFIN,FINANCIAL SERVICES
MANAPPURAM,FINANCIAL SERVICES
MARICO,CONSUMER GOODS
MARUTI,AUTOMOBILE
MCDOWELL-N,CONSUMER GOODS
MFSL,FINANCIAL SERVICES
MGL,OIL & GAS
MPHASIS,IT
MRF,AUTOMOBILE
MUTHOOTFIN,FINANCIAL SERVICES
NAM-INDIA,FINANCIAL SERVICES
NATCOPHARM,PHARMA
NATIONALUM,METALS
NAUKRI,IT
NAVINFLUOR,CHEMICALS
NESTLEIND,CONSUMER GOODS
NIFTY,INDEX
NMDC,METALS
NTPC,POWER
OBEROIRLTY,CONSTRUCTION
OFSS,IT
OIL,OIL & GAS
ONGC,OIL & GAS
PAGEIND,TEXTILES
PEL,FINANCIAL SERVICES
PETRONET,OIL & GAS
PFC,FINANCIAL SERVICES
PFIZER,PHARMA
PGHH,CONSUMER GOODS
PIDILITIND,CHEMICALS
PIIND,FERTILISERS & PESTICIDES
PNB,FINANCIAL SERVICES
POLYCAB,INDUSTRIAL MANUFACTURING
POWERGRID,POWER
PRESTIGE,CONSTRUCTION
RAJESHEXPO,CONSUMER GOODS
RAMCOCEM,CEMENT & CEMENT PRODUCTS
RBLBANK,FINANCIAL SERVICES
RECLTD,FINANCIAL SERVICES
RELIANCE,OIL & GAS
SAIL,METALS
SANOFI,PHARMA
SBICARD,FINANCIAL SERVICES
SBILIFE,FINANCIAL SERVICES
SBIN,FINANCIAL SERVICES
SHREECEM,CEMENT & CEMENT PRODUCTS
SIEMENS,INDUSTRIAL MANUFACTURING
SRF,INDUSTRIAL MANUFACTURING
SUNPHARMA,PHARMA
SUNTV,MEDIA & ENTERTAINMENT
SYNGENE,PHARMA
TATACHEM,CHEMICALS
TATACONSUM,CONSUMER GOODS
TATAMOTORS,AUTOMOBILE
TATAPOWER,POWER
TATASTEEL,METALS
TCS,IT
TECHM,IT
TITAN,CONSUMER GOODS
TORNTPHARM,PHARMA
TORNTPOWER,POWER
TRENT,CONSUMER GOODS
TVSMOTOR,AUTOMOBILE
UBL,CONSUMER GOODS
ULTRACEMCO,CEMENT & CEMENT PRODUCTS
UNIONBANK,FINANCIAL SERVICES
UPL,FERTILISERS & PESTICIDES
VBL,CONSUMER GOODS
VEDL,METALS
VGUARD,CONSUMER GOODS
VOLTAS,CONSUMER GOODS
WHIRLPOOL,CONSUMER GOODS
WIPRO,IT
YESBANK,FINANCIAL SERVICES
ZEEL,MEDIA & ENTERTAINMENT
