Stock1,Stock2
APOLLOHOSP,FORTIS
AUBANK,YESBANK
AXISBANK,YESBANK
BAJAJ-AUTO,MRF
BAJFINANCE,YESBANK
BANDHANBNK,ICICIGI
BANDHANBNK,YESBANK
BANKBARODA,YESBANK
BANKINDIA,HUDCO
BANKINDIA,YESBANK
BPCL,CASTROLIND
CANBK,YESBANK
CASTROLIND,IGL
EDELWEISS,HDFCLIFE
EDELWEISS,ICICIGI
EDELWEISS,MUTHOOTFIN
EDELWEISS,SBICARD
FEDERALBNK,YESBANK
GAIL,IOC
GMRINFRA,OBEROIRLTY
GODREJAGRO,GODREJIND
GODREJCP,VGUARD
GSPL,HINDPETRO
HDFC,HDFCBANK
HDFC,KOTAKBANK
HDFC,YESBANK
HDFCAMC,MANAPPURAM
HDFCAMC,YESBANK
HDFCBANK,KOTAKBANK
HDFCBANK,YESBANK
HDFCLIFE,ICICIGI
HDFCLIFE,YESBANK
HINDALCO,VEDL
HUDCO,L&TFH
HUDCO,PNB
HUDCO,YESBANK
IBULHSGFIN,MANAPPURAM
ICICIBANK,YESBANK
ICICIGI,MUTHOOTFIN
ICICIGI,YESBANK
IDEA,INDUSTOWER
IGL,MGL
ISEC,YESBANK
KOTAKBANK,YESBANK
LICHSGFIN,SBICARD
LICHSGFIN,YESBANK
M&MFIN,YESBANK
MARICO,PGHH
MARICO,TATACONSUM
MARICO,UBL
MARICO,VGUARD
NATIONALUM,VEDL
NAVINFLUOR,PIDILITIND
OBEROIRLTY,PRESTIGE
POWERGRID,TORNTPOWER
RBLBANK,YESBANK
RECLTD,YESBANK
SBICARD,YESBANK
SBIN,YESBANK
UNIONBANK,YESBANK
