,bb_buy,bb_sell,Price,ml_prediction
0,333.8186340332031,,333.8186340332031,-1.0
1,,261.4638366699219,261.4638366699219,1.0
2,307.7569274902344,,307.7569274902344,-1.0
3,,318.96893310546875,318.96893310546875,1.0
4,276.2637023925781,,276.2637023925781,1.0
5,,338.95123291015625,338.95123291015625,-1.0
6,373.8330078125,,373.8330078125,-1.0
7,,363.4182739257813,363.4182739257813,-1.0
8,303.8701171875,,303.8701171875,-1.0
9,,316.6268920898437,316.6268920898437,1.0
10,278.1499938964844,,278.1499938964844,1.0
11,,295.3500061035156,295.3500061035156,1.0
12,282.6499938964844,,282.6499938964844,-1.0
13,,283.6499938964844,283.6499938964844,1.0
14,307.6000061035156,,307.6000061035156,-1.0
15,,333.45001220703125,333.45001220703125,-1.0
16,304.1499938964844,,304.1499938964844,-1.0
17,,295.75,295.75,-1.0
18,261.54998779296875,,261.54998779296875,-1.0
19,,253.8000030517578,253.8000030517578,-1.0
