Date,Symbol,Expiry,Option Type,Strike Price,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Premium Turnover,Open Interest,Change in OI,Underlying
2021-11-01,BANKNIFTY,2021-12-30,CE,36000.0,3935.75,4410.0,3930.95,4376.7,4410.0,4376.7,12,12022000.0,1222000.0,2075,25,
2021-11-02,BANKNIFTY,2021-12-30,CE,36000.0,4485.55,4485.55,4348.55,4447.65,4447.65,4698.85,10,10107000.0,1107000.0,2075,0,
2021-11-03,BANKNIFTY,2021-12-30,CE,36000.0,4446.2,4533.05,3846.8,3846.8,3846.8,4250.3,10,10034000.0,1034000.0,2075,0,
2021-11-04,BANKNIFTY,2021-12-30,CE,36000.0,0.0,0.0,0.0,3846.8,3846.8,4368.35,0,0.0,0.0,2075,0,
2021-11-08,BANKNIFTY,2021-12-30,CE,36000.0,3861.45,4023.7,3664.7,4023.7,4023.7,4023.7,34,33871000.0,3271000.0,2750,675,
2021-11-09,BANKNIFTY,2021-12-30,CE,36000.0,3850.0,3901.0,3849.0,3901.0,3901.0,4119.7,30,29910000.000000004,2910000.0,3500,750,
2021-11-10,BANKNIFTY,2021-12-30,CE,36000.0,3491.85,3491.85,3429.0,3442.35,3459.0,3442.35,14,13813000.0,1213000.0,3700,200,
2021-11-11,BANKNIFTY,2021-12-30,CE,36000.0,3255.65,3255.65,2980.0,3087.75,3092.75,3087.75,41,40085000.0,3185000.0,3825,125,
2021-11-12,BANKNIFTY,2021-12-30,CE,36000.0,3176.85,3184.8,3109.0,3184.8,3184.8,3184.8,6,5874000.0,474000.0,3875,50,
2021-11-15,BANKNIFTY,2021-12-30,CE,36000.0,3101.5,3124.0,3059.15,3124.0,3124.0,3485.55,5,4886000.0,386000.0,3875,0,
2021-11-16,BANKNIFTY,2021-12-30,CE,36000.0,2975.0,2975.0,2693.5,2750.0,2750.0,3164.0,65,63207000.00000001,4707000.0,4175,300,
2021-11-17,BANKNIFTY,2021-12-30,CE,36000.0,2525.05,2819.1,2471.8,2483.1,2473.8,2483.1,61,58904999.99999999,4004999.9999999995,4625,450,
2021-11-18,BANKNIFTY,2021-12-30,CE,36000.0,2603.25,2604.05,2310.0,2456.35,2472.0,2456.35,127,122008000.0,7708000.0,4750,125,
2021-11-23,BANKNIFTY,2021-12-30,CE,36000.0,1681.0,1909.0,1434.0,1771.0,1769.0,1771.0,1164,1097208000.0,49608000.0,24825,6500,
2021-11-24,BANKNIFTY,2021-12-30,CE,36000.0,1810.0,2240.0,1809.05,1889.25,1817.0,1889.25,517,491714000.00000006,26414000.0,23175,-1650,37441.95
2021-11-25,BANKNIFTY,2021-12-30,CE,36000.0,1755.45,1940.0,1655.0,1817.35,1835.0,1817.35,715,675397000.0,31897000.000000004,25150,1975,
2021-11-26,BANKNIFTY,2021-12-30,CE,36000.0,1510.7,1510.7,975.0,1022.55,975.0,1022.55,14845,13770265000.0,409764999.99999994,118850,93700,
