"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"BANKNIFTY","01-Nov-2021","30-Dec-2021","39771.25","40268.65","39417.65","40181.9","40255.7","40181.9","3239","32248.47","79425","5675","-"
"BANKNIFTY","02-Nov-2021","30-Dec-2021","40364.55","40397.6","39885.25","40228.65","40209.45","40228.65","2734","27467.9","85050","5625","-"
"BANKNIFTY","03-Nov-2021","30-Dec-2021","40690","40690","39582.1","39657.7","39677.45","39657.7","4714","47078.54","94250","9200","-"
"BANKNIFTY","04-Nov-2021","30-Dec-2021","39900","39925","39720.05","39783.9","39764.15","39783.9","845","8412.27","95150","900","-"
"BANKNIFTY","08-Nov-2021","30-Dec-2021","39802.8","39870","39219.4","39806","39864.25","39806","4223","41778.55","100600","5450","-"
"BANKNIFTY","09-Nov-2021","30-Dec-2021","39864.25","39873.25","39522.3","39711.2","39709.4","39711.2","2201","21839.36","104325","3725","-"
"BANKNIFTY","10-Nov-2021","30-Dec-2021","39416.8","39494.3","39169.9","39288.8","39270","39288.8","3333","32754.09","119875","15550","-"
"BANKNIFTY","11-Nov-2021","30-Dec-2021","39142","39142.05","38626.25","38866.4","38860.4","38866.4","5255","51097.67","146500","26625","-"
"BANKNIFTY","12-Nov-2021","30-Dec-2021","38950","39105","38724","39030.4","39027","39030.4","4140","40323.41","150400","3900","-"
"BANKNIFTY","15-Nov-2021","30-Dec-2021","39134.95","39332.85","38878.1","39018.2","38978","39018.2","5211","50926.53","188800","38400","-"
"BANKNIFTY","16-Nov-2021","30-Dec-2021","39004.75","39004.8","38473.35","38586.75","38502","38586.75","13882","134148.08","345600","156800","-"
"BANKNIFTY","17-Nov-2021","30-Dec-2021","38400.05","38728","38232.25","38315.75","38271.95","38315.75","9071","87188.57","396275","50675","-"
"BANKNIFTY","18-Nov-2021","30-Dec-2021","38294.15","38473.95","38000.05","38253.7","38220","38253.7","21520","205492.21","493150","96875","-"
"BANKNIFTY","23-Nov-2021","30-Dec-2021","37050.15","37620","36844.05","37424.8","37417.25","37424.8","44045","410982.69","967950","257575","-"
"BANKNIFTY","24-Nov-2021","30-Dec-2021","37611","38030","37389.75","37593","37500.05","37593","72923","688131.95","1487500","519550","      37441.95"
"BANKNIFTY","25-Nov-2021","30-Dec-2021","37510","37686.8","37275","37535.1","37548","37535.1","104368","978107.4","2295825","808325","-"
"BANKNIFTY","26-Nov-2021","30-Dec-2021","37055.25","37093.75","36025.05","36157.8","36041","36157.8","192462","1757031.98","2765075","469250","-"
"BANKNIFTY","29-Nov-2021","30-Dec-2021","36230","36471","35459","36100.45","36062.15","36100.45","187040","1686668.42","2512550","-252525","      35976.45"
