"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"AXISBANK","01-Nov-2021","30-Dec-2021","760.7","762.95","747.4","760.6","762.8","760.6","468","4247.12","775200","26400","-"
"AXISBANK","02-Nov-2021","30-Dec-2021","761","767.85","755","762.4","762","762.4","291","2658.05","824400","49200","        755.85"
"AXISBANK","03-Nov-2021","30-Dec-2021","763.25","768.9","753.15","754.9","754.15","754.9","373","3408.9","910800","86400","-"
"AXISBANK","04-Nov-2021","30-Dec-2021","759.3","760","755.3","756.7","756.5","756.7","51","463.42","924000","13200","-"
"AXISBANK","08-Nov-2021","30-Dec-2021","760.8","761.2","748.85","758.35","760","758.35","614","5562.16","1111200","187200","-"
"AXISBANK","09-Nov-2021","30-Dec-2021","756.55","759.5","750.5","752.3","752.95","752.3","452","4093.01","1292400","181200","-"
"AXISBANK","10-Nov-2021","30-Dec-2021","747","758","741","753.3","753.5","753.3","429","3861.4","1382400","90000","-"
"AXISBANK","11-Nov-2021","30-Dec-2021","748.85","749.25","739.2","743.45","743.45","743.45","545","4870.96","1585200","202800","-"
"AXISBANK","12-Nov-2021","30-Dec-2021","744.8","746.4","737.6","742.15","741.35","742.15","820","7301.01","2046000","460800","-"
"AXISBANK","15-Nov-2021","30-Dec-2021","744.5","747.7","733.25","738.45","737","738.45","2216","19646.8","3505200","1459200","-"
"AXISBANK","16-Nov-2021","30-Dec-2021","734.2","736.1","726.15","730.15","727.7","730.15","2964","26061.89","5822400","2317200","-"
"AXISBANK","17-Nov-2021","30-Dec-2021","726","729.85","712.95","716.95","717","716.95","5087","44100.68","9120000","3297600","-"
"AXISBANK","18-Nov-2021","30-Dec-2021","714.7","718.05","705.4","710.75","710.15","710.75","6549","55829.47","13038000","3918000","-"
"AXISBANK","23-Nov-2021","30-Dec-2021","686.3","695.15","680.35","688.5","687.55","688.5","17888","148210.32","36470400","11917200","-"
"AXISBANK","24-Nov-2021","30-Dec-2021","690","698.4","685.1","687.4","686","687.4","19462","161919.3","48416400","11946000","        685.15"
"AXISBANK","25-Nov-2021","30-Dec-2021","689","689.05","679.2","683.2","683","683.2","21647","177455.2","59616000","11199600","-"
"AXISBANK","26-Nov-2021","30-Dec-2021","672.95","676.65","661.2","663.5","662.2","663.5","14717","118062.48","59047200","-568800","-"
"AXISBANK","29-Nov-2021","30-Dec-2021","666","666.2","651.95","653.8","652.5","653.8","13037","103015.9","60144000","1096800","        651.10"
