"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HDFCBANK","01-Oct-2021","30-Dec-2021","1588","1596.35","1585","1596.35","1596.35","1596.35","28","244.78","9900","9900","-"
"HDFCBANK","04-Oct-2021","30-Dec-2021","1604","1613.1","1599.95","1601.35","1601.6","1601.35","37","326.45","23650","13750","-"
"HDFCBANK","05-Oct-2021","30-Dec-2021","1599","1607","1590","1606.7","1607","1606.7","29","255.26","33550","9900","-"
"HDFCBANK","06-Oct-2021","30-Dec-2021","1612.85","1633.4","1605","1622.3","1622.85","1622.3","149","1330.77","39600","6050","-"
"HDFCBANK","07-Oct-2021","30-Dec-2021","1630","1635","1618.85","1623.25","1624.05","1623.25","73","653.73","61050","21450","-"
"HDFCBANK","08-Oct-2021","30-Dec-2021","1620.35","1630","1612","1613.5","1614.7","1613.5","75","668.77","84150","23100","-"
"HDFCBANK","11-Oct-2021","30-Dec-2021","1625","1652","1624","1641.95","1642.55","1641.95","138","1242.67","59400","-24750","       1633.80"
"HDFCBANK","12-Oct-2021","30-Dec-2021","1642.55","1648.2","1634.8","1636.9","1637.9","1636.9","137","1235.47","89650","30250","       1629.60"
"HDFCBANK","13-Oct-2021","30-Dec-2021","1643.75","1655","1638","1647.5","1647","1647.5","138","1248.72","129250","39600","       1639.40"
"HDFCBANK","14-Oct-2021","30-Dec-2021","1654.9","1701.35","1652.5","1698.25","1701.35","1698.25","214","1972.35","152900","23650","-"
"HDFCBANK","18-Oct-2021","30-Dec-2021","1720","1741.95","1674.5","1677.4","1683.3","1677.4","319","2968.41","190850","37950","-"
"HDFCBANK","19-Oct-2021","30-Dec-2021","1690","1697","1677.6","1694.25","1692","1694.25","190","1767.5","180400","-10450","-"
"HDFCBANK","20-Oct-2021","30-Dec-2021","1695","1700","1676.15","1686.75","1687.65","1686.75","135","1252.65","160600","-19800","       1673.85"
"HDFCBANK","21-Oct-2021","30-Dec-2021","1690","1695.65","1672","1691.25","1694","1691.25","81","750.66","167200","6600","-"
"HDFCBANK","22-Oct-2021","30-Dec-2021","1699.95","1715","1684.1","1695.4","1699.2","1695.4","181","1695.66","174350","7150","-"
"HDFCBANK","25-Oct-2021","30-Dec-2021","1684","1684","1642","1669.1","1669.8","1669.1","562","5149.46","315700","141350","       1657.00"
"HDFCBANK","26-Oct-2021","30-Dec-2021","1670.6","1685.1","1659","1667.35","1670","1667.35","150","1378.31","330550","14850","       1652.75"
"HDFCBANK","27-Oct-2021","30-Dec-2021","1675.25","1676","1653","1657.05","1654","1657.05","740","6765.99","605550","275000","       1642.80"
"HDFCBANK","28-Oct-2021","30-Dec-2021","1658","1658","1600.9","1605.55","1604","1605.55","478","4274.09","747450","141900","-"
"HDFCBANK","29-Oct-2021","30-Dec-2021","1600.2","1611.35","1573","1594.25","1600.3","1594.25","736","6457.72","805200","57750","       1582.85"
"HDFCBANK","01-Nov-2021","30-Dec-2021","1585","1626.9","1585","1622.55","1624.5","1622.55","412","3645.64","790350","-14850","-"
"HDFCBANK","02-Nov-2021","30-Dec-2021","1626.35","1630","1611.4","1615.6","1613.4","1615.6","265","2360.3","821150","30800","       1606.75"
"HDFCBANK","03-Nov-2021","30-Dec-2021","1611.7","1621.55","1586","1589.35","1588.85","1589.35","539","4752.31","930050","108900","-"
"HDFCBANK","04-Nov-2021","30-Dec-2021","1607.6","1607.6","1598.2","1600.9","1601.45","1600.9","45","396.22","928950","-1100","-"
"HDFCBANK","08-Nov-2021","30-Dec-2021","1595","1616.95","1584","1613","1614","1613","864","7603.91","1073050","144100","-"
"HDFCBANK","09-Nov-2021","30-Dec-2021","1602","1604.25","1582.5","1585.75","1587.8","1585.75","1188","10396.16","1458050","385000","-"
"HDFCBANK","10-Nov-2021","30-Dec-2021","1580","1580","1565.65","1567.8","1567","1567.8","1475","12735.39","1898600","440550","-"
"HDFCBANK","11-Nov-2021","30-Dec-2021","1565.05","1565.05","1547.25","1559.85","1560.6","1559.85","1305","11160.18","2236300","337700","-"
"HDFCBANK","12-Nov-2021","30-Dec-2021","1564.65","1569.65","1556.9","1565.1","1567","1565.1","2041","17554.28","2684000","447700","-"
"HDFCBANK","15-Nov-2021","30-Dec-2021","1575.45","1578.95","1565.7","1569.1","1566.7","1569.1","2768","23924.49","3622850","938850","-"
"HDFCBANK","16-Nov-2021","30-Dec-2021","1564.5","1565.45","1552","1556.7","1555","1556.7","3270","28020.96","4807000","1184150","-"
"HDFCBANK","17-Nov-2021","30-Dec-2021","1555","1555","1538.75","1540.45","1539.8","1540.45","5098","43328.68","6464150","1657150","-"
"HDFCBANK","18-Nov-2021","30-Dec-2021","1532.6","1552.55","1521","1549.2","1548.6","1549.2","8503","72246.26","9180600","2716450","-"
"HDFCBANK","23-Nov-2021","30-Dec-2021","1507.15","1532.7","1502.25","1522.4","1521.5","1522.4","19457","162927.66","22476850","6419600","-"
"HDFCBANK","24-Nov-2021","30-Dec-2021","1522.5","1542.15","1520.3","1523.6","1522.55","1523.6","26193","220866.13","28251850","5775000","       1518.05"
"HDFCBANK","25-Nov-2021","30-Dec-2021","1525.8","1538.75","1513.05","1531.25","1531","1531.25","28395","238295.42","35813800","7561950","-"
"HDFCBANK","26-Nov-2021","30-Dec-2021","1509.25","1512.9","1488.2","1491.95","1490.5","1491.95","21850","180331.73","35608100","-205700","-"
"HDFCBANK","29-Nov-2021","30-Dec-2021","1494.45","1509.05","1466.65","1503.05","1501.05","1503.05","20518","168207.13","34763850","-844250","-"
"HDFCBANK","30-Nov-2021","30-Dec-2021","1498.5","1530","1489.25","1494.6","1493.6","1494.6","24737","205194.62","33025850","-1738000","-"
"HDFCBANK","01-Dec-2021","30-Dec-2021","1496.15","1509.6","1491.8","1507.1","1509.6","1507.1","13807","114092.6","32953800","-72050","       1504.65"
"HDFCBANK","02-Dec-2021","30-Dec-2021","1508","1529.45","1501.75","1527.4","1528.3","1527.4","13409","112127.16","31808700","-1145100","       1525.75"
"HDFCBANK","03-Dec-2021","30-Dec-2021","1528.9","1537.65","1508.1","1515.3","1514.55","1515.3","14932","125040.83","31728950","-79750","-"
"HDFCBANK","06-Dec-2021","30-Dec-2021","1513","1520","1502.55","1506.2","1506.05","1506.2","10423","86544.21","31831800","102850","       1503.80"
