"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"KOTAKBANK","01-Nov-2021","30-Dec-2021","2072.7","2099.25","2054.1","2093.25","2099.25","2093.25","124","1033.75","134800","5600","-"
"KOTAKBANK","02-Nov-2021","30-Dec-2021","2097.45","2103.95","2074.4","2086.55","2084.2","2086.55","128","1069.85","145600","10800","       2076.65"
"KOTAKBANK","03-Nov-2021","30-Dec-2021","2097.55","2120.1","2042.15","2054.25","2052.5","2054.25","183","1527.16","150800","5200","-"
"KOTAKBANK","04-Nov-2021","30-Dec-2021","2068.9","2070.05","2063","2066.55","2069.6","2066.55","16","132.3","152400","1600","-"
"KOTAKBANK","08-Nov-2021","30-Dec-2021","2074.05","2136.7","2074.05","2130.65","2136.5","2130.65","280","2369.26","160000","7600","-"
"KOTAKBANK","09-Nov-2021","30-Dec-2021","2125.65","2135.05","2095.1","2109.1","2109.2","2109.1","219","1848.89","184800","24800","-"
"KOTAKBANK","10-Nov-2021","30-Dec-2021","2084.75","2097.95","2076.9","2083.95","2083.8","2083.95","205","1710.33","224800","40000","-"
"KOTAKBANK","11-Nov-2021","30-Dec-2021","2074.6","2083","2058","2062.9","2065.9","2062.9","315","2605.41","292000","67200","-"
"KOTAKBANK","12-Nov-2021","30-Dec-2021","2070.7","2087.95","2062.9","2081.5","2085.15","2081.5","315","2616.18","334400","42400","-"
"KOTAKBANK","15-Nov-2021","30-Dec-2021","2100.35","2112.45","2087.75","2103.7","2102.7","2103.7","486","4086.46","366000","31600","-"
"KOTAKBANK","16-Nov-2021","30-Dec-2021","2103.95","2105.7","2077.75","2089","2090.05","2089","744","6215.08","552400","186400","-"
"KOTAKBANK","17-Nov-2021","30-Dec-2021","2069.1","2088.65","2053.55","2058.45","2056.7","2058.45","1035","8573.48","709200","156800","-"
"KOTAKBANK","18-Nov-2021","30-Dec-2021","2060","2066.05","2021.05","2036.65","2038.95","2036.65","2808","22886.97","1221200","512000","-"
"KOTAKBANK","23-Nov-2021","30-Dec-2021","1954.55","1992","1943","1984.6","1980.4","1984.6","12061","94833.42","6902400","2574400","-"
"KOTAKBANK","24-Nov-2021","30-Dec-2021","1987.95","2028.4","1973.65","2014.7","2010.5","2014.7","12719","102196.12","8665200","1762800","       2011.40"
"KOTAKBANK","25-Nov-2021","30-Dec-2021","2016.3","2052.1","2013.15","2035.3","2033.95","2035.3","21811","177484.33","12667600","4002400","-"
"KOTAKBANK","26-Nov-2021","30-Dec-2021","2000","2011.35","1962.55","1970.2","1963.05","1970.2","11132","88145.08","12624400","-43200","-"
"KOTAKBANK","29-Nov-2021","30-Dec-2021","1994.85","2044.7","1943.55","2021.5","2014.05","2021.5","19841","159185.29","13136400","512000","       2019.60"
