"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HDFCBANK","01-Nov-2021","30-Dec-2021","1585","1626.9","1585","1622.55","1624.5","1622.55","412","3645.64","790350","-14850","-"
"HDFCBANK","02-Nov-2021","30-Dec-2021","1626.35","1630","1611.4","1615.6","1613.4","1615.6","265","2360.3","821150","30800","       1606.75"
"HDFCBANK","03-Nov-2021","30-Dec-2021","1611.7","1621.55","1586","1589.35","1588.85","1589.35","539","4752.31","930050","108900","-"
"HDFCBANK","04-Nov-2021","30-Dec-2021","1607.6","1607.6","1598.2","1600.9","1601.45","1600.9","45","396.22","928950","-1100","-"
"HDFCBANK","08-Nov-2021","30-Dec-2021","1595","1616.95","1584","1613","1614","1613","864","7603.91","1073050","144100","-"
"HDFCBANK","09-Nov-2021","30-Dec-2021","1602","1604.25","1582.5","1585.75","1587.8","1585.75","1188","10396.16","1458050","385000","-"
"HDFCBANK","10-Nov-2021","30-Dec-2021","1580","1580","1565.65","1567.8","1567","1567.8","1475","12735.39","1898600","440550","-"
"HDFCBANK","11-Nov-2021","30-Dec-2021","1565.05","1565.05","1547.25","1559.85","1560.6","1559.85","1305","11160.18","2236300","337700","-"
"HDFCBANK","12-Nov-2021","30-Dec-2021","1564.65","1569.65","1556.9","1565.1","1567","1565.1","2041","17554.28","2684000","447700","-"
"HDFCBANK","15-Nov-2021","30-Dec-2021","1575.45","1578.95","1565.7","1569.1","1566.7","1569.1","2768","23924.49","3622850","938850","-"
"HDFCBANK","16-Nov-2021","30-Dec-2021","1564.5","1565.45","1552","1556.7","1555","1556.7","3270","28020.96","4807000","1184150","-"
"HDFCBANK","17-Nov-2021","30-Dec-2021","1555","1555","1538.75","1540.45","1539.8","1540.45","5098","43328.68","6464150","1657150","-"
"HDFCBANK","18-Nov-2021","30-Dec-2021","1532.6","1552.55","1521","1549.2","1548.6","1549.2","8503","72246.26","9180600","2716450","-"
"HDFCBANK","23-Nov-2021","30-Dec-2021","1507.15","1532.7","1502.25","1522.4","1521.5","1522.4","19457","162927.66","22476850","6419600","-"
"HDFCBANK","24-Nov-2021","30-Dec-2021","1522.5","1542.15","1520.3","1523.6","1522.55","1523.6","26193","220866.13","28251850","5775000","       1518.05"
"HDFCBANK","25-Nov-2021","30-Dec-2021","1525.8","1538.75","1513.05","1531.25","1531","1531.25","28395","238295.42","35813800","7561950","-"
"HDFCBANK","26-Nov-2021","30-Dec-2021","1509.25","1512.9","1488.2","1491.95","1490.5","1491.95","21850","180331.73","35608100","-205700","-"
"HDFCBANK","29-Nov-2021","30-Dec-2021","1494.45","1509.05","1466.65","1503.05","1501.05","1503.05","20518","168207.13","34763850","-844250","       1501.25"
