"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ICICIBANK","01-Oct-2021","30-Dec-2021","696.05","703","696.05","700.6","700.2","700.6","32","308.03","28875","28875","-"
"ICICIBANK","04-Oct-2021","30-Dec-2021","703","709.45","703","709.25","709.45","709.25","25","242.82","50875","22000","-"
"ICICIBANK","05-Oct-2021","30-Dec-2021","704","707.2","701.1","705.65","705.4","705.65","37","358.17","81125","30250","-"
"ICICIBANK","06-Oct-2021","30-Dec-2021","704.5","712.6","697","697.3","697","697.3","44","426.56","103125","22000","-"
"ICICIBANK","07-Oct-2021","30-Dec-2021","707.6","711","702","708.65","708.15","708.65","28","272.49","101750","-1375","-"
"ICICIBANK","08-Oct-2021","30-Dec-2021","709","717","706.5","710.25","710.4","710.25","33","322.02","118250","16500","-"
"ICICIBANK","11-Oct-2021","30-Dec-2021","715.05","724.9","715.05","720.35","720","720.35","46","455.61","103125","-15125","        713.30"
"ICICIBANK","12-Oct-2021","30-Dec-2021","718.35","719.5","710.6","716.4","716.95","716.4","97","952.79","129250","26125","        708.60"
"ICICIBANK","13-Oct-2021","30-Dec-2021","720","721.4","715.2","716.1","717","716.1","79","780.12","188375","59125","        709.95"
"ICICIBANK","14-Oct-2021","30-Dec-2021","716","734.75","712.3","733.15","733","733.15","92","918.09","207625","19250","-"
"ICICIBANK","18-Oct-2021","30-Dec-2021","742","754.55","738","751.75","750.95","751.75","133","1371.72","259875","52250","-"
"ICICIBANK","19-Oct-2021","30-Dec-2021","753.8","757.2","745","753.15","753.7","753.15","89","921.78","244750","-15125","-"
"ICICIBANK","20-Oct-2021","30-Dec-2021","750.9","763.3","750.9","754.9","755.7","754.9","78","811.94","222750","-22000","        745.85"
"ICICIBANK","21-Oct-2021","30-Dec-2021","756.05","766.9","745","763.35","766.9","763.35","82","851.41","235125","12375","-"
"ICICIBANK","22-Oct-2021","30-Dec-2021","763.25","770.4","762.25","765.4","765.3","765.4","126","1328.62","254375","19250","-"
"ICICIBANK","25-Oct-2021","30-Dec-2021","788.9","863.15","788.9","848.85","853.9","848.85","476","5486.86","411125","156750","        841.70"
"ICICIBANK","26-Oct-2021","30-Dec-2021","842.8","846.4","829.9","835.5","836.95","835.5","201","2311.48","466125","55000","        829.40"
"ICICIBANK","27-Oct-2021","30-Dec-2021","831.85","853.6","829.95","839.85","837","839.85","205","2378.59","496375","30250","        835.00"
"ICICIBANK","28-Oct-2021","30-Dec-2021","829","829.3","803.7","806.2","807.8","806.2","404","4537.44","543125","46750","-"
"ICICIBANK","29-Oct-2021","30-Dec-2021","807.5","813.1","790.85","808","810.25","808","457","5050.35","647625","104500","        802.05"
"ICICIBANK","01-Nov-2021","30-Dec-2021","815.4","815.4","799","810.7","812.6","810.7","281","3117.71","671000","23375","-"
"ICICIBANK","02-Nov-2021","30-Dec-2021","814.1","814.3","804.5","806.6","806.4","806.6","278","3091.72","702625","31625","        800.95"
"ICICIBANK","03-Nov-2021","30-Dec-2021","807.35","810.3","786","790.7","789.7","790.7","414","4526.21","841500","138875","-"
"ICICIBANK","04-Nov-2021","30-Dec-2021","785.9","792.65","783","785.35","784.6","785.35","110","1192.6","908875","67375","-"
"ICICIBANK","08-Nov-2021","30-Dec-2021","792.05","792.05","778.1","786.6","788.5","786.6","492","5308.23","1078000","169125","-"
"ICICIBANK","09-Nov-2021","30-Dec-2021","787.15","793.35","784.3","790.8","791.25","790.8","441","4786.34","1094500","16500","-"
"ICICIBANK","10-Nov-2021","30-Dec-2021","786.65","787.2","778","784.45","784.3","784.45","597","6416.26","1258125","163625","-"
"ICICIBANK","11-Nov-2021","30-Dec-2021","780","780.6","772","777.15","776.95","777.15","713","7606.14","1545500","287375","-"
"ICICIBANK","12-Nov-2021","30-Dec-2021","778.55","785.9","776.4","783.05","783","783.05","1275","13704.8","2457125","911625","-"
"ICICIBANK","15-Nov-2021","30-Dec-2021","784","789","777.05","779.05","778.9","779.05","1218","13111.43","3279375","822250","-"
"ICICIBANK","16-Nov-2021","30-Dec-2021","775.7","777.6","767.4","769.5","768.15","769.5","2274","24129.89","5413375","2134000","-"
"ICICIBANK","17-Nov-2021","30-Dec-2021","765","776.2","762.05","766.55","765.25","766.55","4509","47767.55","9755625","4342250","-"
"ICICIBANK","18-Nov-2021","30-Dec-2021","766","772.15","761.15","767.7","766.5","767.7","8801","92798.03","17700375","7944750","-"
"ICICIBANK","23-Nov-2021","30-Dec-2021","747.9","761.05","734.45","754.5","755.5","754.5","26801","276258.02","61275500","20216625","-"
"ICICIBANK","24-Nov-2021","30-Dec-2021","752.85","773.85","748.45","761.8","759.9","761.8","32596","342522.42","77438625","16163125","        760.20"
"ICICIBANK","25-Nov-2021","30-Dec-2021","761.6","762","747.1","752.6","754.4","752.6","33937","350808.82","95372750","17934125","-"
"ICICIBANK","26-Nov-2021","30-Dec-2021","743.75","743.75","721.45","724.25","722.05","724.25","22229","223764.4","94987750","-385000","-"
"ICICIBANK","29-Nov-2021","30-Dec-2021","727.95","729.4","711.9","720.9","720.55","720.9","18150","180312.72","97828500","2840750","-"
"ICICIBANK","30-Nov-2021","30-Dec-2021","721.45","733.8","713.15","715.85","715.5","715.85","25204","250329.64","100974500","3146000","-"
"ICICIBANK","01-Dec-2021","30-Dec-2021","717.45","733.5","715.85","729.45","729.3","729.45","22315","223060.48","105183375","4208875","        727.70"
