,Symbol,Close,Option Type,Expiry,Strike Price,Future_Prices,OPEN_INT,lib_impliedVolatility,Date
30,INFY,1.1749999999999998,PE,2021-12-30,1400.0,1811.2,-2.0,71.05,2021-12-20
40,INFY,0.925,PE,2021-12-30,1500.0,1811.2,-3.0,54.63,2021-12-20
46,INFY,1.0,PE,2021-12-30,1540.0,1811.2,-7.0,45.46,2021-12-20
48,INFY,1.325,PE,2021-12-30,1560.0,1811.2,1.0,45.47,2021-12-20
50,INFY,1.25,PE,2021-12-30,1580.0,1811.2,-5.0,44.21,2021-12-20
51,INFY,1.55,PE,2021-12-30,1600.0,1811.2,1.0,41.3,2021-12-20
56,INFY,1.9749999999999999,PE,2021-12-30,1640.0,1811.2,-5.0,36.39,2021-12-20
58,INFY,2.3,PE,2021-12-30,1660.0,1811.2,-14.0,34.09,2021-12-20
60,INFY,2.725,PE,2021-12-30,1680.0,1811.2,1.0,31.86,2021-12-20
64,INFY,3.3499999999999996,PE,2021-12-30,1700.0,1811.2,43.0,29.35,2021-12-20
65,INFY,4.1,PE,2021-12-30,1720.0,1811.2,46.0,26.99,2021-12-20
67,INFY,5.6,PE,2021-12-30,1740.0,1811.2,2.0,25.19,2021-12-20
70,INFY,8.2,PE,2021-12-30,1760.0,1811.2,-169.0,23.92,2021-12-20
71,INFY,12.2,PE,2021-12-30,1780.0,1811.2,-114.0,22.87,2021-12-20
75,INFY,18.5,PE,2021-12-30,1800.0,1811.2,76.0,22.37,2021-12-20
77,INFY,26.775,PE,2021-12-30,1820.0,1811.2,-552.0,21.79,2021-12-20
80,INFY,37.15,PE,2021-12-30,1840.0,1811.2,-186.0,21.32,2021-12-20
81,INFY,52.75,PE,2021-12-30,1860.0,1811.2,-26.0,22.57,2021-12-20
85,INFY,86.825,PE,2021-12-30,1900.0,1811.2,2.0,31.1,2021-12-20
30,INFY,423.3,CE,2021-12-30,1400.0,1811.2,-2.0,0.0,2021-12-20
40,INFY,321.75,CE,2021-12-30,1500.0,1811.2,-3.0,0.0,2021-12-20
46,INFY,277.975,CE,2021-12-30,1540.0,1811.2,-7.0,0.0,2021-12-20
48,INFY,262.15,CE,2021-12-30,1560.0,1811.2,1.0,0.0,2021-12-20
50,INFY,241.5,CE,2021-12-30,1580.0,1811.2,-5.0,0.0,2021-12-20
51,INFY,219.975,CE,2021-12-30,1600.0,1811.2,1.0,40.15,2021-12-20
56,INFY,179.65,CE,2021-12-30,1640.0,1811.2,-5.0,39.05,2021-12-20
58,INFY,161.575,CE,2021-12-30,1660.0,1811.2,-14.0,37.12,2021-12-20
60,INFY,142.3,CE,2021-12-30,1680.0,1811.2,1.0,55.42,2021-12-20
64,INFY,121.175,CE,2021-12-30,1700.0,1811.2,43.0,36.99,2021-12-20
65,INFY,102.375,CE,2021-12-30,1720.0,1811.2,46.0,18.54,2021-12-20
67,INFY,83.8,CE,2021-12-30,1740.0,1811.2,2.0,28.82,2021-12-20
70,INFY,66.525,CE,2021-12-30,1760.0,1811.2,-169.0,24.97,2021-12-20
71,INFY,50.475,CE,2021-12-30,1780.0,1811.2,-114.0,22.95,2021-12-20
75,INFY,37.775,CE,2021-12-30,1800.0,1811.2,76.0,22.35,2021-12-20
77,INFY,26.6,CE,2021-12-30,1820.0,1811.2,-552.0,21.89,2021-12-20
80,INFY,16.95,CE,2021-12-30,1840.0,1811.2,-186.0,22.0,2021-12-20
81,INFY,11.399999999999999,CE,2021-12-30,1860.0,1811.2,-26.0,22.69,2021-12-20
85,INFY,5.675000000000001,CE,2021-12-30,1900.0,1811.2,2.0,25.05,2021-12-20
