,Strike Price,Expiry,underlying,identifier,OPEN_INT,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,lib_impliedVolatility,lastPrice,change,pChange,totalBuyQuantity,totalSellQuantity,bidQty,bidprice,askQty,askPrice,Future_Prices,Symbol,INSTRUMENT,Close,Option Type,Date
1,8000.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021PE8000.00,2222.0,99.0,4.66321243523316,614.0,448.75,0.4,0.10000000000000003,33.33333333333335,14200.0,28200.0,950.0,0.3,750.0,0.4,17213.6,NIFTY,OPIDX,0.35,PE,2021-12-30 10:55:50
3,8500.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021PE8500.00,280.5,-12.0,-4.102564102564102,17.0,400.75,0.25,-0.15000000000000002,-37.50000000000001,5200.0,4300.0,3700.0,0.25,50.0,0.3,17213.6,NIFTY,OPIDX,0.275,PE,2021-12-30 10:55:50
8,9000.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021PE9000.00,3694.5,-31.0,-0.8321030734129647,420.0,363.94,0.2,-0.14999999999999997,-42.85714285714285,16550.0,25500.0,5250.0,0.2,3300.0,0.35,17213.6,NIFTY,OPIDX,0.275,PE,2021-12-30 10:55:50
9,9100.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021PE9100.00,288.5,8.0,2.8520499108734403,8.0,403.94,0.95,-409.05,-99.76829268292683,2500.0,5050.0,50.0,0.65,450.0,0.95,17213.6,NIFTY,OPIDX,0.8,PE,2021-12-30 10:55:50
10,9200.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021PE9200.00,171.5,5.0,3.003003003003003,9.0,370.55,0.4,-0.29999999999999993,-42.85714285714285,2100.0,5950.0,200.0,0.4,2750.0,0.65,17213.6,NIFTY,OPIDX,0.525,PE,2021-12-30 10:55:50
13,9700.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021PE9700.00,67.5,0.0,0.0,0.0,0.0,156.75,0.0,0.0,2050.0,4950.0,350.0,0.15,350.0,2.5,17213.6,NIFTY,OPIDX,1.325,PE,2021-12-30 10:55:50
17,10000.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021PE10000.00,4320.5,-60.0,-1.3697066544914964,196.0,312.49,0.25,-0.09999999999999998,-28.571428571428566,14850.0,12700.0,50.0,0.2,50.0,0.35,17213.6,NIFTY,OPIDX,0.275,PE,2021-12-30 10:55:50
20,10100.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021PE10100.00,18.5,-2.0,-9.75609756097561,3.0,338.3,0.85,0.04999999999999993,6.249999999999992,1200.0,3200.0,100.0,0.25,1500.0,0.8,17213.6,NIFTY,OPIDX,0.525,PE,2021-12-30 10:55:50
21,10200.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021PE10200.00,49.5,-3.0,-5.714285714285714,34.0,296.87,0.2,-0.2,-50.0,4200.0,750.0,150.0,0.25,50.0,0.4,17213.6,NIFTY,OPIDX,0.325,PE,2021-12-30 10:55:50
22,10300.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021PE10300.00,28.0,0.0,0.0,8.0,296.38,0.25,-0.44999999999999996,-64.28571428571428,4250.0,3800.0,350.0,0.25,1000.0,0.9,17213.6,NIFTY,OPIDX,0.575,PE,2021-12-30 10:55:50
23,10400.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021PE10400.00,189.5,8.0,4.40771349862259,354.0,291.11,0.25,-0.15000000000000002,-37.50000000000001,3800.0,4850.0,50.0,0.25,550.0,0.35,17213.6,NIFTY,OPIDX,0.3,PE,2021-12-30 10:55:50
26,10500.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021PE10500.00,11502.5,-61.0,-0.5275219440480823,756.0,281.28,0.2,-0.14999999999999997,-42.85714285714285,14350.0,8200.0,4050.0,0.2,50.0,0.45,17213.6,NIFTY,OPIDX,0.325,PE,2021-12-30 10:55:50
28,10600.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021PE10600.00,302.0,-1.0,-0.33003300330033003,147.0,270.62,0.15,-0.19999999999999998,-57.14285714285714,2550.0,4500.0,900.0,0.15,700.0,0.45,17213.6,NIFTY,OPIDX,0.3,PE,2021-12-30 10:55:50
