"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","01-Jan-2021","30-Dec-2021","CE","37500","0","0","0","3438.75","0","2665.9","0","0","0","0","0","31225.85"
"BANKNIFTY","01-Jan-2021","30-Dec-2021","CE","39000","0","0","0","3044.3","0","2287.6","0","0","0","0","0","31225.85"
"BANKNIFTY","01-Jan-2021","30-Dec-2021","CE","34500","0","0","0","4374.7","0","3595.1","0","0","0","0","0","31225.85"
"BANKNIFTY","01-Jan-2021","30-Dec-2021","CE","36000","0","0","0","3880.7","0","3099.75","0","0","0","0","0","31225.85"
"BANKNIFTY","01-Jan-2021","30-Dec-2021","CE","31500","0","0","0","5536.9","0","4793.5","0","0","0","0","0","31225.85"
"BANKNIFTY","01-Jan-2021","30-Dec-2021","CE","27000","0","0","0","7779.3","0","7182.1","0","0","0","0","0","31225.85"
"BANKNIFTY","01-Jan-2021","30-Dec-2021","CE","28500","0","0","0","6960.4","0","6302.35","0","0","0","0","0","31225.85"
"BANKNIFTY","01-Jan-2021","30-Dec-2021","CE","30000","0","0","0","6213.95","0","5507","0","0","0","0","0","31225.85"
"BANKNIFTY","01-Jan-2021","30-Dec-2021","CE","24000","0","0","0","9645.45","0","9195.9","0","0","0","0","0","31225.85"
"BANKNIFTY","01-Jan-2021","30-Dec-2021","CE","25500","0","0","0","8674.95","0","8147.05","0","0","0","0","0","31225.85"
"BANKNIFTY","01-Jan-2021","30-Dec-2021","CE","33000","0","0","0","4925.25","0","4157.85","0","0","0","0","0","31225.85"
"BANKNIFTY","04-Jan-2021","30-Dec-2021","CE","37500","0","0","0","3438.75","0","2628.8","0","0","0","0","0","31212.45"
"BANKNIFTY","04-Jan-2021","30-Dec-2021","CE","39000","0","0","0","3044.3","0","2252.3","0","0","0","0","0","31212.45"
"BANKNIFTY","04-Jan-2021","30-Dec-2021","CE","34500","0","0","0","4374.7","0","3555.25","0","0","0","0","0","31212.45"
"BANKNIFTY","04-Jan-2021","30-Dec-2021","CE","36000","0","0","0","3880.7","0","3061.1","0","0","0","0","0","31212.45"
"BANKNIFTY","04-Jan-2021","30-Dec-2021","CE","31500","0","0","0","5536.9","0","4752.6","0","0","0","0","0","31212.45"
"BANKNIFTY","04-Jan-2021","30-Dec-2021","CE","27000","0","0","0","7779.3","0","7143.7","0","0","0","0","0","31212.45"
"BANKNIFTY","04-Jan-2021","30-Dec-2021","CE","28500","0","0","0","6960.4","0","6262.55","0","0","0","0","0","31212.45"
"BANKNIFTY","04-Jan-2021","30-Dec-2021","CE","30000","0","0","0","6213.95","0","5466.35","0","0","0","0","0","31212.45"
"BANKNIFTY","04-Jan-2021","30-Dec-2021","CE","24000","0","0","0","9645.45","0","9161.75","0","0","0","0","0","31212.45"
"BANKNIFTY","04-Jan-2021","30-Dec-2021","CE","25500","0","0","0","8674.95","0","8110.55","0","0","0","0","0","31212.45"
"BANKNIFTY","04-Jan-2021","30-Dec-2021","CE","33000","0","0","0","4925.25","0","4117.25","0","0","0","0","0","31212.45"
"BANKNIFTY","05-Jan-2021","30-Dec-2021","CE","37500","0","0","0","3438.75","0","2829","0","0","0","0","0","-"
"BANKNIFTY","05-Jan-2021","30-Dec-2021","CE","39000","0","0","0","3044.3","0","2430.8","0","0","0","0","0","-"
"BANKNIFTY","05-Jan-2021","30-Dec-2021","CE","34500","0","0","0","4374.7","0","3803.6","0","0","0","0","0","-"
"BANKNIFTY","05-Jan-2021","30-Dec-2021","CE","36000","0","0","0","3880.7","0","3284.65","0","0","0","0","0","-"
"BANKNIFTY","05-Jan-2021","30-Dec-2021","CE","31500","0","0","0","5536.9","0","5053.7","0","0","0","0","0","-"
"BANKNIFTY","05-Jan-2021","30-Dec-2021","CE","27000","0","0","0","7779.3","0","7525.4","0","0","0","0","0","-"
"BANKNIFTY","05-Jan-2021","30-Dec-2021","CE","28500","0","0","0","6960.4","0","6617.9","0","0","0","0","0","-"
"BANKNIFTY","05-Jan-2021","30-Dec-2021","CE","30000","0","0","0","6213.95","0","5794.65","0","0","0","0","0","-"
"BANKNIFTY","05-Jan-2021","30-Dec-2021","CE","24000","0","0","0","9645.45","0","9591.45","0","0","0","0","0","-"
"BANKNIFTY","05-Jan-2021","30-Dec-2021","CE","25500","0","0","0","8674.95","0","8517.3","0","0","0","0","0","-"
"BANKNIFTY","05-Jan-2021","30-Dec-2021","CE","33000","0","0","0","4925.25","0","4391.5","0","0","0","0","0","-"
"BANKNIFTY","06-Jan-2021","30-Dec-2021","CE","37500","0","0","0","3438.75","0","2843.5","0","0","0","0","0","-"
"BANKNIFTY","06-Jan-2021","30-Dec-2021","CE","39000","0","0","0","3044.3","0","2442.55","0","0","0","0","0","-"
"BANKNIFTY","06-Jan-2021","30-Dec-2021","CE","34500","0","0","0","4374.7","0","3824.85","0","0","0","0","0","-"
"BANKNIFTY","06-Jan-2021","30-Dec-2021","CE","36000","0","0","0","3880.7","0","3302.35","0","0","0","0","0","-"
"BANKNIFTY","06-Jan-2021","30-Dec-2021","CE","31500","0","0","0","5536.9","0","5083.3","0","0","0","0","0","-"
"BANKNIFTY","06-Jan-2021","30-Dec-2021","CE","27000","0","0","0","7779.3","0","7569.75","0","0","0","0","0","-"
"BANKNIFTY","06-Jan-2021","30-Dec-2021","CE","28500","0","0","0","6960.4","0","6657.15","0","0","0","0","0","-"
"BANKNIFTY","06-Jan-2021","30-Dec-2021","CE","30000","0","0","0","6213.95","0","5829","0","0","0","0","0","-"
"BANKNIFTY","06-Jan-2021","30-Dec-2021","CE","24000","0","0","0","9645.45","0","9645.7","0","0","0","0","0","-"
"BANKNIFTY","06-Jan-2021","30-Dec-2021","CE","25500","0","0","0","8674.95","0","8566.65","0","0","0","0","0","-"
"BANKNIFTY","06-Jan-2021","30-Dec-2021","CE","33000","0","0","0","4925.25","0","4416.8","0","0","0","0","0","-"
"BANKNIFTY","07-Jan-2021","30-Dec-2021","CE","37500","0","0","0","3438.75","0","2893.55","0","0","0","0","0","31956"
"BANKNIFTY","07-Jan-2021","30-Dec-2021","CE","39000","0","0","0","3044.3","0","2486.15","0","0","0","0","0","31956"
"BANKNIFTY","07-Jan-2021","30-Dec-2021","CE","34500","0","0","0","4374.7","0","3889.65","0","0","0","0","0","31956"
"BANKNIFTY","07-Jan-2021","30-Dec-2021","CE","36000","0","0","0","3880.7","0","3359.45","0","0","0","0","0","31956"
"BANKNIFTY","07-Jan-2021","30-Dec-2021","CE","31500","0","0","0","5536.9","0","5165","0","0","0","0","0","31956"
"BANKNIFTY","07-Jan-2021","30-Dec-2021","CE","27000","0","0","0","7779.3","0","7678.75","0","0","0","0","0","31956"
"BANKNIFTY","07-Jan-2021","30-Dec-2021","CE","28500","0","0","0","6960.4","0","6757.05","0","0","0","0","0","31956"
"BANKNIFTY","07-Jan-2021","30-Dec-2021","CE","30000","0","0","0","6213.95","0","5919.65","0","0","0","0","0","31956"
"BANKNIFTY","07-Jan-2021","30-Dec-2021","CE","24000","0","0","0","9645.45","0","9771.85","0","0","0","0","0","31956"
"BANKNIFTY","07-Jan-2021","30-Dec-2021","CE","25500","0","0","0","8674.95","0","8684.5","0","0","0","0","0","31956"
"BANKNIFTY","07-Jan-2021","30-Dec-2021","CE","33000","0","0","0","4925.25","0","4489.75","0","0","0","0","0","31956"
"BANKNIFTY","08-Jan-2021","30-Dec-2021","CE","37500","0","0","0","3438.75","0","2931.3","0","0","0","0","0","-"
"BANKNIFTY","08-Jan-2021","30-Dec-2021","CE","39000","0","0","0","3044.3","0","2518.75","0","0","0","0","0","-"
"BANKNIFTY","08-Jan-2021","30-Dec-2021","CE","34500","0","0","0","4374.7","0","3939.35","0","0","0","0","0","-"
"BANKNIFTY","08-Jan-2021","30-Dec-2021","CE","36000","0","0","0","3880.7","0","3402.9","0","0","0","0","0","-"
"BANKNIFTY","08-Jan-2021","30-Dec-2021","CE","31500","0","0","0","5536.9","0","5228.6","0","0","0","0","0","-"
"BANKNIFTY","08-Jan-2021","30-Dec-2021","CE","27000","0","0","0","7779.3","0","7765.1","0","0","0","0","0","-"
"BANKNIFTY","08-Jan-2021","30-Dec-2021","CE","28500","0","0","0","6960.4","0","6835.75","0","0","0","0","0","-"
"BANKNIFTY","08-Jan-2021","30-Dec-2021","CE","30000","0","0","0","6213.95","0","5990.75","0","0","0","0","0","-"
"BANKNIFTY","08-Jan-2021","30-Dec-2021","CE","24000","0","0","0","9645.45","0","9872.65","0","0","0","0","0","-"
"BANKNIFTY","08-Jan-2021","30-Dec-2021","CE","25500","0","0","0","8674.95","0","8778.3","0","0","0","0","0","-"
"BANKNIFTY","08-Jan-2021","30-Dec-2021","CE","33000","0","0","0","4925.25","0","4546.2","0","0","0","0","0","-"
