"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","01-Nov-2021","30-Dec-2021","PE","39000","937.65","1112.45","749","788.05","786","788.05","1115","11128.75","257.5","32650","-6325","-"
"BANKNIFTY","01-Nov-2021","30-Dec-2021","PE","39100","1058.1","1082.15","793.9","794.05","794.15","794.05","9","90.02","2.04","350","-100","-"
"BANKNIFTY","01-Nov-2021","30-Dec-2021","PE","39200","1194.8","1194.8","887.5","887.5","887.5","1676.75","17","171.2","4.6","375","300","-"
"BANKNIFTY","01-Nov-2021","30-Dec-2021","PE","39300","1093.85","1375.05","847.2","872.8","847.2","872.8","47","474.48","12.7","375","325","-"
"BANKNIFTY","01-Nov-2021","30-Dec-2021","PE","39400","1130.05","1287.55","900","923.25","900","923.25","80","810.66","22.66","700","450","-"
"BANKNIFTY","01-Nov-2021","30-Dec-2021","PE","39500","1148.5","1345.45","915.2","932.5","925.7","932.5","691","7020.85","197.23","19250","4075","-"
"BANKNIFTY","01-Nov-2021","30-Dec-2021","PE","39600","1281.3","1316.45","1222.75","1316.45","1316.45","1867.2","10","102.2","3.2","275","100","-"
"BANKNIFTY","01-Nov-2021","30-Dec-2021","PE","39700","1223.9","1377","1001","1061.85","1001","1061.85","22","224.79","6.44","875","275","-"
"BANKNIFTY","01-Nov-2021","30-Dec-2021","PE","39800","1336.45","1422.95","1039.95","1040","1040","1040","7","71.77","2.12","225","25","-"
"BANKNIFTY","01-Nov-2021","30-Dec-2021","PE","39900","1440.35","1515.95","1084.75","1102.95","1085.95","1102.95","14","144.32","4.67","325","150","-"
"BANKNIFTY","01-Nov-2021","30-Dec-2021","PE","40000","1375.1","1591","1117.9","1161.9","1126.05","1161.9","472","4872.79","152.79","25500","2700","-"
"BANKNIFTY","01-Nov-2021","30-Dec-2021","PE","40100","1318.55","1318.55","1232.15","1276.2","1276.2","2122.3","7","72.42","2.24","200","75","-"
"BANKNIFTY","01-Nov-2021","30-Dec-2021","PE","40200","1515.55","1515.55","1259","1259","1259","1259","3","31.18","1.03","100","0","-"
"BANKNIFTY","01-Nov-2021","30-Dec-2021","PE","40300","1680","1680","1359.45","1378.3","1378.3","1378.3","14","146.07","5.02","500","150","-"
"BANKNIFTY","01-Nov-2021","30-Dec-2021","PE","40400","1722.2","1747.4","1397.3","1443.5","1443.5","2284.5","18","188.63","6.83","250","200","-"
