"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","930","0","0","0","181.4","0","179.85","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","510","0","0","0","2.75","0","2.6","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","950","0","0","0","197.6","0","196.05","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","960","0","0","0","205.9","0","204.35","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","900","0","0","0","157.9","0","156.35","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","910","0","0","0","165.6","0","164.05","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","920","0","0","0","173.4","0","171.9","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","870","0","0","0","135.6","0","134.1","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","880","0","0","0","142.85","0","141.35","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","890","0","0","0","150.3","0","148.8","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","840","0","0","0","114.75","0","113.3","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","850","0","0","0","121.55","0","120.1","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","860","0","0","0","128.5","0","127","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","810","0","0","0","95.45","0","94.1","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","820","0","0","0","101.7","0","100.3","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","830","0","0","0","108.15","0","106.75","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","770","0","0","0","72.4","0","71.2","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","780","0","0","0","77.9","0","76.6","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","790","0","0","0","83.55","0","82.25","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","800","0","0","0","89.4","0","88.05","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","740","0","0","0","57.3","0","56.2","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","750","0","0","0","62.15","0","61","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","760","0","0","0","67.15","0","66","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","710","0","0","0","44.2","0","43.2","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","720","0","0","0","48.35","0","47.3","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","730","0","0","0","52.7","0","51.65","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","680","0","0","0","33.05","0","32.2","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","690","0","0","0","36.55","0","35.65","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","700","0","0","0","40.25","0","39.3","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","650","0","0","0","23.9","0","23.2","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","660","0","0","0","26.75","0","26","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","670","0","0","0","29.8","0","29","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","610","0","0","0","14.55","0","14","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","620","0","0","0","16.6","0","16","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","630","0","0","0","18.8","0","18.2","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","640","0","0","0","21.25","0","20.6","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","580","0","0","0","9.45","0","9.05","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","590","0","0","0","11","0","10.55","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","600","0","0","0","12.65","0","12.2","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","550","0","0","0","5.85","0","5.55","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","560","0","0","0","6.9","0","6.6","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","570","0","0","0","8.1","0","7.75","0","0","0","0","0","-"
"AXISBANK","01-Oct-2021","30-Dec-2021","PE","520","0","0","0","3.35","0","3.15","0","0","0","0","0","-"
