"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"HDFCBANK","01-Nov-2021","30-Dec-2021","CE","1040","0","0","0","565.2","0","571.8","0","0","0","0","0","-"
"HDFCBANK","01-Nov-2021","30-Dec-2021","CE","2000","0","0","0","13.45","13.45","5","0","0","0","550","0","-"
"HDFCBANK","01-Nov-2021","30-Dec-2021","CE","1080","0","0","0","525.85","0","532.1","0","0","0","0","0","-"
"HDFCBANK","01-Nov-2021","30-Dec-2021","CE","1100","0","0","0","506.3","0","512.25","0","0","0","0","0","-"
"HDFCBANK","01-Nov-2021","30-Dec-2021","CE","1120","0","0","0","486.8","0","492.4","0","0","0","0","0","-"
"HDFCBANK","01-Nov-2021","30-Dec-2021","CE","1140","0","0","0","467.4","0","472.6","0","0","0","0","0","-"
"HDFCBANK","01-Nov-2021","30-Dec-2021","CE","1160","0","0","0","448.1","0","452.85","0","0","0","0","0","-"
"HDFCBANK","01-Nov-2021","30-Dec-2021","CE","1180","0","0","0","428.95","0","433.15","0","0","0","0","0","-"
"HDFCBANK","01-Nov-2021","30-Dec-2021","CE","1200","0","0","0","409.95","0","413.5","0","0","0","0","0","-"
"HDFCBANK","01-Nov-2021","30-Dec-2021","CE","1220","0","0","0","391.15","0","393.95","0","0","0","0","0","-"
"HDFCBANK","01-Nov-2021","30-Dec-2021","CE","1240","0","0","0","372.6","0","374.5","0","0","0","0","0","-"
"HDFCBANK","01-Nov-2021","30-Dec-2021","CE","1260","0","0","0","354.3","0","355.2","0","0","0","0","0","-"
"HDFCBANK","01-Nov-2021","30-Dec-2021","CE","1280","0","0","0","336.25","0","336.05","0","0","0","0","0","-"
"HDFCBANK","01-Nov-2021","30-Dec-2021","CE","1300","0","0","0","318.55","0","317.15","0","0","0","0","0","-"
"HDFCBANK","01-Nov-2021","30-Dec-2021","CE","1320","0","0","0","301.15","0","298.55","0","0","0","0","0","-"
"HDFCBANK","01-Nov-2021","30-Dec-2021","CE","1340","0","0","0","284.2","0","280.2","0","0","0","0","0","-"
"HDFCBANK","01-Nov-2021","30-Dec-2021","CE","1360","0","0","0","267.65","0","262.2","0","0","0","0","0","-"
"HDFCBANK","01-Nov-2021","30-Dec-2021","CE","1380","0","0","0","251.55","0","244.65","0","0","0","0","0","-"
"HDFCBANK","01-Nov-2021","30-Dec-2021","CE","1400","0","0","0","235.9","0","227.55","0","0","0","0","0","-"
"HDFCBANK","01-Nov-2021","30-Dec-2021","CE","1420","0","0","0","220.8","0","210.95","0","0","0","0","0","-"
"HDFCBANK","01-Nov-2021","30-Dec-2021","CE","1440","0","0","0","206.25","0","194.9","0","0","0","0","0","-"
