"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1040","0","0","0","0.3","0","0.35","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1920","0","0","0","328.3","0","338.4","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1080","0","0","0","0.6","0","0.65","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1100","0","0","0","0.85","0","0.9","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1120","0","0","0","1.15","0","1.25","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1140","0","0","0","1.55","0","1.7","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1160","0","0","0","2.1","0","2.25","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1180","0","0","0","2.75","0","2.95","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1200","0","0","0","3.55","0","3.8","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1220","0","0","0","4.55","0","4.9","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1240","0","0","0","5.8","0","6.25","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1260","0","0","0","7.3","0","7.8","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1280","0","0","0","9.05","0","9.7","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1300","0","0","0","11.15","0","11.95","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1320","0","0","0","13.6","0","14.55","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1340","0","0","0","16.45","0","17.55","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1360","0","0","0","19.7","0","21","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1380","0","0","0","23.4","0","24.95","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1400","0","0","0","27.6","0","29.35","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1420","0","0","0","32.3","0","34.35","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1440","0","0","0","37.55","0","39.8","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1460","0","0","0","43.3","0","45.8","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1480","0","0","0","49.6","0","52.5","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1500","60","60","55","55","55","59.75","2","17.13",".63","550","550","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1520","0","0","0","64.1","0","67.65","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1540","0","0","0","72.25","0","76.1","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1560","0","0","0","81","0","85.2","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1580","0","0","0","90.35","0","94.95","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1600","0","0","0","100.3","0","105.25","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1620","0","0","0","110.85","0","116.2","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1640","0","0","0","121.95","0","127.7","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1660","0","0","0","133.65","0","139.75","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1680","0","0","0","145.9","0","152.4","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1700","0","0","0","158.7","0","165.55","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1720","0","0","0","172","0","179.2","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1740","0","0","0","185.8","0","193.35","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1760","0","0","0","200.1","0","208","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1780","0","0","0","214.85","0","223.05","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1800","0","0","0","230","0","238.55","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1820","0","0","0","245.6","0","254.3","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1840","0","0","0","261.4","0","270.5","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1860","0","0","0","277.7","0","287.05","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1880","0","0","0","294.25","0","303.85","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1900","0","0","0","311.15","0","321","0","0","0","0","0","-"
"HDFCBANK","01-Oct-2021","30-Dec-2021","PE","1060","0","0","0","0.45","0","0.45","0","0","0","0","0","-"
"HDFCBANK","04-Oct-2021","30-Dec-2021","PE","1040","0","0","0","0.3","0","0.25","0","0","0","0","0","-"
"HDFCBANK","04-Oct-2021","30-Dec-2021","PE","1920","0","0","0","328.3","0","335.1","0","0","0","0","0","-"
"HDFCBANK","04-Oct-2021","30-Dec-2021","PE","1080","0","0","0","0.6","0","0.55","0","0","0","0","0","-"
"HDFCBANK","04-Oct-2021","30-Dec-2021","PE","1100","0","0","0","0.85","0","0.75","0","0","0","0","0","-"
"HDFCBANK","04-Oct-2021","30-Dec-2021","PE","1120","0","0","0","1.15","0","1.05","0","0","0","0","0","-"
"HDFCBANK","04-Oct-2021","30-Dec-2021","PE","1140","0","0","0","1.55","0","1.45","0","0","0","0","0","-"
