"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","860","0","0","0","17.85","0","15.7","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","470","0","0","0","236.95","0","228.55","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","840","0","0","0","21.3","0","18.85","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","850","0","0","0","19.5","0","17.2","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","800","0","0","0","29.95","0","26.85","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","810","0","0","0","27.55","0","24.6","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","820","0","0","0","25.3","0","22.55","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","760","0","0","0","41.5","0","37.6","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","770","0","0","0","38.3","0","34.6","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","780","0","0","0","35.3","0","31.8","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","790","0","0","0","32.55","0","29.25","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","730","0","0","0","52.35","0","47.85","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","740","0","0","0","48.5","0","44.2","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","750","0","0","0","44.9","0","40.75","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","700","0","0","0","65.35","0","60.2","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","710","0","0","0","60.8","0","55.8","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","720","0","0","0","56.45","0","51.7","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","670","0","0","0","80.65","0","74.85","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","680","0","0","0","75.3","0","69.7","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","690","0","0","0","70.2","0","64.8","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","640","0","0","0","98.3","0","91.85","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","650","0","0","0","92.15","0","85.9","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","660","0","0","0","86.3","0","80.25","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","600","0","0","0","125.55","0","118.35","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","610","0","0","0","118.35","0","111.35","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","620","0","0","0","111.4","0","104.55","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","630","0","0","0","104.7","0","98.1","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","570","0","0","0","148.45","0","140.85","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","580","0","0","0","140.6","0","133.1","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","590","0","0","0","132.95","0","125.65","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","540","0","0","0","173.35","0","165.4","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","550","0","0","0","164.85","0","157","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","560","0","0","0","156.55","0","148.85","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","510","0","0","0","199.8","0","191.6","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","520","0","0","0","190.85","0","182.7","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","530","0","0","0","182","0","173.95","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","480","0","0","0","227.5","0","219.15","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","490","0","0","0","218.15","0","209.85","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","500","0","0","0","208.95","0","200.65","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","440","0","0","0","265.8","0","257.3","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","450","0","0","0","256.1","0","247.65","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","460","0","0","0","246.5","0","238.05","0","0","0","0","0","-"
"ICICIBANK","01-Oct-2021","30-Dec-2021","CE","830","0","0","0","23.25","0","20.6","0","0","0","0","0","-"
"ICICIBANK","04-Oct-2021","30-Dec-2021","CE","860","0","0","0","17.85","0","16.45","0","0","0","0","0","-"
"ICICIBANK","04-Oct-2021","30-Dec-2021","CE","470","0","0","0","236.95","0","235.9","0","0","0","0","0","-"
"ICICIBANK","04-Oct-2021","30-Dec-2021","CE","840","0","0","0","21.3","0","19.8","0","0","0","0","0","-"
"ICICIBANK","04-Oct-2021","30-Dec-2021","CE","850","0","0","0","19.5","0","18.05","0","0","0","0","0","-"
"ICICIBANK","04-Oct-2021","30-Dec-2021","CE","790","0","0","0","32.55","0","30.75","0","0","0","0","0","-"
"ICICIBANK","04-Oct-2021","30-Dec-2021","CE","800","0","0","0","29.95","0","28.25","0","0","0","0","0","-"
"ICICIBANK","04-Oct-2021","30-Dec-2021","CE","810","0","0","0","27.55","0","25.9","0","0","0","0","0","-"
"ICICIBANK","04-Oct-2021","30-Dec-2021","CE","820","0","0","0","25.3","0","23.7","0","0","0","0","0","-"
"ICICIBANK","04-Oct-2021","30-Dec-2021","CE","760","0","0","0","41.5","0","39.55","0","0","0","0","0","-"
"ICICIBANK","04-Oct-2021","30-Dec-2021","CE","770","0","0","0","38.3","0","36.4","0","0","0","0","0","-"
"ICICIBANK","04-Oct-2021","30-Dec-2021","CE","780","0","0","0","35.3","0","33.5","0","0","0","0","0","-"
"ICICIBANK","04-Oct-2021","30-Dec-2021","CE","730","0","0","0","52.35","0","50.35","0","0","0","0","0","-"
"ICICIBANK","04-Oct-2021","30-Dec-2021","CE","740","0","0","0","48.5","0","46.5","0","0","0","0","0","-"
"ICICIBANK","04-Oct-2021","30-Dec-2021","CE","750","25.05","25.05","23","23","23","42.95","2","21.29",".66","2750","2750","-"
"ICICIBANK","04-Oct-2021","30-Dec-2021","CE","700","0","0","0","65.35","0","63.3","0","0","0","0","0","-"
"ICICIBANK","04-Oct-2021","30-Dec-2021","CE","710","0","0","0","60.8","0","58.7","0","0","0","0","0","-"
"ICICIBANK","04-Oct-2021","30-Dec-2021","CE","720","0","0","0","56.45","0","54.4","0","0","0","0","0","-"
"ICICIBANK","04-Oct-2021","30-Dec-2021","CE","670","0","0","0","80.65","0","78.6","0","0","0","0","0","-"
"ICICIBANK","04-Oct-2021","30-Dec-2021","CE","680","0","0","0","75.3","0","73.2","0","0","0","0","0","-"
"ICICIBANK","04-Oct-2021","30-Dec-2021","CE","690","0","0","0","70.2","0","68.15","0","0","0","0","0","-"
"ICICIBANK","04-Oct-2021","30-Dec-2021","CE","640","0","0","0","98.3","0","96.3","0","0","0","0","0","-"
"ICICIBANK","04-Oct-2021","30-Dec-2021","CE","650","0","0","0","92.15","0","90.15","0","0","0","0","0","-"
"ICICIBANK","04-Oct-2021","30-Dec-2021","CE","660","0","0","0","86.3","0","84.25","0","0","0","0","0","-"
"ICICIBANK","04-Oct-2021","30-Dec-2021","CE","600","0","0","0","125.55","0","123.7","0","0","0","0","0","-"
"ICICIBANK","04-Oct-2021","30-Dec-2021","CE","610","0","0","0","118.35","0","116.5","0","0","0","0","0","-"
"ICICIBANK","04-Oct-2021","30-Dec-2021","CE","620","0","0","0","111.4","0","109.5","0","0","0","0","0","-"
"ICICIBANK","04-Oct-2021","30-Dec-2021","CE","630","0","0","0","104.7","0","102.75","0","0","0","0","0","-"
"ICICIBANK","04-Oct-2021","30-Dec-2021","CE","570","0","0","0","148.45","0","146.85","0","0","0","0","0","-"
