"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","440","0","0","0","0.7","0","0.05","0","0","0","0","0","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","990","0","0","0","284.9","0","190.75","0","0","0","0","0","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","460","0","0","0","1.25","0","0.05","0","0","0","0","0","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","470","0","0","0","1.65","0","0.05","0","0","0","0","0","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","480","0","0","0","2.1","0","0.1","0","0","0","0","0","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","490","0","0","0","2.65","0","0.1","0","0","0","0","0","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","500","0","0","0","3.3","0","0.15","0","0","0","0","0","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","510","0","0","0","4.1","0","0.25","0","0","0","0","0","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","520","0","0","0","5","0","0.3","0","0","0","0","0","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","530","0","0","0","6.1","0","0.4","0","0","0","0","0","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","540","0","0","0","7.35","0","0.55","0","0","0","0","0","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","550","0","0","0","8.75","0","0.75","0","0","0","0","0","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","560","0","0","0","10.35","0","1","0","0","0","0","0","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","570","0","0","0","12.15","0","1.3","0","0","0","0","0","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","580","0","0","0","14.2","0","1.65","0","0","0","0","0","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","590","0","0","0","16.45","0","2.1","0","0","0","0","0","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","600","0","0","0","18.95","0","2.65","0","0","0","0","0","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","610","0","0","0","21.65","0","3.3","0","0","0","0","0","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","620","0","0","0","24.65","0","4.1","0","0","0","0","0","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","630","0","0","0","27.85","0","5","0","0","0","0","0","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","640","0","0","0","31.35","0","6.1","0","0","0","0","0","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","650","0","0","0","10","10","7.3","0","0","0","1375","0","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","660","0","0","0","39.1","0","8.75","0","0","0","0","0","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","670","0","0","0","43.4","0","10.35","0","0","0","0","0","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","680","0","0","0","47.95","0","12.15","0","0","0","0","0","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","690","0","0","0","52.75","0","14.2","0","0","0","0","0","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","700","6.05","6.05","4.75","4.75","4.75","16.45","3","29.1",".23","24750","2750","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","710","0","0","0","63.15","0","19","0","0","0","0","0","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","720","0","0","0","10","10","21.75","0","0","0","1375","0","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","730","0","0","0","74.55","0","24.75","0","0","0","0","0","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","740","0","0","0","80.6","0","28.05","0","0","0","0","0","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","750","11.4","13.6","11.4","13","13","13","5","52.46",".89","24750","2750","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","760","0","0","0","93.4","0","35.45","0","0","0","0","0","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","770","0","0","0","100.1","0","39.55","0","0","0","0","0","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","780","23.9","25.9","23.9","25.75","25.75","43.95","17","188.23","5.91","23375","23375","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","790","27.8","30.35","26.1","26.1","26.1","48.6","25","281.36","9.8","31625","31625","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","800","34.8","37.5","28.4","29.65","28.4","29.65","88","1007.88","39.88","107250","92125","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","810","0","0","0","128.95","0","58.8","0","0","0","0","0","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","820","0","0","0","136.65","0","64.25","0","0","0","0","0","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","830","0","0","0","144.45","0","70","0","0","0","0","0","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","840","0","0","0","152.4","0","76.05","0","0","0","0","0","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","850","0","0","0","160.5","0","82.3","0","0","0","0","0","-"
"ICICIBANK","01-Nov-2021","30-Dec-2021","PE","860","0","0","0","168.75","0","88.8","0","0","0","0","0","-"
