"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"KOTAKBANK","01-Oct-2021","30-Dec-2021","PE","2420","0","0","0","432.95","0","442","0","0","0","0","0","-"
"KOTAKBANK","01-Oct-2021","30-Dec-2021","PE","1320","0","0","0","1.55","0","1.6","0","0","0","0","0","-"
"KOTAKBANK","01-Oct-2021","30-Dec-2021","PE","2380","0","0","0","399.9","0","408.6","0","0","0","0","0","-"
"KOTAKBANK","01-Oct-2021","30-Dec-2021","PE","2400","0","0","0","416.35","0","425.2","0","0","0","0","0","-"
"KOTAKBANK","01-Oct-2021","30-Dec-2021","PE","2300","0","0","0","336.6","0","344.5","0","0","0","0","0","-"
"KOTAKBANK","01-Oct-2021","30-Dec-2021","PE","2320","0","0","0","352.1","0","360.15","0","0","0","0","0","-"
"KOTAKBANK","01-Oct-2021","30-Dec-2021","PE","2340","0","0","0","367.8","0","376","0","0","0","0","0","-"
"KOTAKBANK","01-Oct-2021","30-Dec-2021","PE","2240","0","0","0","291.75","0","298.95","0","0","0","0","0","-"
"KOTAKBANK","01-Oct-2021","30-Dec-2021","PE","2260","0","0","0","306.35","0","313.9","0","0","0","0","0","-"
"KOTAKBANK","01-Oct-2021","30-Dec-2021","PE","2280","0","0","0","321.4","0","329.05","0","0","0","0","0","-"
"KOTAKBANK","01-Oct-2021","30-Dec-2021","PE","2180","0","0","0","249.7","0","256.2","0","0","0","0","0","-"
"KOTAKBANK","01-Oct-2021","30-Dec-2021","PE","2200","0","0","0","263.4","0","270.1","0","0","0","0","0","-"
"KOTAKBANK","01-Oct-2021","30-Dec-2021","PE","2220","0","0","0","277.4","0","284.35","0","0","0","0","0","-"
"KOTAKBANK","01-Oct-2021","30-Dec-2021","PE","2100","0","0","0","198.3","0","203.85","0","0","0","0","0","-"
"KOTAKBANK","01-Oct-2021","30-Dec-2021","PE","2120","0","0","0","210.65","0","216.4","0","0","0","0","0","-"
"KOTAKBANK","01-Oct-2021","30-Dec-2021","PE","2140","0","0","0","223.3","0","229.3","0","0","0","0","0","-"
"KOTAKBANK","01-Oct-2021","30-Dec-2021","PE","2160","0","0","0","236.3","0","242.55","0","0","0","0","0","-"
"KOTAKBANK","01-Oct-2021","30-Dec-2021","PE","2040","0","0","0","163.65","0","168.45","0","0","0","0","0","-"
"KOTAKBANK","01-Oct-2021","30-Dec-2021","PE","2060","0","0","0","174.85","0","179.85","0","0","0","0","0","-"
"KOTAKBANK","01-Oct-2021","30-Dec-2021","PE","2080","0","0","0","186.4","0","191.65","0","0","0","0","0","-"
"KOTAKBANK","01-Oct-2021","30-Dec-2021","PE","1980","0","0","0","132.55","0","136.6","0","0","0","0","0","-"
"KOTAKBANK","01-Oct-2021","30-Dec-2021","PE","2000","0","0","0","142.5","0","146.8","0","0","0","0","0","-"
"KOTAKBANK","01-Oct-2021","30-Dec-2021","PE","2020","0","0","0","152.9","0","157.4","0","0","0","0","0","-"
"KOTAKBANK","01-Oct-2021","30-Dec-2021","PE","1920","0","0","0","105.1","0","108.45","0","0","0","0","0","-"
"KOTAKBANK","01-Oct-2021","30-Dec-2021","PE","1940","0","0","0","113.85","0","117.4","0","0","0","0","0","-"
"KOTAKBANK","01-Oct-2021","30-Dec-2021","PE","1960","0","0","0","123","0","126.8","0","0","0","0","0","-"
"KOTAKBANK","01-Oct-2021","30-Dec-2021","PE","1840","0","0","0","74.35","0","76.85","0","0","0","0","0","-"
"KOTAKBANK","01-Oct-2021","30-Dec-2021","PE","1860","0","0","0","81.4","0","84.1","0","0","0","0","0","-"
"KOTAKBANK","01-Oct-2021","30-Dec-2021","PE","1880","0","0","0","88.9","0","91.8","0","0","0","0","0","-"
"KOTAKBANK","01-Oct-2021","30-Dec-2021","PE","1900","0","0","0","96.8","0","99.9","0","0","0","0","0","-"
"KOTAKBANK","01-Oct-2021","30-Dec-2021","PE","1780","0","0","0","55.7","0","57.6","0","0","0","0","0","-"
"KOTAKBANK","01-Oct-2021","30-Dec-2021","PE","1800","0","0","0","61.55","0","63.6","0","0","0","0","0","-"
"KOTAKBANK","01-Oct-2021","30-Dec-2021","PE","1820","0","0","0","67.7","0","70","0","0","0","0","0","-"
"KOTAKBANK","01-Oct-2021","30-Dec-2021","PE","1720","0","0","0","40.35","0","41.8","0","0","0","0","0","-"
