"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"SBIN","01-Nov-2021","30-Dec-2021","CE","595","0","0","0","6.85","0","12.15","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","600","11.5","13.25","10.75","12.9","12.9","12.9","35","321.29","6.29","37500","28500","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","605","0","0","0","5.9","0","10.35","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","610","0","0","0","5.5","0","9.55","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","275","0","0","0","180.95","0","242.45","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","280","0","0","0","176.1","0","237.45","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","285","0","0","0","171.25","0","232.5","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","290","0","0","0","166.4","0","227.55","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","295","0","0","0","161.6","0","222.55","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","300","0","0","0","156.85","0","217.6","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","305","0","0","0","152.1","0","212.65","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","310","0","0","0","147.35","0","207.7","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","315","0","0","0","142.7","0","202.75","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","320","0","0","0","138.05","0","197.8","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","325","0","0","0","133.5","0","192.85","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","330","0","0","0","128.95","0","187.9","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","335","0","0","0","124.45","0","182.95","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","340","0","0","0","120.05","0","178.05","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","345","0","0","0","115.7","0","173.1","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","350","0","0","0","111.4","0","168.2","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","355","0","0","0","107.15","0","163.35","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","360","0","0","0","103","0","158.5","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","365","0","0","0","98.95","0","153.65","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","370","0","0","0","94.95","0","148.8","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","375","0","0","0","91","0","144.05","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","380","0","0","0","87.2","0","139.3","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","385","0","0","0","83.5","0","134.55","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","390","0","0","0","79.85","0","129.9","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","395","0","0","0","76.3","0","125.25","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","400","0","0","0","72.85","0","120.65","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","405","0","0","0","69.45","0","116.15","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","410","0","0","0","66.2","0","111.65","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","415","0","0","0","63.05","0","107.25","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","420","0","0","0","60","0","102.9","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","425","0","0","0","57.05","0","98.65","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","430","0","0","0","54.2","0","94.45","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","435","0","0","0","51.45","0","90.3","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","440","0","0","0","48.8","0","86.3","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","445","0","0","0","46.25","0","82.35","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","450","80","80","80","80","80","80","1","7.95","1.2","3000","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","455","0","0","0","41.45","0","74.75","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","460","0","0","0","40","40","71.1","0","0","0","1500","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","465","0","0","0","37.05","0","67.55","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","470","0","0","0","35","0","64.1","0","0","0","0","0","-"
"SBIN","01-Nov-2021","30-Dec-2021","CE","475","0","0","0","33","0","60.75","0","0","0","0","0","-"
