"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"SBIN","01-Oct-2021","30-Dec-2021","PE","545","0","0","0","100.5","0","101.3","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","285","0","0","0","0.5","0","0.5","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","555","0","0","0","108.65","0","109.55","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","530","0","0","0","88.65","0","89.4","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","535","0","0","0","92.55","0","93.3","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","540","0","0","0","96.5","0","97.3","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","515","0","0","0","77.3","0","78","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","520","0","0","0","81.05","0","81.75","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","525","0","0","0","84.8","0","85.55","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","495","0","0","0","63.25","0","63.8","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","500","0","0","0","66.65","0","67.25","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","505","0","0","0","70.15","0","70.75","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","510","0","0","0","73.7","0","74.35","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","480","0","0","0","53.55","0","54","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","485","0","0","0","56.7","0","57.2","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","490","0","0","0","59.95","0","60.45","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","465","0","0","0","44.6","0","45","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","470","0","0","0","47.5","0","47.9","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","475","0","0","0","50.45","0","50.9","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","450","0","0","0","36.5","0","36.8","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","455","0","0","0","39.1","0","39.45","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","460","0","0","0","41.8","0","42.15","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","435","0","0","0","29.3","0","29.5","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","440","0","0","0","31.6","0","31.85","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","445","0","0","0","34","0","34.3","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","415","0","0","0","21.1","0","21.25","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","420","0","0","0","23","0","23.15","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","425","0","0","0","25","0","25.15","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","430","0","0","0","27.1","0","27.3","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","400","12.05","12.05","12.05","12.05","12.05","16.1","1","6.18",".18","1500","1500","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","405","0","0","0","17.6","0","17.7","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","410","0","0","0","19.3","0","19.4","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","385","0","0","0","11.8","0","11.85","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","390","0","0","0","13.1","0","13.15","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","395","0","0","0","14.5","0","14.6","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","370","0","0","0","8.4","0","8.4","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","375","0","0","0","9.45","0","9.45","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","380","0","0","0","10.55","0","10.6","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","355","0","0","0","5.75","0","5.75","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","360","0","0","0","6.55","0","6.55","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","365","0","0","0","7.45","0","7.45","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","335","0","0","0","3.25","0","3.25","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","340","0","0","0","3.8","0","3.8","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","345","0","0","0","4.4","0","4.4","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","350","0","0","0","5.05","0","5.05","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","320","0","0","0","2","0","2","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","325","0","0","0","2.4","0","2.35","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","330","0","0","0","2.8","0","2.8","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","305","0","0","0","1.15","0","1.15","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","310","0","0","0","1.4","0","1.4","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","315","0","0","0","1.7","0","1.7","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","290","0","0","0","0.65","0","0.65","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","295","0","0","0","0.8","0","0.8","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","300","0","0","0","0.95","0","0.95","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","275","0","0","0","0.35","0","0.3","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","280","0","0","0","0.4","0","0.4","0","0","0","0","0","-"
"SBIN","01-Oct-2021","30-Dec-2021","PE","550","0","0","0","104.55","0","105.4","0","0","0","0","0","-"
"SBIN","04-Oct-2021","30-Dec-2021","PE","545","0","0","0","100.5","0","92.4","0","0","0","0","0","-"
"SBIN","04-Oct-2021","30-Dec-2021","PE","285","0","0","0","0.5","0","0.35","0","0","0","0","0","-"
"SBIN","04-Oct-2021","30-Dec-2021","PE","555","0","0","0","108.65","0","100.35","0","0","0","0","0","-"
"SBIN","04-Oct-2021","30-Dec-2021","PE","530","0","0","0","88.65","0","80.9","0","0","0","0","0","-"
"SBIN","04-Oct-2021","30-Dec-2021","PE","535","0","0","0","92.55","0","84.65","0","0","0","0","0","-"
"SBIN","04-Oct-2021","30-Dec-2021","PE","540","0","0","0","96.5","0","88.5","0","0","0","0","0","-"
"SBIN","04-Oct-2021","30-Dec-2021","PE","515","0","0","0","77.3","0","70","0","0","0","0","0","-"
"SBIN","04-Oct-2021","30-Dec-2021","PE","520","0","0","0","81.05","0","73.55","0","0","0","0","0","-"
"SBIN","04-Oct-2021","30-Dec-2021","PE","525","0","0","0","84.8","0","77.15","0","0","0","0","0","-"
"SBIN","04-Oct-2021","30-Dec-2021","PE","500","0","0","0","66.65","0","59.8","0","0","0","0","0","-"
"SBIN","04-Oct-2021","30-Dec-2021","PE","505","0","0","0","70.15","0","63.1","0","0","0","0","0","-"
"SBIN","04-Oct-2021","30-Dec-2021","PE","510","0","0","0","73.7","0","66.5","0","0","0","0","0","-"
"SBIN","04-Oct-2021","30-Dec-2021","PE","480","0","0","0","53.55","0","47.35","0","0","0","0","0","-"
"SBIN","04-Oct-2021","30-Dec-2021","PE","485","0","0","0","56.7","0","50.35","0","0","0","0","0","-"
"SBIN","04-Oct-2021","30-Dec-2021","PE","490","0","0","0","59.95","0","53.4","0","0","0","0","0","-"
"SBIN","04-Oct-2021","30-Dec-2021","PE","495","0","0","0","63.25","0","56.55","0","0","0","0","0","-"
"SBIN","04-Oct-2021","30-Dec-2021","PE","465","0","0","0","44.6","0","39","0","0","0","0","0","-"
"SBIN","04-Oct-2021","30-Dec-2021","PE","470","0","0","0","47.5","0","41.7","0","0","0","0","0","-"
"SBIN","04-Oct-2021","30-Dec-2021","PE","475","0","0","0","50.45","0","44.5","0","0","0","0","0","-"
"SBIN","04-Oct-2021","30-Dec-2021","PE","450","0","0","0","36.5","0","31.5","0","0","0","0","0","-"
"SBIN","04-Oct-2021","30-Dec-2021","PE","455","0","0","0","39.1","0","33.9","0","0","0","0","0","-"
"SBIN","04-Oct-2021","30-Dec-2021","PE","460","0","0","0","41.8","0","36.4","0","0","0","0","0","-"
"SBIN","04-Oct-2021","30-Dec-2021","PE","435","0","0","0","29.3","0","24.9","0","0","0","0","0","-"
"SBIN","04-Oct-2021","30-Dec-2021","PE","440","0","0","0","31.6","0","27","0","0","0","0","0","-"
"SBIN","04-Oct-2021","30-Dec-2021","PE","445","0","0","0","34","0","29.2","0","0","0","0","0","-"
"SBIN","04-Oct-2021","30-Dec-2021","PE","420","0","0","0","23","0","19.25","0","0","0","0","0","-"
"SBIN","04-Oct-2021","30-Dec-2021","PE","425","0","0","0","25","0","21","0","0","0","0","0","-"
"SBIN","04-Oct-2021","30-Dec-2021","PE","430","0","0","0","27.1","0","22.9","0","0","0","0","0","-"
"SBIN","04-Oct-2021","30-Dec-2021","PE","405","0","0","0","17.6","0","14.45","0","0","0","0","0","-"
"SBIN","04-Oct-2021","30-Dec-2021","PE","410","0","0","0","19.3","0","15.95","0","0","0","0","0","-"
"SBIN","04-Oct-2021","30-Dec-2021","PE","415","0","0","0","21.1","0","17.55","0","0","0","0","0","-"
"SBIN","04-Oct-2021","30-Dec-2021","PE","385","0","0","0","11.8","0","9.4","0","0","0","0","0","-"
