,index,Unnamed: 0,Symbol,INSTRUMENT,Expiry,Strike Price,Option Type,Open,High,Low,Close,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,Date,futures_price,time_diff,strike_distance,impliedvolatility,delta,theta,gamma,vega,sabrsigma
0,137,92200,BANKNIFTY,OPTIDX,2021-11-25,31600,PE,31.0,31.0,15.0,20.15,20.15,717,5667.95,15300,5750,2021-11-01,40028.1,24.0,8428.099999999999,42.3583984375,-0.012841052450984764,-3.0000368568571907,7.617990660504347e-06,3.3996037253773976,40.1213116643951
1,141,92204,BANKNIFTY,OPTIDX,2021-11-25,32000,PE,33.1,41.6,23.1,25.1,25.1,600,4804.28,44150,3150,2021-11-01,40028.1,24.0,8028.0999999999985,41.68701171875,-0.01587645987108256,-3.5445151731632536,9.292834848407422e-06,4.081288662754207,38.99429624123533
2,146,92209,BANKNIFTY,OPTIDX,2021-11-25,32500,PE,26.05,38.0,20.0,25.8,25.8,166,1350.05,4275,1350,2021-11-01,40028.1,24.0,7528.0999999999985,39.3218994140625,-0.01714422845992712,-3.5706794935245054,1.0521430759494246e-05,4.358706426777593,37.59515331251704
3,151,92214,BANKNIFTY,OPTIDX,2021-11-25,33000,PE,31.15,43.35,27.0,33.1,33.1,779,6433.87,37300,1625,2021-11-01,40028.1,24.0,7028.0999999999985,38.2843017578125,-0.021909783265914504,-4.281892304451224,1.3310279846658253e-05,5.368540659663906,36.20656243350252
4,156,92219,BANKNIFTY,OPTIDX,2021-11-25,33500,PE,32.6,49.0,32.55,37.6,37.6,443,3714.59,6125,600,2021-11-01,40028.1,24.0,6528.0999999999985,36.4990234375,-0.02564483516359916,-4.659912079830569,1.593705756569304e-05,6.128267519674438,34.82857564338275
5,161,92224,BANKNIFTY,OPTIDX,2021-11-25,34000,PE,36.0,59.75,30.25,40.45,40.45,1128,9600.56,31100,2300,2021-11-01,40028.1,24.0,6028.0999999999985,34.340858459472656,-0.02887524270536606,-4.840523173568651,1.870091759320412e-05,6.7658504403871325,33.461539401711995
6,162,92225,BANKNIFTY,OPTIDX,2021-11-25,34100,PE,0.0,0.0,0.0,27.8,37.1,0,0.0,25,0,2021-11-01,40028.1,24.0,5928.0999999999985,31.768798828125,-0.022305423505884568,-3.607246783392996,1.6284227971376736e-05,5.450248419514545,33.189503918526825
7,164,92227,BANKNIFTY,OPTIDX,2021-11-25,34300,PE,0.0,0.0,0.0,41.85,44.45,0,0.0,25,0,2021-11-01,40028.1,24.0,5728.0999999999985,32.980918884277344,-0.030853284464974762,-4.911495625328286,2.057222031642106e-05,7.148126795464915,32.64686712780819
8,166,92229,BANKNIFTY,OPTIDX,2021-11-25,34500,PE,36.7,59.95,31.45,44.2,44.2,689,5951.27,15700,3125,2021-11-01,40028.1,24.0,5528.0999999999985,32.257080078125,-0.0330195266884932,-5.080601805595801,2.2246308806257614e-05,7.560166204689343,32.106210689716654
9,167,92230,BANKNIFTY,OPTIDX,2021-11-25,34600,PE,0.0,0.0,0.0,53.0,57.75,0,0.0,75,0,2021-11-01,40028.1,24.0,5428.0999999999985,32.8216552734375,-0.03806591006407082,-5.808905275662259,2.4567798588534382e-05,8.495228254299622,31.836654879775633
