,Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,futures_price,time_to_expiry,next_day_close,daily_straddle_pnl,IV,delta
0,BANKNIFTY,2021-11-01,2021-12-30,CE,40200,1020.0,1185.0,998.15,1185.0,1185.0,1989.4,5,51.64,1.39,200,50,-,40181.9,59.0,1245.4,60.40000000000009,18.526077270507812,0.5124432807152786
1,BANKNIFTY,2021-11-01,2021-12-30,PE,40200,1515.55,1515.55,1259.0,1259.0,1259.0,1259.0,3,31.18,1.03,100,0,-,40181.9,59.0,1217.15,-41.84999999999991,19.3939208984375,-0.4867532114689522
2,BANKNIFTY,2021-11-02,2021-12-30,CE,40200,1229.7,1262.6,1148.15,1245.4,1245.4,2055.25,8,82.85,2.45,250,50,-,40228.65,58.0,963.0,-282.4000000000001,19.25373077392578,0.5190055103666684
3,BANKNIFTY,2021-11-02,2021-12-30,PE,40200,1259.0,1331.85,708.5,1217.15,1217.15,2071.0,8,82.72,2.32,250,150,-,40228.65,58.0,1522.1,304.9499999999998,19.259929656982422,-0.4809907567237763
4,BANKNIFTY,2021-11-03,2021-12-30,CE,39700,1600.0,1625.0,1220.0,1224.45,1220.0,1224.45,74,759.48,25.03,475,200,-,39657.7,57.0,1236.4,11.950000000000045,19.915461540222168,0.51029354241493
5,BANKNIFTY,2021-11-03,2021-12-30,PE,39700,929.2,1270.5,929.2,1219.85,1222.65,1219.85,136,1389.57,39.77,1025,50,-,39657.7,57.0,1167.25,-52.59999999999991,19.1650390625,-0.4905093360783651
6,BANKNIFTY,2021-11-04,2021-12-30,CE,39800,1170.0,1170.0,1161.5,1161.5,1161.5,1161.5,2,20.48,0.58,425,0,-,39783.9,56.0,1154.65,-6.849999999999909,18.812179565429688,0.5125056853470618
7,BANKNIFTY,2021-11-04,2021-12-30,PE,39800,0.0,0.0,0.0,1349.2,1349.2,1996.6,0,0.0,0.0,650,0,-,39783.9,56.0,1265.95,-83.25,21.574974060058594,-0.48505662922558096
8,BANKNIFTY,2021-11-08,2021-12-30,CE,39800,1096.85,1158.0,988.65,1154.65,1158.0,1154.65,36,368.32,10.12,525,100,-,39806.0,52.0,1038.55,-116.10000000000014,19.219160079956055,0.5152952928705181
9,BANKNIFTY,2021-11-08,2021-12-30,PE,39800,1314.15,1500.0,1265.95,1265.95,1265.95,1993.95,12,123.45,4.05,600,-50,-,39806.0,52.0,1232.5,-33.450000000000045,21.17764949798584,-0.4833079567978143
10,BANKNIFTY,2021-11-09,2021-12-30,CE,39700,1143.1,1200.35,1077.0,1179.45,1179.45,1179.45,24,245.1,6.9,1000,175,-,39711.2,51.0,939.5,-239.95000000000005,19.829273223876953,0.5162988125740713
12,BANKNIFTY,2021-11-09,2021-12-30,PE,39700,1167.0,1203.15,1092.4,1183.55,1183.55,1953.55,16,163.34,4.54,1425,175,-,39711.2,51.0,1262.6,79.04999999999995,20.08795738220215,-0.48352800385742856
14,BANKNIFTY,2021-11-10,2021-12-30,CE,39300,1111.65,1186.6,1111.65,1125.35,1116.0,1125.35,38,384.2,10.85,775,350,-,39288.8,50.0,867.0,-258.3499999999999,19.496440887451172,0.5128157368898952
16,BANKNIFTY,2021-11-10,2021-12-30,PE,39300,1100.0,1174.35,1056.0,1116.45,1116.45,1116.45,18,181.85,5.0,1150,0,-,39288.8,50.0,1363.95,247.5,19.1497802734375,-0.4874685769209106
18,BANKNIFTY,2021-11-11,2021-12-30,CE,38900,1204.25,1204.25,1025.35,1062.65,1050.0,1062.65,40,399.88,10.88,1050,525,-,38866.4,49.0,1063.3,0.6499999999998636,18.994808197021484,0.5089283487295897
19,BANKNIFTY,2021-11-11,2021-12-30,PE,38900,1056.4,1180.0,1011.5,1082.35,1082.35,1082.35,15,149.96,4.08,650,0,-,38866.4,49.0,902.7,-179.64999999999986,18.74995231628418,-0.49131523237205516
21,BANKNIFTY,2021-11-12,2021-12-30,PE,39000,1078.0,1167.25,929.9,969.85,979.35,969.85,2015,20171.44,525.19,64925,6425,-,39030.4,48.0,963.1,-6.75,17.453432083129883,-0.4824692566443218
20,BANKNIFTY,2021-11-12,2021-12-30,CE,39000,1031.8,1078.65,911.5,1021.65,1028.4,1021.65,2306,23064.46,580.96,45150,3375,-,39030.4,48.0,1004.85,-16.799999999999955,17.83275604248047,0.5177004965092111
22,BANKNIFTY,2021-11-15,2021-12-30,CE,39000,1100.0,1156.95,945.5,1004.85,992.0,1004.85,2851,28534.65,737.4,63425,18275,-,39018.2,45.0,738.8,-266.05000000000007,18.225431442260742,0.5156694366696819
23,BANKNIFTY,2021-11-15,2021-12-30,PE,39000,900.0,1037.55,767.65,963.1,981.85,963.1,2291,22867.27,530.02,78725,13800,-,39018.2,45.0,1135.7,172.60000000000002,17.793655395507812,-0.48456222039760516
24,BANKNIFTY,2021-11-16,2021-12-30,CE,38600,1183.8,1183.8,900.0,925.6,900.0,925.6,140,1386.62,35.62,1550,650,-,38586.75,44.0,797.75,-127.85000000000002,17.4407958984375,0.5098160118920078
25,BANKNIFTY,2021-11-16,2021-12-30,PE,38600,852.05,984.25,839.25,924.7,942.35,924.7,192,1896.33,43.53,3875,575,-,38586.75,44.0,1044.6,119.89999999999986,17.175674438476562,-0.4904024508983156
26,BANKNIFTY,2021-11-17,2021-12-30,CE,38300,943.95,1149.0,922.05,941.8,922.05,941.8,281,2763.25,72.67,3150,550,-,38315.75,43.0,880.5,-61.299999999999955,17.8070068359375,0.5148717376615172
27,BANKNIFTY,2021-11-17,2021-12-30,PE,38300,932.3,941.4,711.05,907.25,941.4,907.25,136,1331.45,29.25,3125,500,-,38315.75,43.0,898.55,-8.700000000000045,17.44818687438965,-0.4853186086302116
29,BANKNIFTY,2021-11-18,2021-12-30,PE,38300,835.25,1081.05,827.0,898.55,886.55,898.55,261,2561.61,62.53,2825,-300,-,38253.7,42.0,1308.1,409.54999999999995,16.898393630981445,-0.49698431692737094
28,BANKNIFTY,2021-11-18,2021-12-30,CE,38300,935.05,1000.0,818.85,880.5,825.45,880.5,399,3909.48,89.05,4725,1575,-,38253.7,42.0,481.9,-398.6,17.444610595703125,0.5036488474875108
31,BANKNIFTY,2021-11-23,2021-12-30,PE,37400,1085.05,1218.4,756.75,823.45,830.9,823.45,533,5102.15,118.6,7450,1500,-,37424.8,37.0,729.05,-94.40000000000009,17.59028434753418,-0.4841108862953572
30,BANKNIFTY,2021-11-23,2021-12-30,CE,37400,748.15,981.0,699.0,881.6,861.0,881.6,821,7853.65,177.3,7475,2850,-,37424.8,37.0,937.6,56.0,18.291473388671875,0.516153206742063
32,BANKNIFTY,2021-11-24,2021-12-30,CE,37600,800.6,1070.95,768.1,844.35,800.05,844.35,1130,10880.15,258.15,6050,700,37441.95,37593.0,36.0,771.2,-73.14999999999998,18.001556396484375,0.509962149726423
