,Unnamed: 0,Symbol,INSTRUMENT,Expiry,Strike Price,Option Type,Open,High,Low,Close,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,Date,futures_price,time_diff,impliedvolatility,delta,theta,gamma,vega,next_day_close,daily_straddle_pnl
0,924,HDFCBANK,OPTSTK,2021-09-30,1580.0,CE,33.0,44.4,30.2,31.85,31.85,6323,56223.93,959750,-371250,2021-09-01,1580.75,29.0,17.711639404296875,0.5137479950665704,-0.5424985876346052,0.005052165485413798,1.7765107658624566,35.7,3.8500000000000014
3,968,HDFCBANK,OPTSTK,2021-09-30,1580.0,PE,30.35,34.2,25.0,30.2,30.2,3664,32416.56,512050,113300,2021-09-01,1580.75,29.0,17.2119140625,-0.48642277360771263,-0.5271999868211661,0.005198924754731626,1.776536829349373,25.35,-4.849999999999998
18,1012,HDFCBANK,OPTSTK,2021-10-28,1580.0,CE,0.0,0.0,0.0,48.6,89.55,0,0.0,0,0,2021-09-01,1585.55,57.0,18.341064453125,0.5337178461890416,-0.40072444312550515,0.0034590730694563656,2.4907271130887967,35.7,-12.899999999999999
20,1056,HDFCBANK,OPTSTK,2021-10-28,1580.0,PE,45.0,45.9,44.35,44.35,81.05,29,259.22,13750,13750,2021-09-01,1585.55,57.0,18.86749267578125,-0.4664052600539823,-0.41223688426377336,0.003362648271363879,2.490792264432361,25.35,-19.0
28,1144,HDFCBANK,OPTSTK,2021-11-25,1580.0,PE,0.0,0.0,0.0,112.7,97.5,0,0.0,0,0,2021-09-01,1590.0,85.0,38.604736328125,-0.4494645077629102,-0.6895388318694604,0.0013359990803198656,3.0364564705602697,25.35,-87.35
26,1100,HDFCBANK,OPTSTK,2021-11-25,1580.0,CE,0.0,0.0,0.0,102.4,110.55,0,0.0,0,0,2021-09-01,1590.0,85.0,31.92138671875,0.5469578230808968,-0.5707955393412243,0.0016175051900879525,3.0398191201076963,35.7,-66.7
42,3260,HDFCBANK,OPTSTK,2021-11-25,1600.0,PE,0.0,0.0,0.0,123.9,102.55,0,0.0,0,0,2021-09-02,1600.25,84.0,40.557861328125,-0.4609318842893878,-0.7358134467565867,0.001275160397936937,3.0479087162661638,43.0,-80.9
40,3216,HDFCBANK,OPTSTK,2021-11-25,1600.0,CE,0.0,0.0,0.0,93.8,105.5,0,0.0,0,0,2021-09-02,1600.25,84.0,30.609130859375,0.5296873530505128,-0.5564525357989084,0.0016930637770932355,3.054122197840329,21.2,-72.6
34,3172,HDFCBANK,OPTSTK,2021-10-28,1600.0,PE,60.0,60.0,52.7,53.4,85.95,67,609.73,34100,30250,2021-09-02,1594.9,56.0,20.355224609375,-0.5000706981643248,-0.45294865522977107,0.003137278842914978,2.492247094260485,43.0,-10.399999999999999
32,3128,HDFCBANK,OPTSTK,2021-10-28,1600.0,CE,45.6,50.65,45.0,48.95,48.95,31,280.78,100100,3850,2021-09-02,1594.9,56.0,20.62225341796875,0.5003447843735915,-0.4588904711676166,0.0030966544426067914,2.4922462026380936,21.2,-27.750000000000004
31,3084,HDFCBANK,OPTSTK,2021-09-30,1600.0,PE,44.45,45.3,35.35,36.0,36.0,488,4398.25,217800,-4950,2021-09-02,1590.3,28.0,17.51708984375,-0.540255651541621,-0.5468611929372655,0.005144201039921902,1.7482485434310553,43.0,7.0
30,3040,HDFCBANK,OPTSTK,2021-09-30,1600.0,CE,23.75,27.5,22.8,26.35,26.35,9111,81433.66,3093200,284900,2021-09-02,1590.3,28.0,17.566680908203125,0.4599120474875916,-0.5484327344310646,0.005129897478627044,1.7483230491081496,21.2,-5.150000000000002
68,5298,HDFCBANK,OPTSTK,2021-10-28,1580.0,PE,39.65,50.65,39.65,50.65,80.8,4,35.78,14850,1100,2021-09-03,1582.5,55.0,21.198272705078125,-0.47593553645936115,-0.471417194247877,0.003058016974709861,2.4462319212849923,35.15,-15.5
