,Unnamed: 0,Symbol,INSTRUMENT,Expiry,Strike Price,Option Type,Open,High,Low,Close,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,Date,futures_price,time_diff,impliedvolatility,delta,theta,gamma,vega,next_day_close,daily_straddle_pnl
0,1192,ICICIBANK,OPTSTK,2021-09-30,720.0,CE,19.5,28.3,16.8,17.85,17.85,10061,102716.63,2791250,-1641750,2021-09-01,720.95,29.0,21.4385986328125,0.520749517606511,-0.299259693271126,0.009144669350081926,0.8096173871719275,20.2,2.349999999999998
3,1237,ICICIBANK,OPTSTK,2021-09-30,720.0,PE,15.0,17.4,11.75,16.75,16.75,3715,37530.03,855250,253000,2021-09-01,720.95,29.0,21.2554931640625,-0.479278407687112,-0.296704820029292,0.009223479731910539,0.809620338087223,14.1,-2.6500000000000004
18,1280,ICICIBANK,OPTSTK,2021-10-28,720.0,CE,29.7,38.9,29.45,30.65,30.65,22,227.88,171875,-2750,2021-09-01,723.55,57.0,25.360107421875,0.539504865296327,-0.2525105713931087,0.005474735618160858,1.135097918157244,20.2,-10.45
19,1323,ICICIBANK,OPTSTK,2021-10-28,720.0,PE,0.0,0.0,0.0,80.75,50.1,0,0.0,0,0,2021-09-01,723.55,57.0,72.76153564453125,-0.4360964547960869,-0.7186985541838515,0.0018929050195965207,1.126029494171582,14.1,-66.65
20,1366,ICICIBANK,OPTSTK,2021-11-25,730.0,CE,0.0,0.0,0.0,54.35,62.2,0,0.0,0,0,2021-09-01,726.2,85.0,40.1763916015625,0.5279115951572482,-0.3295996053127768,0.0028265403981742768,1.394648216765015,15.8,-38.55
25,1408,ICICIBANK,OPTSTK,2021-11-25,730.0,PE,0.0,0.0,0.0,78.65,65.85,0,0.0,0,0,2021-09-01,726.2,85.0,54.901123046875,-0.45510654281870444,-0.4486422624124919,0.0020603836561461724,1.3892099173454864,19.2,-59.45
80,3481,ICICIBANK,OPTSTK,2021-11-25,730.0,CE,0.0,0.0,0.0,54.35,64.5,0,0.0,0,0,2021-09-02,730.05,84.0,38.9404296875,0.5373541922031194,-0.32243189214187945,0.002912421058141768,1.3910621509455,13.65,-40.7
72,3353,ICICIBANK,OPTSTK,2021-09-30,730.0,PE,22.15,23.55,17.7,19.2,19.2,875,9013.92,430375,39875,2021-09-02,725.95,28.0,21.240234375,-0.5259744074462654,-0.3035979465728692,0.009321582797432986,0.8004377309551545,18.75,-0.4499999999999993
70,3308,ICICIBANK,OPTSTK,2021-09-30,730.0,CE,13.55,16.6,12.8,15.8,15.8,5635,57720.08,3942125,556875,2021-09-02,725.95,28.0,22.0947265625,0.4759529539402344,-0.31590757603761516,0.008963801272972702,0.8006808415602653,13.65,-2.1500000000000004
81,3523,ICICIBANK,OPTSTK,2021-11-25,730.0,PE,0.0,0.0,0.0,78.65,63.0,0,0.0,0,0,2021-09-02,730.05,84.0,56.48040771484375,-0.44601801153830917,-0.4654189861241587,0.0019983248962233105,1.384380758432614,18.75,-59.900000000000006
79,3439,ICICIBANK,OPTSTK,2021-10-28,730.0,PE,28.0,28.0,28.0,28.0,52.45,2,20.84,6875,2750,2021-09-02,728.55,56.0,23.92578125,-0.4897714367295621,-0.2431209239483938,0.005841094293515539,1.1380837765629954,18.75,-9.25
78,3396,ICICIBANK,OPTSTK,2021-10-28,730.0,CE,25.85,29.2,25.5,27.65,27.65,11,114.49,11000,6875,2021-09-02,728.55,56.0,24.90234375,0.5113230886974639,-0.25302546629169437,0.0056116156966975785,1.1379993991396802,13.65,-13.999999999999998
122,5612,ICICIBANK,OPTSTK,2021-11-25,730.0,CE,0.0,0.0,0.0,54.35,63.45,0,0.0,0,0,2021-09-03,729.5,83.0,39.386749267578125,0.5359605760359829,-0.32794489124472903,0.002899832151425461,1.3821615888325491,12.8,-41.55
116,5569,ICICIBANK,OPTSTK,2021-10-28,730.0,PE,27.4,27.4,27.4,27.4,52.3,1,10.41,6875,0,2021-09-03,727.45,55.0,23.13232421875,-0.49763492654099206,-0.23690110161406927,0.006107241624453395,1.1265241197175202,18.45,-8.95
114,5525,ICICIBANK,OPTSTK,2021-10-28,730.0,CE,25.8,26.55,25.4,26.2,50.8,8,83.15,15125,4125,2021-09-03,727.45,55.0,24.35302734375,0.5040894921286578,-0.24939375787153367,0.0058009113706590345,1.1264847272841927,12.8,-13.399999999999999
86,5481,ICICIBANK,OPTSTK,2021-09-30,730.0,PE,17.95,21.2,16.0,18.75,18.75,1923,19796.84,757625,327250,2021-09-03,725.1,27.0,20.50018310546875,-0.5370144062496542,-0.2973943621735542,0.009825265634729493,0.7833732740215307,18.45,-0.3000000000000007
82,5435,ICICIBANK,OPTSTK,2021-09-30,730.0,CE,17.2,18.8,12.65,13.65,13.65,9589,98251.78,5938625,1996500,2021-09-03,725.1,27.0,20.2484130859375,0.4622530456526382,-0.2936911241001465,0.00994571217821501,0.7832377102392378,12.8,-0.8499999999999996
126,5655,ICICIBANK,OPTSTK,2021-11-25,730.0,PE,0.0,0.0,0.0,78.65,62.85,0,0.0,0,0,2021-09-03,729.5,83.0,56.644439697265625,-0.44728598548181436,-0.4694222338722146,0.002006879759524767,1.3756706084348336,18.45,-60.2
156,7613,ICICIBANK,OPTSTK,2021-09-30,720.0,PE,14.9,14.9,11.75,13.35,13.35,1899,19153.17,1438250,132000,2021-09-06,724.2,24.0,20.7977294921875,-0.44601800902406397,-0.3180549322860228,0.010234723247323595,0.7340530491784637,15.75,2.4000000000000004
162,7658,ICICIBANK,OPTSTK,2021-10-28,730.0,CE,26.2,29.0,25.0,25.0,47.5,10,103.93,15125,0,2021-09-06,726.85,52.0,24.169921875,0.49928682258640433,-0.25436146260805137,0.006016363819359528,1.0944839726023046,10.1,-14.9
165,7702,ICICIBANK,OPTSTK,2021-10-28,730.0,PE,0.0,0.0,0.0,27.4,52.4,0,0.0,6875,0,2021-09-06,726.85,52.0,23.5595703125,-0.5016626172296486,-0.2479364363530193,0.006172184427933507,1.0944762166155917,21.55,-5.849999999999998
181,7788,ICICIBANK,OPTSTK,2021-11-25,730.0,PE,0.0,0.0,0.0,78.65,63.15,0,0.0,0,0,2021-09-06,728.5,80.0,57.36541748046875,-0.4496192425058582,-0.4839346652183524,0.0020227870446724,1.3497600093523048,21.55,-57.10000000000001
154,7567,ICICIBANK,OPTSTK,2021-09-30,720.0,CE,19.6,20.65,16.5,17.55,17.55,2293,23267.88,2646875,147125,2021-09-06,724.2,24.0,20.7977294921875,0.553981990975936,-0.3180549322860228,0.010234723247323595,0.7340530491784637,14.1,-3.450000000000001
180,7745,ICICIBANK,OPTSTK,2021-11-25,730.0,CE,0.0,0.0,0.0,54.35,60.35,0,0.0,0,0,2021-09-06,728.5,80.0,40.5120849609375,0.5334664418062526,-0.34329785874701324,0.0028771708587679917,1.3558338814821398,10.1,-44.25
232,9790,ICICIBANK,OPTSTK,2021-10-28,720.0,CE,28.1,29.35,25.9,26.75,26.75,18,184.94,181500,-4125,2021-09-07,721.4,51.0,24.23858642578125,0.5266064493872221,-0.25507312054615966,0.006090047814524962,1.0733900830138736,15.55,-11.2
187,9746,ICICIBANK,OPTSTK,2021-09-30,720.0,PE,14.75,18.6,12.65,15.75,15.75,2488,25159.2,1410750,-27500,2021-09-07,718.1,23.0,20.5230712890625,-0.5101843737314435,-0.32074172050516186,0.010780123933279664,0.7189040536588918,13.9,-1.8499999999999996
235,9834,ICICIBANK,OPTSTK,2021-10-28,720.0,PE,25.9,25.9,25.9,25.9,48.45,1,10.25,1375,1375,2021-09-07,721.4,51.0,24.7802734375,-0.47317711690157793,-0.26076402518415137,0.005956704714879133,1.0733509715245024,13.9,-11.999999999999998
250,9877,ICICIBANK,OPTSTK,2021-11-25,720.0,CE,0.0,0.0,0.0,58.35,62.05,0,0.0,0,0,2021-09-07,723.7,79.0,42.22869873046875,0.5494692662670587,-0.3562297798347295,0.002784328927604263,1.3328448876232395,15.55,-42.8
253,9920,ICICIBANK,OPTSTK,2021-11-25,720.0,PE,0.0,0.0,0.0,72.8,59.2,0,0.0,0,0,2021-09-07,723.7,79.0,55.84716796875,-0.4405255430454315,-0.4694805788001482,0.002098075134183571,1.3282308512390568,13.9,-58.9
182,9700,ICICIBANK,OPTSTK,2021-09-30,720.0,CE,16.75,17.55,12.3,14.1,14.1,4957,50088.99,3143250,496375,2021-09-07,718.1,23.0,20.8740234375,0.49033521761640547,-0.3262370976517922,0.010599222717615209,0.7189273566217556,15.55,1.450000000000001
268,11833,ICICIBANK,OPTSTK,2021-09-30,720.0,CE,14.65,17.15,13.05,15.55,15.55,4650,47026.1,3408625,265375,2021-09-08,721.65,22.0,20.843505859375,0.528029811313318,-0.3339996136966823,0.010776408735560626,0.7050629151258667,14.3,-1.25
271,11879,ICICIBANK,OPTSTK,2021-09-30,720.0,PE,16.05,16.3,12.8,13.9,13.9,2051,20706.36,1711875,301125,2021-09-08,721.65,22.0,20.8740234375,-0.4719813061178155,-0.3344892891128901,0.010760674886353823,0.7050642998956902,13.7,-0.20000000000000107
286,11923,ICICIBANK,OPTSTK,2021-10-28,720.0,CE,28.35,30.0,27.0,28.6,28.6,24,247.13,171875,-9625,2021-09-08,724.4,50.0,24.71923828125,0.5447219482946212,-0.26273736700724026,0.005981603921553257,1.0628861780362036,14.3,-14.3
288,12011,ICICIBANK,OPTSTK,2021-11-25,730.0,CE,0.0,0.0,0.0,54.35,59.15,0,0.0,0,0,2021-09-08,727.2,78.0,41.54205322265625,0.5302935626582286,-0.35610138592831153,0.002848477989820898,1.3372429115881952,10.05,-44.3
