,Unnamed: 0,Symbol,INSTRUMENT,Expiry,Strike Price,Option Type,Open,High,Low,Close,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,Date,futures_price,time_diff,impliedvolatility,delta,theta,gamma,vega,next_day_close,daily_straddle_pnl
0,1445,KOTAKBANK,OPTSTK,2021-09-30,1760.0,CE,40.05,44.6,34.25,37.9,37.9,5153,37108.77,782000,245200,2021-09-01,1753.9,29.0,20.69091796875,0.487886236277142,-0.7032649147099286,0.003898276478826308,1.9713656549593908,53.95,16.050000000000004
26,1671,KOTAKBANK,OPTSTK,2021-11-25,1760.0,CE,0.0,0.0,0.0,114.65,133.8,0,0.0,0,0,2021-09-01,1766.75,85.0,32.802581787109375,0.5411494668609544,-0.6528130110539607,0.0014188791528480353,3.383215766351205,53.95,-60.7
11,1616,KOTAKBANK,OPTSTK,2021-10-28,1760.0,PE,0.0,0.0,0.0,194.5,110.35,0,0.0,0,0,2021-09-01,1759.65,57.0,70.25146484375,-0.44508377159986157,-1.6933120855619477,0.0008089031223897983,2.7478085785599933,28.35,-166.15
8,1561,KOTAKBANK,OPTSTK,2021-10-28,1760.0,CE,0.0,0.0,0.0,92.7,107.45,0,0.0,0,0,2021-09-01,1759.65,57.0,33.50830078125,0.5257961557702708,-0.8137026466481548,0.0017085637612265282,2.7683320119233223,53.95,-38.75
28,1726,KOTAKBANK,OPTSTK,2021-11-25,1760.0,PE,0.0,0.0,0.0,160.55,131.6,0,0.0,0,0,2021-09-01,1766.75,85.0,48.389434814453125,-0.44703749159117434,-0.9596216884161984,0.0009584547539518601,3.371307965391399,28.35,-132.20000000000002
2,1503,KOTAKBANK,OPTSTK,2021-09-30,1760.0,PE,41.95,50.0,41.25,43.05,43.05,1070,7718.87,186400,37200,2021-09-01,1753.9,29.0,20.21026611328125,-0.5129484163356952,-0.686882837735971,0.003990725033016671,1.9712360225927879,28.35,-14.699999999999996
34,3561,KOTAKBANK,OPTSTK,2021-09-30,1780.0,CE,31.95,50.0,27.95,44.95,44.95,4629,33682.56,354800,94800,2021-09-02,1785.15,28.0,21.49200439453125,0.5312043580915398,-0.7547011836790956,0.0037427827686626275,1.9664646214563146,52.0,7.049999999999997
55,3733,KOTAKBANK,OPTSTK,2021-10-28,1800.0,PE,89.8,89.8,77.0,77.0,116.6,5,37.64,1600,1200,2021-09-02,1792.7,56.0,26.123046875,-0.4954339319254413,-0.6533450807932545,0.0021747161979993176,2.801152920598758,45.2,-31.799999999999997
52,3678,KOTAKBANK,OPTSTK,2021-10-28,1800.0,CE,51.05,66.85,49.45,65.15,65.15,56,416.18,22800,5600,2021-09-02,1792.7,56.0,24.49798583984375,0.5022454482754691,-0.6127322551879489,0.0023190900227897807,2.8012920339531053,42.5,-22.650000000000006
71,3843,KOTAKBANK,OPTSTK,2021-11-25,1800.0,PE,0.0,0.0,0.0,184.85,138.35,0,0.0,0,0,2021-09-02,1800.8,84.0,53.913116455078125,-0.447873554893472,-1.0965423815078321,0.0008492360937040385,3.416962924909232,45.2,-139.64999999999998
37,3619,KOTAKBANK,OPTSTK,2021-09-30,1780.0,PE,55.1,57.6,34.5,38.35,38.35,587,4279.5,55600,8400,2021-09-02,1785.15,28.0,20.751953125,-0.4685148724228906,-0.7286734975529713,0.003876041785505531,1.9663554373495333,34.5,-3.8500000000000014
70,3788,KOTAKBANK,OPTSTK,2021-11-25,1800.0,CE,0.0,0.0,0.0,57.0,130.5,0,0.0,800,0,2021-09-02,1800.8,84.0,16.41845703125,0.5179556356118903,-0.3364740989191903,0.002809822290576333,3.442933066781629,42.5,-14.5
92,5922,KOTAKBANK,OPTSTK,2021-11-25,1820.0,CE,0.0,0.0,0.0,92.3,128.5,0,0.0,0,0,2021-09-03,1810.1,83.0,28.167724609375,0.5105920084818188,-0.5841115850299984,0.0016402498668651993,3.442327147813279,26.9,-65.4
77,5866,KOTAKBANK,OPTSTK,2021-10-28,1800.0,PE,61.0,71.0,61.0,70.0,108.15,17,126.95,7600,6000,2021-09-03,1804.25,55.0,25.848388671875,-0.4706352841939315,-0.6547927610100774,0.002197689589434062,2.7865258691919763,51.7,-18.299999999999997
93,5977,KOTAKBANK,OPTSTK,2021-11-25,1820.0,PE,0.0,0.0,0.0,197.65,140.95,0,0.0,0,0,2021-09-03,1810.1,83.0,55.96160888671875,-0.4550190250916709,-1.153493264206385,0.000820639472190465,3.4216293217349487,64.15,-133.5
72,5695,KOTAKBANK,OPTSTK,2021-09-30,1800.0,CE,42.0,57.6,38.0,42.5,42.5,16325,120668.75,1916800,672800,2021-09-03,1796.45,27.0,22.705078125,0.49956425594749654,-0.8195767534040743,0.0035961369481940235,1.9492178991927605,34.15,-8.350000000000001
73,5753,KOTAKBANK,OPTSTK,2021-09-30,1800.0,PE,40.0,53.95,38.0,45.2,45.2,2331,17194.83,356400,150000,2021-09-03,1796.45,27.0,22.247314453125,-0.5009465108040905,-0.8030512473671602,0.003670123395261542,1.9492135758316371,51.7,6.5
74,5811,KOTAKBANK,OPTSTK,2021-10-28,1800.0,CE,85.0,85.0,65.8,72.65,72.65,68,510.17,24800,2000,2021-09-03,1804.25,55.0,25.272369384765625,0.5291330387799212,-0.6402283659498584,0.002247876375025907,2.786644939470425,34.15,-38.50000000000001
97,7998,KOTAKBANK,OPTSTK,2021-10-28,1780.0,PE,0.0,0.0,0.0,207.65,102.85,0,0.0,0,0,2021-09-06,1787.5,52.0,78.99093627929688,-0.43518966191932806,-2.0173134257086285,0.0007386685607458424,2.6560084758570595,46.35,-161.3
95,7885,KOTAKBANK,OPTSTK,2021-09-30,1780.0,PE,42.0,42.45,28.65,40.1,40.1,899,6529.98,174800,34400,2021-09-06,1781.35,24.0,22.39990234375,-0.4832818415369061,-0.8496534748370368,0.003895596185173401,1.8206939551036527,46.35,6.25
101,8109,KOTAKBANK,OPTSTK,2021-11-25,1800.0,PE,0.0,0.0,0.0,184.85,135.95,0,0.0,0,0,2021-09-06,1793.0,80.0,54.187774658203125,-0.4556160052141549,-1.1271231320340411,0.0008716276763299204,3.3280514334268956,59.5,-125.35
98,8054,KOTAKBANK,OPTSTK,2021-11-25,1800.0,CE,0.0,0.0,0.0,57.0,125.45,0,0.0,800,0,2021-09-06,1793.0,80.0,18.00537109375,0.49837353461854783,-0.3768490296565614,0.002639523475996293,3.3487698993318515,27.3,-29.7
94,7827,KOTAKBANK,OPTSTK,2021-09-30,1780.0,CE,56.95,58.25,40.15,42.2,42.2,1187,8676.73,390800,50000,2021-09-06,1781.35,24.0,22.796630859375,0.5168293455194151,-0.864691688658127,0.0038277564306209793,1.8206725946312932,34.35,-7.850000000000001
96,7943,KOTAKBANK,OPTSTK,2021-10-28,1780.0,CE,0.0,0.0,0.0,86.05,107.05,0,0.0,0,0,2021-09-06,1787.5,52.0,30.635833740234375,0.5375163256404525,-0.7893719917249034,0.0019215560815554094,2.6796948904829088,34.35,-51.699999999999996
116,9959,KOTAKBANK,OPTSTK,2021-09-30,1760.0,CE,51.8,54.8,35.35,42.9,42.9,3741,26958.77,694800,189600,2021-09-07,1767.25,23.0,22.15576171875,0.540511543681117,-0.848022685853384,0.0040379503851161675,1.7606726432810051,82.35,39.449999999999996
124,10076,KOTAKBANK,OPTSTK,2021-10-28,1780.0,CE,0.0,0.0,0.0,86.05,100.55,0,0.0,0,0,2021-09-07,1773.7,51.0,33.672332763671875,0.51386605493959,-0.8726487876103781,0.0017858937132036242,2.6434217362062045,69.9,-16.14999999999999
