,Unnamed: 0,Symbol,INSTRUMENT,Expiry,Strike Price,Option Type,Open,High,Low,Close,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,Date,futures_price,time_diff,impliedvolatility,delta,theta,gamma,vega,next_day_close,daily_straddle_pnl
0,1790,SBIN,OPTSTK,2021-09-30,430.0,CE,11.0,15.15,10.85,12.55,12.55,13652,90725.38,4552500,-382500,2021-09-01,430.15,29.0,25.8026123046875,0.5164161034231747,-0.21500588724685551,0.01274107298623453,0.48329763331955994,12.95,0.3999999999999986
4,1847,SBIN,OPTSTK,2021-09-30,430.0,PE,13.8,14.55,10.7,12.15,12.15,3592,23839.18,2338500,504000,2021-09-01,430.15,29.0,25.2838134765625,-0.48383612765465367,-0.21068832825001627,0.01300284325211895,0.4833101244726602,11.7,-0.45000000000000107
53,2076,SBIN,OPTSTK,2021-11-25,435.0,PE,0.0,0.0,0.0,49.35,38.4,0,0.0,0,0,2021-09-01,433.1,85.0,58.10546875,-0.45042426281276415,-0.28278651078616657,0.003259651448152207,0.8273525344143843,14.45,-34.900000000000006
50,2019,SBIN,OPTSTK,2021-11-25,435.0,CE,0.0,0.0,0.0,29.2,37.15,0,0.0,0,0,2021-09-01,433.1,85.0,36.1328125,0.5247501223686751,-0.1768794088511597,0.005272544282366895,0.8321937160218884,10.7,-18.5
32,1904,SBIN,OPTSTK,2021-10-28,430.0,CE,18.0,22.5,17.6,20.0,20.0,476,3219.17,574500,520500,2021-09-01,431.85,57.0,28.076171875,0.5375125613082583,-0.16693269558910917,0.00828939116351088,0.6778106139927043,12.95,-7.050000000000001
35,1961,SBIN,OPTSTK,2021-10-28,430.0,PE,18.4,18.7,16.75,17.55,17.55,39,261.84,90000,15000,2021-09-01,431.85,57.0,27.191162109375,-0.462681773852497,-0.1616781164982546,0.008559585122834765,0.6778417636827023,11.7,-5.850000000000001
68,3905,SBIN,OPTSTK,2021-09-30,430.0,CE,13.95,15.0,11.8,12.95,12.95,8018,53305.41,5628000,1075500,2021-09-02,431.0,28.0,26.1688232421875,0.5272220390744411,-0.22202580694310903,0.01274099629585192,0.475124352124852,13.1,0.15000000000000036
237,4077,SBIN,OPTSTK,2021-10-28,435.0,PE,0.0,0.0,0.0,35.75,32.05,0,0.0,0,0,2021-09-02,432.65,56.0,51.0711669921875,-0.47092589597364826,-0.30746575761410994,0.004597213105373371,0.6742780100961488,13.2,-22.55
328,4134,SBIN,OPTSTK,2021-11-25,435.0,CE,0.0,0.0,0.0,29.2,36.75,0,0.0,0,0,2021-09-02,434.15,84.0,35.64453125,0.5295185016956403,-0.175806810507456,0.005359115644389317,0.8286136226087306,10.75,-18.45
332,4191,SBIN,OPTSTK,2021-11-25,435.0,PE,0.0,0.0,0.0,49.35,38.2,0,0.0,0,0,2021-09-02,434.15,84.0,59.02099609375,-0.4464397646919125,-0.28926950270395213,0.0032161243248442373,0.8233896353946851,13.2,-36.150000000000006
77,3962,SBIN,OPTSTK,2021-09-30,430.0,PE,12.95,13.25,9.95,11.7,11.7,3488,23107.63,2871000,532500,2021-09-02,431.0,28.0,25.634765625,-0.4728065814971615,-0.21749573547896603,0.01300649755361496,0.47512668401165054,10.7,-1.0
