,Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,futures_price,time_diff,impliedvolatility,delta,theta,gamma,vega,next_day_close,daily_straddle_pnl
0,HDFCBANK,2021-10-01,2021-12-30,CE,1600,0.0,0.0,0.0,110.5,0.0,103.0,0,0.0,0.0,0,0,-,1596.35,90.0,35.5224609375,0.5299913612221352,-0.6223203402144943,0.0014127799802884445,3.1534318930126624,110.5,0.0
1,HDFCBANK,2021-10-01,2021-12-30,PE,1600,0.0,0.0,0.0,100.3,0.0,105.25,0,0.0,0.0,0,0,-,1596.35,90.0,31.1279296875,-0.47507857885530885,-0.5458109565302289,0.0016136465088874854,3.156200015926331,100.3,0.0
2,HDFCBANK,2021-10-04,2021-12-30,CE,1600,0.0,0.0,0.0,110.5,0.0,102.4,0,0.0,0.0,0,0,-,1601.35,87.0,35.2783203125,0.536259348195406,-0.6297517994312889,0.0014404691140036242,3.1060666191133377,110.5,0.0
3,HDFCBANK,2021-10-04,2021-12-30,PE,1600,0.0,0.0,0.0,100.3,0.0,102.1,0,0.0,0.0,0,0,-,1601.35,87.0,32.40966796875,-0.46635131495946086,-0.5788771268618262,0.0015688721655669952,3.1078572039392163,100.3,0.0
4,HDFCBANK,2021-10-05,2021-12-30,CE,1600,0.0,0.0,0.0,110.5,0.0,106.75,0,0.0,0.0,0,0,-,1606.7,86.0,34.5458984375,0.5433049490795757,-0.6212221844878092,0.0014719980863561936,3.0929928172288017,110.5,0.0
5,HDFCBANK,2021-10-05,2021-12-30,PE,1600,0.0,0.0,0.0,100.3,0.0,96.9,0,0.0,0.0,0,0,-,1606.7,86.0,33.416748046875,-0.45744802256428585,-0.6010402255768506,0.0015220483307893382,3.0936259463130455,100.3,0.0
6,HDFCBANK,2021-10-06,2021-12-30,CE,1620,0.0,0.0,0.0,101.25,0.0,107.0,0,0.0,0.0,0,0,-,1622.3,85.0,32.1044921875,0.5345137268657015,-0.5876135999576538,0.0015813236009742028,3.111536896749152,101.25,0.0
7,HDFCBANK,2021-10-06,2021-12-30,PE,1620,0.0,0.0,0.0,110.85,0.0,97.65,0,0.0,0.0,0,0,-,1622.3,85.0,35.930633544921875,-0.46220582712490954,-0.6571514804171315,0.001411875052667988,3.1092062858073723,110.85,0.0
8,HDFCBANK,2021-10-07,2021-12-30,CE,1620,0.0,0.0,0.0,101.25,0.0,103.75,0,0.0,0.0,0,0,-,1623.25,84.0,32.131195068359375,0.5358853676908114,-0.5917585492740127,0.0015879719272849536,3.09404726673026,101.25,0.0
9,HDFCBANK,2021-10-07,2021-12-30,PE,1620,0.0,0.0,0.0,110.85,0.0,98.9,0,0.0,0.0,0,0,-,1623.25,84.0,36.285400390625,-0.4607482792955948,-0.6677323589634493,0.001405046251991084,3.0915749887892376,110.85,0.0
10,HDFCBANK,2021-10-08,2021-12-30,CE,1620,0.0,0.0,0.0,101.25,0.0,98.65,0,0.0,0.0,0,0,-,1613.5,83.0,34.00421142578125,0.5224416642150617,-0.6277813432560537,0.0015223969668137494,3.064670480830321,101.25,0.0
11,HDFCBANK,2021-10-08,2021-12-30,PE,1620,0.0,0.0,0.0,110.85,0.0,101.85,0,0.0,0.0,0,0,-,1613.5,83.0,35.015106201171875,-0.4763132902119536,-0.6463274649875691,0.001478177665473193,3.0641163437152654,110.85,0.0
12,HDFCBANK,2021-10-11,2021-12-30,CE,1640,0.0,0.0,0.0,92.6,0.0,103.9,0,0.0,0.0,0,0,1633.8,1641.95,80.0,29.9072265625,0.5312826857397045,-0.5714612434253051,0.0017299657476584534,3.057247677479248,92.6,0.0
13,HDFCBANK,2021-10-11,2021-12-30,PE,1640,0.0,0.0,0.0,121.95,0.0,96.3,0,0.0,0.0,0,0,1633.8,1641.95,80.0,40.164947509765625,-0.4600377600440313,-0.7659661439136756,0.001285636431357538,3.051282041297089,121.95,0.0
14,HDFCBANK,2021-10-12,2021-12-30,CE,1640,0.0,0.0,0.0,92.6,0.0,100.7,0,0.0,0.0,0,0,1629.6,1636.9,79.0,30.975341796875,0.5234935897647512,-0.5945719415849362,0.0016883044249155971,3.0328113047616942,92.6,0.0
15,HDFCBANK,2021-10-12,2021-12-30,PE,1640,0.0,0.0,0.0,121.95,0.0,97.45,0,0.0,0.0,0,0,1629.6,1636.9,79.0,39.646148681640625,-0.4673373471437116,-0.7597739535854503,0.0013169247298330908,3.027892712365561,121.95,0.0
