,Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,futures_price,time_to_expiry
0,BANKNIFTY,2021-11-01,2021-12-30,CE,39100,1610.65,1823.3,1541.0,1802.6,1802.6,1802.6,9,91.67,3.7,400,125,-,40181.9,59
1,BANKNIFTY,2021-11-01,2021-12-30,CE,39200,1596.1,1809.1,1492.5,1786.5,1809.1,1786.5,24,244.78,9.58,300,150,-,40181.9,59
2,BANKNIFTY,2021-11-01,2021-12-30,CE,39300,1477.8,1655.55,1398.95,1655.55,1655.55,2431.4,12,122.33,4.43,50,-25,-,40181.9,59
3,BANKNIFTY,2021-11-01,2021-12-30,CE,39400,1456.8,1648.45,1356.45,1648.45,1648.45,2379.25,41,418.74,14.89,350,125,-,40181.9,59
4,BANKNIFTY,2021-11-01,2021-12-30,CE,39500,1385.05,1679.3,1244.05,1635.85,1660.65,1635.85,763,7801.91,267.29,18425,5175,-,40181.9,59
5,BANKNIFTY,2021-11-01,2021-12-30,CE,39600,1424.8,1599.95,1257.4,1575.2,1599.85,1575.2,31,317.34,10.44,525,50,-,40181.9,59
6,BANKNIFTY,2021-11-01,2021-12-30,CE,39700,1224.6,1537.55,1043.1,1537.55,1537.55,1537.55,11,112.92,3.75,275,100,-,40181.9,59
7,BANKNIFTY,2021-11-01,2021-12-30,CE,39800,609.45,1415.55,609.45,1392.45,1392.45,1392.45,22,225.66,6.76,175,100,-,40181.9,59
8,BANKNIFTY,2021-11-01,2021-12-30,CE,39900,1113.4,1365.6,1083.35,1365.6,1365.6,2129.85,20,205.84,6.34,350,175,-,40181.9,59
9,BANKNIFTY,2021-11-01,2021-12-30,CE,40000,1149.95,1393.7,1010.1,1332.65,1380.0,1332.65,738,7599.18,219.18,30025,4225,-,40181.9,59
10,BANKNIFTY,2021-11-01,2021-12-30,CE,40100,1046.7,1327.35,1046.7,1308.1,1288.85,1308.1,4,41.32,1.22,100,25,-,40181.9,59
11,BANKNIFTY,2021-11-01,2021-12-30,CE,40200,1020.0,1185.0,998.15,1185.0,1185.0,1989.4,5,51.64,1.39,200,50,-,40181.9,59
12,BANKNIFTY,2021-11-01,2021-12-30,CE,40300,976.2,1003.35,920.25,1002.0,1002.0,1944.1,42,433.32,10.17,550,350,-,40181.9,59
13,BANKNIFTY,2021-11-01,2021-12-30,CE,40400,917.7,1108.65,913.55,1096.05,1096.05,1899.55,8,82.82,2.02,150,125,-,40181.9,59
14,BANKNIFTY,2021-11-01,2021-12-30,CE,40500,914.3,1136.9,842.9,1115.3,1125.75,1115.3,502,5201.95,119.2,8050,1050,-,40181.9,59
15,BANKNIFTY,2021-11-01,2021-12-30,CE,40600,847.5,1072.0,847.5,1072.0,1072.0,1072.0,11,114.3,2.65,225,0,-,40181.9,59
16,BANKNIFTY,2021-11-01,2021-12-30,CE,40700,813.6,959.45,806.9,959.45,959.45,1770.25,10,103.9,2.15,350,-25,-,40181.9,59
17,BANKNIFTY,2021-11-01,2021-12-30,CE,40800,768.95,930.4,744.4,930.4,930.4,1728.65,4,41.64,0.84,100,25,-,40181.9,59
18,BANKNIFTY,2021-11-01,2021-12-30,CE,40900,750.1,890.0,750.1,877.7,877.7,1687.75,4,41.72,0.82,125,50,-,40181.9,59
19,BANKNIFTY,2021-11-01,2021-12-30,CE,41000,791.05,924.75,655.2,874.65,907.5,874.65,604,6306.56,115.56,17000,550,-,40181.9,59
20,BANKNIFTY,2021-11-01,2021-12-30,CE,41100,737.2,831.3,692.45,831.3,831.3,1608.1,14,146.43,2.58,875,275,-,40181.9,59
21,BANKNIFTY,2021-11-01,2021-12-30,CE,41200,677.45,778.7,672.95,774.0,774.0,1569.35,17,178.07,2.97,450,250,-,40181.9,59
22,BANKNIFTY,2021-11-01,2021-12-30,CE,41300,580.5,750.85,580.5,750.8,750.8,1531.3,6,63.0,1.05,350,50,-,40181.9,59
23,BANKNIFTY,2021-11-01,2021-12-30,CE,41400,623.1,724.6,586.0,724.6,724.6,1493.95,18,189.25,2.95,750,200,-,40181.9,59
24,BANKNIFTY,2021-11-01,2021-12-30,CE,41500,690.8,741.8,553.6,701.25,735.0,701.25,343,3611.78,53.16,9700,2325,-,40181.9,59
25,BANKNIFTY,2021-11-01,2021-12-30,CE,41600,571.45,682.6,532.6,676.55,682.6,676.55,8,84.37,1.17,200,50,-,40181.9,59
26,BANKNIFTY,2021-11-01,2021-12-30,CE,41700,0.0,0.0,0.0,525.95,525.95,1386.05,0,0.0,0.0,375,0,-,40181.9,59
27,BANKNIFTY,2021-11-01,2021-12-30,CE,41800,519.0,617.25,490.2,617.25,617.25,617.25,9,95.24,1.19,550,225,-,40181.9,59
28,BANKNIFTY,2021-11-01,2021-12-30,CE,41900,574.4,606.25,564.25,582.25,606.25,582.25,8,84.96,1.16,200,-75,-,40181.9,59
29,BANKNIFTY,2021-11-01,2021-12-30,CE,42000,441.25,596.75,431.0,570.4,589.1,570.4,1100,11686.83,136.83,32725,3250,-,40181.9,59
30,BANKNIFTY,2021-11-01,2021-12-30,CE,42100,514.15,514.15,514.15,514.15,514.15,1251.6,1,10.65,0.13,75,25,-,40181.9,59
31,BANKNIFTY,2021-11-01,2021-12-30,CE,42200,447.55,447.55,447.5,447.5,447.5,1219.65,2,21.32,0.22,50,0,-,40181.9,59
