"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"BANKNIFTY","01-Oct-2021","30-Dec-2021","37300.05","37665","37299.95","37605.9","37599.05","37605.9","472","4426.36","4325","4325","-"
"BANKNIFTY","04-Oct-2021","30-Dec-2021","37811.45","38025","37800.6","37994.85","38003","37994.85","439","4164.65","7025","2700","-"
"BANKNIFTY","05-Oct-2021","30-Dec-2021","37900","38153","37707.6","38113.45","38105","38113.45","412","3909.42","8525","1500","-"
"BANKNIFTY","06-Oct-2021","30-Dec-2021","38070.95","38440","37825.9","37871.8","37842.95","37871.8","800","7630.46","11700","3175","-"
"BANKNIFTY","07-Oct-2021","30-Dec-2021","38141.2","38294.95","38042.2","38155.45","38169","38155.45","636","6071.77","11500","-200","-"
"BANKNIFTY","08-Oct-2021","30-Dec-2021","38250","38438.05","38070","38180.1","38194.95","38180.1","923","8825.98","15200","3700","-"
"BANKNIFTY","11-Oct-2021","30-Dec-2021","38260.3","38805","38210.85","38619.4","38632.75","38619.4","1492","14397.36","21100","5900","      38293.80"
"BANKNIFTY","12-Oct-2021","30-Dec-2021","38546.45","38911.55","38494.85","38852.7","38845","38852.7","911","8825.8","23850","2750","      38521.50"
"BANKNIFTY","13-Oct-2021","30-Dec-2021","38971.55","39079.7","38846.85","38973.15","38961","38973.15","936","9125.73","24425","575","      38635.75"
"BANKNIFTY","14-Oct-2021","30-Dec-2021","38695","39666.55","38694.95","39635.2","39655","39635.2","2584","25439.8","32150","7725","-"
"BANKNIFTY","18-Oct-2021","30-Dec-2021","39999.95","40249.95","39850","40034.35","40024.85","40034.35","2380","23835.98","37275","5125","-"
"BANKNIFTY","19-Oct-2021","30-Dec-2021","40150","40281.9","39749.55","39887.85","39918.7","39887.85","1641","16442.17","41325","4050","-"
"BANKNIFTY","20-Oct-2021","30-Dec-2021","39802.05","40101","39680","39934.65","39950","39934.65","848","8455.41","42450","1125","      39518.20"
"BANKNIFTY","21-Oct-2021","30-Dec-2021","40054.05","40577.2","39773.45","40417.3","40558.15","40417.3","1388","13921.75","44200","1750","-"
"BANKNIFTY","22-Oct-2021","30-Dec-2021","40600","40820","40465","40647.5","40670","40647.5","2471","25098.29","49300","5100","-"
"BANKNIFTY","25-Oct-2021","30-Dec-2021","40953.95","42057.9","40722.55","41540.5","41579.95","41540.5","4218","43713.47","62450","13150","      41192.40"
"BANKNIFTY","26-Oct-2021","30-Dec-2021","41529.7","41666.35","41150","41601.55","41630.8","41601.55","1771","18361.23","63225","775","      41238.30"
"BANKNIFTY","27-Oct-2021","30-Dec-2021","41507.4","41600","41107.4","41196.15","41124.05","41196.15","1155","11951.71","66800","3575","      40874.35"
"BANKNIFTY","28-Oct-2021","30-Dec-2021","41299.25","41299.25","39711","39838.7","39860","39838.7","4274","43137.29","72650","5850","-"
"BANKNIFTY","29-Oct-2021","30-Dec-2021","39750.1","40040","38772.5","39500.5","39615","39500.5","5207","51426.64","73750","1100","      39115.60"
"BANKNIFTY","01-Nov-2021","30-Dec-2021","39771.25","40268.65","39417.65","40181.9","40255.7","40181.9","3239","32248.47","79425","5675","-"
"BANKNIFTY","02-Nov-2021","30-Dec-2021","40364.55","40397.6","39885.25","40228.65","40209.45","40228.65","2734","27467.9","85050","5625","-"
"BANKNIFTY","03-Nov-2021","30-Dec-2021","40690","40690","39582.1","39657.7","39677.45","39657.7","4714","47078.54","94250","9200","-"
"BANKNIFTY","04-Nov-2021","30-Dec-2021","39900","39925","39720.05","39783.9","39764.15","39783.9","845","8412.27","95150","900","-"
"BANKNIFTY","08-Nov-2021","30-Dec-2021","39802.8","39870","39219.4","39806","39864.25","39806","4223","41778.55","100600","5450","-"
"BANKNIFTY","09-Nov-2021","30-Dec-2021","39864.25","39873.25","39522.3","39711.2","39709.4","39711.2","2201","21839.36","104325","3725","-"
"BANKNIFTY","10-Nov-2021","30-Dec-2021","39416.8","39494.3","39169.9","39288.8","39270","39288.8","3333","32754.09","119875","15550","-"
"BANKNIFTY","11-Nov-2021","30-Dec-2021","39142","39142.05","38626.25","38866.4","38860.4","38866.4","5255","51097.67","146500","26625","-"
"BANKNIFTY","12-Nov-2021","30-Dec-2021","38950","39105","38724","39030.4","39027","39030.4","4140","40323.41","150400","3900","-"
"BANKNIFTY","15-Nov-2021","30-Dec-2021","39134.95","39332.85","38878.1","39018.2","38978","39018.2","5211","50926.53","188800","38400","-"
"BANKNIFTY","16-Nov-2021","30-Dec-2021","39004.75","39004.8","38473.35","38586.75","38502","38586.75","13882","134148.08","345600","156800","-"
"BANKNIFTY","17-Nov-2021","30-Dec-2021","38400.05","38728","38232.25","38315.75","38271.95","38315.75","9071","87188.57","396275","50675","-"
"BANKNIFTY","18-Nov-2021","30-Dec-2021","38294.15","38473.95","38000.05","38253.7","38220","38253.7","21520","205492.21","493150","96875","-"
"BANKNIFTY","23-Nov-2021","30-Dec-2021","37050.15","37620","36844.05","37424.8","37417.25","37424.8","44045","410982.69","967950","257575","-"
"BANKNIFTY","24-Nov-2021","30-Dec-2021","37611","38030","37389.75","37593","37500.05","37593","72923","688131.95","1487500","519550","      37441.95"
"BANKNIFTY","25-Nov-2021","30-Dec-2021","37510","37686.8","37275","37535.1","37548","37535.1","104368","978107.4","2295825","808325","-"
"BANKNIFTY","26-Nov-2021","30-Dec-2021","37055.25","37093.75","36025.05","36157.8","36041","36157.8","192462","1757031.98","2765075","469250","-"
"BANKNIFTY","29-Nov-2021","30-Dec-2021","36230","36471","35459","36100.45","36062.15","36100.45","187040","1686668.42","2512550","-252525","-"
