,Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,futures_price,time_diff
0,HDFCBANK,2021-11-01,2021-12-30,CE,1620,60.0,60.0,60.0,60.0,60.0,60.0,1,9.24,0.33,550,550,-,1622.55,0.16164383561643836
1,HDFCBANK,2021-11-01,2021-12-30,PE,1620,0.0,0.0,0.0,110.85,0.0,86.0,0,0.0,0.0,0,0,-,1622.55,0.16164383561643836
2,HDFCBANK,2021-11-02,2021-12-30,CE,1620,60.0,60.0,60.0,60.0,60.0,81.15,1,9.24,0.33,1100,550,1606.75,1615.6,0.1589041095890411
3,HDFCBANK,2021-11-02,2021-12-30,PE,1620,0.0,0.0,0.0,110.85,0.0,84.5,0,0.0,0.0,0,0,1606.75,1615.6,0.1589041095890411
4,HDFCBANK,2021-11-03,2021-12-30,CE,1580,0.0,0.0,0.0,110.0,110.0,86.0,0,0.0,0.0,1650,0,-,1589.35,0.15616438356164383
5,HDFCBANK,2021-11-03,2021-12-30,PE,1580,0.0,0.0,0.0,90.35,0.0,75.05,0,0.0,0.0,0,0,-,1589.35,0.15616438356164383
6,HDFCBANK,2021-11-04,2021-12-30,CE,1600,54.05,55.0,53.1,54.05,53.1,54.05,4,36.39,1.19,46750,1650,-,1600.9,0.15342465753424658
7,HDFCBANK,2021-11-04,2021-12-30,PE,1600,52.35,54.5,52.35,53.35,53.45,53.35,6,54.57,1.77,81950,-1650,-,1600.9,0.15342465753424658
8,HDFCBANK,2021-11-08,2021-12-30,CE,1620,50.0,50.0,50.0,50.0,50.0,72.6,1,9.19,0.28,1100,0,-,1613.0,0.14246575342465753
9,HDFCBANK,2021-11-08,2021-12-30,PE,1620,0.0,0.0,0.0,110.85,0.0,83.45,0,0.0,0.0,0,0,-,1613.0,0.14246575342465753
10,HDFCBANK,2021-11-09,2021-12-30,CE,1580,63.0,71.8,49.65,49.65,49.65,49.65,10,90.27,3.37,7700,4950,-,1585.75,0.13972602739726028
