Option Type,Strike Price,futures_price,impliedvolatility,sabrsigma,sabrsigma_new
PE,440,810.7,0.219587909,0.226810738,0.202738176
PE,450,810.7,0.212434675,0.224834629,0.199398201
PE,460,810.7,0.205433125,0.222901678,0.196175162
PE,470,810.7,0.198576175,0.221010159,0.193070192
PE,480,810.7,0.204551593,0.219158461,0.190085094
PE,490,810.7,0.197577207,0.217345074,0.187222372
PE,500,810.7,0.19872338,0.215568583,0.184485264
PE,510,810.7,0.20278808,0.213827658,0.181877773
PE,520,810.7,0.199814427,0.212121049,0.179404703
PE,530,810.7,0.199525633,0.210447583,0.177071678
PE,540,810.7,0.200374232,0.208806153,0.174885159
PE,550,810.7,0.201460641,0.207195716,0.172852431
PE,560,810.7,0.202367779,0.205615287,0.170981571
PE,570,810.7,0.202927547,0.20406394,0.169281367
PE,580,810.7,0.203085212,0.202540796,0.167761194
PE,590,810.7,0.20373887,0.201045027,0.166430813
PE,600,810.7,0.204515644,0.199575846,0.165300104
PE,610,810.7,0.205209651,0.198132512,0.164378712
PE,620,810.7,0.20628237,0.19671432,0.163675605
PE,630,810.7,0.206973692,0.195320602,0.163198572
PE,640,810.7,0.208183839,0.193950727,0.162953675
PE,650,810.7,0.208865655,0.192604093,0.16294471
PE,660,810.7,0.210155284,0.191280131,0.163172722
PE,670,810.7,0.211171449,0.189978297,0.16363566
PE,680,810.7,0.212217786,0.188698078,0.164328197
PE,690,810.7,0.213509448,0.187438983,0.165241781
PE,700,810.7,0.214700597,0.186200548,0.166364895
PE,710,810.7,0.216251891,0.184982328,0.167683518
PE,720,810.7,0.217630865,0.183783903,0.169181726
PE,730,810.7,0.219060721,0.182604869,0.170842348
PE,740,810.7,0.220724692,0.181444844,0.172647636
PE,750,810.7,0.145794863,0.180303463,0.174579862
PE,760,810.7,0.224264379,0.179180379,0.176621812
PE,770,810.7,0.226136172,0.178075258,0.178757174
PE,780,810.7,0.228198127,0.176987785,0.180970794
PE,790,810.7,0.230282884,0.175917656,0.183248828
PE,800,810.7,0.152500143,0.174864584,0.185578808
PE,810,810.7,0.235084892,0.173828291,0.187949635
CE,820,810.7,0.130625323,0.172808515,0.190351528
CE,830,810.7,0.133971955,0.171805002,0.192775938
CE,840,810.7,0.136743197,0.170817512,0.195215447
CE,850,810.7,0.075931071,0.169845813,0.197663659
CE,860,810.7,0.141569258,0.168889684,0.200115085
CE,870,810.7,0.143460292,0.167948913,0.202565043
CE,880,810.7,0.145404906,0.167023296,0.205009558
CE,890,810.7,0.146984141,0.166112637,0.207445266
CE,900,810.7,0.148574486,0.165216749,0.20986934
CE,910,810.7,0.150068997,0.164335452,0.212279412
CE,920,810.7,0.151344858,0.163468572,0.214673514
CE,930,810.7,0.152441018,0.162615941,0.21705002
CE,940,810.7,0.153588223,0.161777397,0.219407596
CE,950,810.7,0.154652975,0.160952786,0.221745163
CE,960,810.7,0.155473955,0.160141956,0.224061854
CE,970,810.7,0.156512965,0.159344762,0.226356991
CE,980,810.7,0.157168218,0.158561062,0.228630051
CE,990,810.7,0.158166564,0.157790719,0.230880646
