,Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,futures_price,time_diff
0,ICICIBANK,2021-01-11,2021-12-30,CE,440,0.0,0.0,0.0,265.8,0.0,366.7,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
1,ICICIBANK,2021-01-11,2021-12-30,CE,990,0.0,0.0,0.0,5.2,0.0,10.9,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
2,ICICIBANK,2021-01-11,2021-12-30,CE,460,0.0,0.0,0.0,246.5,0.0,346.85,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
3,ICICIBANK,2021-01-11,2021-12-30,CE,470,0.0,0.0,0.0,236.95,0.0,336.95,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
4,ICICIBANK,2021-01-11,2021-12-30,CE,480,0.0,0.0,0.0,227.5,0.0,327.0,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
5,ICICIBANK,2021-01-11,2021-12-30,CE,490,0.0,0.0,0.0,218.15,0.0,317.1,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
6,ICICIBANK,2021-01-11,2021-12-30,CE,500,0.0,0.0,0.0,208.95,0.0,307.2,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
7,ICICIBANK,2021-01-11,2021-12-30,CE,510,0.0,0.0,0.0,199.8,0.0,297.35,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
8,ICICIBANK,2021-01-11,2021-12-30,CE,520,0.0,0.0,0.0,190.85,0.0,287.5,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
9,ICICIBANK,2021-01-11,2021-12-30,CE,530,0.0,0.0,0.0,182.0,0.0,277.65,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
10,ICICIBANK,2021-01-11,2021-12-30,CE,540,0.0,0.0,0.0,173.35,0.0,267.85,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
11,ICICIBANK,2021-01-11,2021-12-30,CE,550,0.0,0.0,0.0,164.85,0.0,258.1,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
12,ICICIBANK,2021-01-11,2021-12-30,CE,560,0.0,0.0,0.0,156.55,0.0,248.4,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
13,ICICIBANK,2021-01-11,2021-12-30,CE,570,0.0,0.0,0.0,148.45,0.0,238.8,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
14,ICICIBANK,2021-01-11,2021-12-30,CE,580,0.0,0.0,0.0,140.6,0.0,229.2,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
15,ICICIBANK,2021-01-11,2021-12-30,CE,590,0.0,0.0,0.0,132.95,0.0,219.75,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
16,ICICIBANK,2021-01-11,2021-12-30,CE,600,0.0,0.0,0.0,125.55,0.0,210.35,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
17,ICICIBANK,2021-01-11,2021-12-30,CE,610,0.0,0.0,0.0,118.35,0.0,201.05,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
18,ICICIBANK,2021-01-11,2021-12-30,CE,620,0.0,0.0,0.0,111.4,0.0,191.9,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
19,ICICIBANK,2021-01-11,2021-12-30,CE,630,0.0,0.0,0.0,104.7,0.0,182.9,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
20,ICICIBANK,2021-01-11,2021-12-30,CE,640,0.0,0.0,0.0,98.3,0.0,174.0,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
21,ICICIBANK,2021-01-11,2021-12-30,CE,650,0.0,0.0,0.0,92.15,0.0,165.3,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
22,ICICIBANK,2021-01-11,2021-12-30,CE,660,0.0,0.0,0.0,86.3,0.0,156.8,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
23,ICICIBANK,2021-01-11,2021-12-30,CE,670,0.0,0.0,0.0,80.65,0.0,148.45,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
24,ICICIBANK,2021-01-11,2021-12-30,CE,680,0.0,0.0,0.0,75.3,0.0,140.35,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
25,ICICIBANK,2021-01-11,2021-12-30,CE,690,0.0,0.0,0.0,70.2,0.0,132.45,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
26,ICICIBANK,2021-01-11,2021-12-30,CE,700,0.0,0.0,0.0,90.0,90.0,124.75,0,0.0,0.0,1375,0,-,810.7,0.9671232876712329
27,ICICIBANK,2021-01-11,2021-12-30,CE,710,0.0,0.0,0.0,60.8,0.0,117.35,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
28,ICICIBANK,2021-01-11,2021-12-30,CE,720,0.0,0.0,0.0,56.45,0.0,110.2,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
29,ICICIBANK,2021-01-11,2021-12-30,CE,730,0.0,0.0,0.0,52.35,0.0,103.25,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
30,ICICIBANK,2021-01-11,2021-12-30,CE,740,0.0,0.0,0.0,48.5,0.0,96.6,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
31,ICICIBANK,2021-01-11,2021-12-30,CE,750,70.65,70.65,70.65,70.65,70.65,90.2,1,11.28,0.97,6875,0,-,810.7,0.9671232876712329
32,ICICIBANK,2021-01-11,2021-12-30,CE,760,0.0,0.0,0.0,41.5,0.0,84.1,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
33,ICICIBANK,2021-01-11,2021-12-30,CE,770,0.0,0.0,0.0,38.3,0.0,78.3,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
34,ICICIBANK,2021-01-11,2021-12-30,CE,780,0.0,0.0,0.0,50.0,50.0,72.75,0,0.0,0.0,1375,0,-,810.7,0.9671232876712329
35,ICICIBANK,2021-01-11,2021-12-30,CE,790,0.0,0.0,0.0,32.55,0.0,67.5,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
36,ICICIBANK,2021-01-11,2021-12-30,CE,800,37.35,41.6,35.95,38.4,36.85,38.4,123,1416.59,63.59,97625,92125,-,810.7,0.9671232876712329
37,ICICIBANK,2021-01-11,2021-12-30,CE,810,30.55,33.3,30.55,32.7,32.7,57.75,66,764.62,29.54,88000,88000,-,810.7,0.9671232876712329
38,ICICIBANK,2021-01-11,2021-12-30,CE,820,28.05,28.05,28.05,28.05,28.05,53.3,1,11.66,0.39,1375,1375,-,810.7,0.9671232876712329
39,ICICIBANK,2021-01-11,2021-12-30,CE,830,0.0,0.0,0.0,23.25,0.0,49.15,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
40,ICICIBANK,2021-01-11,2021-12-30,CE,840,0.0,0.0,0.0,21.3,0.0,45.2,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
41,ICICIBANK,2021-01-11,2021-12-30,CE,850,25.0,25.0,20.5,21.25,21.5,21.25,50,599.5,15.13,141625,23375,-,810.7,0.9671232876712329
42,ICICIBANK,2021-01-11,2021-12-30,CE,860,0.0,0.0,0.0,19.75,19.75,38.1,0,0.0,0.0,6875,0,-,810.7,0.9671232876712329
43,ICICIBANK,2021-01-11,2021-12-30,CE,870,0.0,0.0,0.0,20.0,20.0,34.85,0,0.0,0.0,9625,0,-,810.7,0.9671232876712329
44,ICICIBANK,2021-01-11,2021-12-30,CE,880,0.0,0.0,0.0,14.9,0.0,31.9,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
45,ICICIBANK,2021-01-11,2021-12-30,CE,890,0.0,0.0,0.0,13.6,0.0,29.1,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
46,ICICIBANK,2021-01-11,2021-12-30,CE,900,12.65,13.55,11.0,12.0,12.0,26.55,7,87.79,1.16,24750,4125,-,810.7,0.9671232876712329
47,ICICIBANK,2021-01-11,2021-12-30,CE,910,0.0,0.0,0.0,11.3,0.0,24.2,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
48,ICICIBANK,2021-01-11,2021-12-30,CE,920,0.0,0.0,0.0,10.25,0.0,22.0,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
49,ICICIBANK,2021-01-11,2021-12-30,CE,930,0.0,0.0,0.0,9.35,0.0,19.95,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
50,ICICIBANK,2021-01-11,2021-12-30,CE,940,0.0,0.0,0.0,8.5,0.0,18.1,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
51,ICICIBANK,2021-01-11,2021-12-30,CE,950,0.0,0.0,0.0,4.95,4.95,16.4,0,0.0,0.0,1375,0,-,810.7,0.9671232876712329
52,ICICIBANK,2021-01-11,2021-12-30,CE,960,0.0,0.0,0.0,7.0,0.0,14.8,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
53,ICICIBANK,2021-01-11,2021-12-30,CE,970,0.0,0.0,0.0,6.35,0.0,13.4,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
54,ICICIBANK,2021-01-11,2021-12-30,CE,980,0.0,0.0,0.0,5.75,0.0,12.05,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
55,ICICIBANK,2021-01-11,2021-12-30,CE,450,0.0,0.0,0.0,256.1,0.0,356.8,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
56,ICICIBANK,2021-01-11,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.05,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
57,ICICIBANK,2021-01-11,2021-12-30,PE,990,0.0,0.0,0.0,284.9,0.0,190.75,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
58,ICICIBANK,2021-01-11,2021-12-30,PE,460,0.0,0.0,0.0,1.25,0.0,0.05,0,0.0,0.0,0,0,-,810.7,0.9671232876712329
