,Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,futures_price
0,ICICIBANK,01/12/2021,30/12/2021,CE,440,0,0,0,265.8,0,289.05,0,0,0,0,0,727.7,729.45
1,ICICIBANK,01/12/2021,30/12/2021,CE,990,0,0,0,5.2,0,0.25,0,0,0,0,0,727.7,729.45
2,ICICIBANK,01/12/2021,30/12/2021,CE,460,0,0,0,246.5,0,269.1,0,0,0,0,0,727.7,729.45
3,ICICIBANK,01/12/2021,30/12/2021,CE,470,0,0,0,236.95,0,259.15,0,0,0,0,0,727.7,729.45
4,ICICIBANK,01/12/2021,30/12/2021,CE,480,0,0,0,263,263,249.15,0,0,0,6875,0,727.7,729.45
5,ICICIBANK,01/12/2021,30/12/2021,CE,490,0,0,0,218.15,0,239.2,0,0,0,0,0,727.7,729.45
6,ICICIBANK,01/12/2021,30/12/2021,CE,500,0,0,0,208.95,0,229.25,0,0,0,0,0,727.7,729.45
7,ICICIBANK,01/12/2021,30/12/2021,CE,510,0,0,0,199.8,0,219.3,0,0,0,0,0,727.7,729.45
8,ICICIBANK,01/12/2021,30/12/2021,CE,520,0,0,0,190.85,0,209.35,0,0,0,0,0,727.7,729.45
9,ICICIBANK,01/12/2021,30/12/2021,CE,530,0,0,0,182,0,199.4,0,0,0,0,0,727.7,729.45
10,ICICIBANK,01/12/2021,30/12/2021,CE,540,0,0,0,173.35,0,189.5,0,0,0,0,0,727.7,729.45
11,ICICIBANK,01/12/2021,30/12/2021,CE,550,0,0,0,164.85,0,179.65,0,0,0,0,0,727.7,729.45
12,ICICIBANK,01/12/2021,30/12/2021,CE,560,0,0,0,156.55,0,169.85,0,0,0,0,0,727.7,729.45
13,ICICIBANK,01/12/2021,30/12/2021,CE,570,0,0,0,148.45,0,160.1,0,0,0,0,0,727.7,729.45
14,ICICIBANK,01/12/2021,30/12/2021,CE,580,0,0,0,140.6,0,150.4,0,0,0,0,0,727.7,729.45
15,ICICIBANK,01/12/2021,30/12/2021,CE,590,0,0,0,132.95,0,140.85,0,0,0,0,0,727.7,729.45
16,ICICIBANK,01/12/2021,30/12/2021,CE,600,125.55,130.8,125.55,129.45,129.45,131.45,5,50.06,8.81,0,-2750,727.7,729.45
17,ICICIBANK,01/12/2021,30/12/2021,CE,610,0,0,0,118.35,0,122.2,0,0,0,0,0,727.7,729.45
18,ICICIBANK,01/12/2021,30/12/2021,CE,620,0,0,0,121,121,113.15,0,0,0,2750,0,727.7,729.45
19,ICICIBANK,01/12/2021,30/12/2021,CE,630,0,0,0,138,138,104.3,0,0,0,1375,0,727.7,729.45
20,ICICIBANK,01/12/2021,30/12/2021,CE,640,0,0,0,98.3,0,95.75,0,0,0,0,0,727.7,729.45
21,ICICIBANK,01/12/2021,30/12/2021,CE,650,76.95,76.95,76.95,76.95,76.95,87.55,1,10,1.06,22000,1375,727.7,729.45
22,ICICIBANK,01/12/2021,30/12/2021,CE,660,0,0,0,86.3,0,79.6,0,0,0,0,0,727.7,729.45
23,ICICIBANK,01/12/2021,30/12/2021,CE,670,0,0,0,80.65,0,72.1,0,0,0,0,0,727.7,729.45
