,Date,Expiry,Strike Price,best_bid,best_offer,Close,futures_price,Option Type,time_diff,Unnamed: 9
0,1/11/21,30/12/21,320,0.9,2.0,1.45,851,PE,1.38,0.003780822
1,1/11/21,30/12/21,340,0.15,2.3,1.225,851,PE,1.38,
2,1/11/21,30/12/21,350,0.8,2.45,1.625,851,PE,1.38,
3,1/11/21,30/12/21,360,0.6,2.65,1.625,851,PE,1.38,
4,1/11/21,30/12/21,370,0.65,2.85,1.75,851,PE,1.38,
5,1/11/21,30/12/21,380,1.2,3.0,2.1,851,PE,1.38,
6,1/11/21,30/12/21,390,1.1,3.3,2.2,851,PE,1.38,
7,1/11/21,30/12/21,400,1.4,3.6,2.5,851,PE,1.38,
8,1/11/21,30/12/21,410,1.7,3.6,2.65,851,PE,1.38,
9,1/11/21,30/12/21,420,2.05,4.0,3.025,851,PE,1.38,
10,1/11/21,30/12/21,430,2.45,4.5,3.475,851,PE,1.38,
11,1/11/21,30/12/21,440,2.8,5.0,3.9,851,PE,1.38,
12,1/11/21,30/12/21,450,3.2,5.0,4.1,851,PE,1.38,
13,1/11/21,30/12/21,460,3.5,6.0,4.75,851,PE,1.38,
14,1/11/21,30/12/21,470,4.0,6.8,5.4,851,PE,1.38,
15,1/11/21,30/12/21,480,4.5,7.4,5.95,851,PE,1.38,
16,1/11/21,30/12/21,490,5.2,8.0,6.6,851,PE,1.38,
17,1/11/21,30/12/21,500,7.1,8.9,8.0,851,PE,1.38,
18,1/11/21,30/12/21,510,6.8,9.4,8.1,851,PE,1.38,
19,1/11/21,30/12/21,520,7.7,10.7,9.2,851,PE,1.38,
20,1/11/21,30/12/21,530,9.8,11.2,10.5,851,PE,1.38,
21,1/11/21,30/12/21,540,9.7,12.5,11.1,851,PE,1.38,
22,1/11/21,30/12/21,550,10.8,13.4,12.1,851,PE,1.38,
23,1/11/21,30/12/21,560,12.0,14.7,13.35,851,PE,1.38,
24,1/11/21,30/12/21,570,13.3,16.0,14.65,851,PE,1.38,
25,1/11/21,30/12/21,580,14.7,17.4,16.05,851,PE,1.38,
26,1/11/21,30/12/21,590,17.5,18.4,17.95,851,PE,1.38,
27,1/11/21,30/12/21,600,19.0,19.9,19.45,851,PE,1.38,
28,1/11/21,30/12/21,610,20.7,21.8,21.25,851,PE,1.38,
29,1/11/21,30/12/21,620,22.2,23.8,23.0,851,PE,1.38,
30,1/11/21,30/12/21,630,24.2,25.1,24.65,851,PE,1.38,
31,1/11/21,30/12/21,640,26.4,27.2,26.8,851,PE,1.38,
32,1/11/21,30/12/21,650,28.5,29.3,28.9,851,PE,1.38,
33,1/11/21,30/12/21,660,30.7,32.0,31.35,851,PE,1.38,
34,1/11/21,30/12/21,670,33.4,34.3,33.85,851,PE,1.38,
35,1/11/21,30/12/21,680,35.8,37.2,36.5,851,PE,1.38,
36,1/11/21,30/12/21,690,38.4,39.6,39.0,851,PE,1.38,
37,1/11/21,30/12/21,700,41.5,42.4,41.95,851,PE,1.38,
38,1/11/21,30/12/21,710,44.5,45.5,45.0,851,PE,1.38,
39,1/11/21,30/12/21,720,47.5,48.8,48.15,851,PE,1.38,
40,1/11/21,30/12/21,730,51.0,52.4,51.7,851,PE,1.38,
41,1/11/21,30/12/21,735,52.7,53.6,53.15,851,PE,1.38,
42,1/11/21,30/12/21,740,54.3,55.3,54.8,851,PE,1.38,
43,1/11/21,30/12/21,745,55.6,57.3,56.45,851,PE,1.38,
44,1/11/21,30/12/21,750,57.4,58.9,58.15,851,PE,1.38,
45,1/11/21,30/12/21,755,59.9,61.3,60.6,851,PE,1.38,
46,1/11/21,30/12/21,760,61.4,62.9,62.15,851,PE,1.38,
47,1/11/21,30/12/21,765,63.3,64.6,63.95,851,PE,1.38,
48,1/11/21,30/12/21,770,65.5,66.8,66.15,851,PE,1.38,
49,1/11/21,30/12/21,775,67.3,68.6,67.95,851,PE,1.38,
50,1/11/21,30/12/21,780,69.6,70.7,70.15,851,PE,1.38,
51,1/11/21,30/12/21,785,71.3,74.0,72.65,851,PE,1.38,
52,1/11/21,30/12/21,790,73.9,74.9,74.4,851,PE,1.38,
53,1/11/21,30/12/21,795,75.8,77.0,76.4,851,PE,1.38,
54,1/11/21,30/12/21,800,78.0,80.0,79.0,851,PE,1.38,
55,1/11/21,30/12/21,805,80.5,81.5,81.0,851,PE,1.38,
56,1/11/21,30/12/21,810,82.2,84.5,83.35,851,PE,1.38,
57,1/11/21,30/12/21,815,84.9,86.5,85.7,851,PE,1.38,
58,1/11/21,30/12/21,820,87.2,88.6,87.9,851,PE,1.38,
59,1/11/21,30/12/21,825,89.3,91.8,90.55,851,PE,1.38,
60,1/11/21,30/12/21,830,92.3,93.2,92.75,851,PE,1.38,
61,1/11/21,30/12/21,835,94.4,95.8,95.1,851,PE,1.38,
62,1/11/21,30/12/21,840,97.1,98.3,97.7,851,PE,1.38,
63,1/11/21,30/12/21,845,99.9,100.9,100.4,851,PE,1.38,
64,1/11/21,30/12/21,850,101.8,104.0,102.9,851,PE,1.38,
