,index,Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,futures_price,time_diff
0,56,ICICIBANK,2021-11-01,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.05,0,0.0,0.0,0,0,-,810.7,0.16164383561643836
1,58,ICICIBANK,2021-11-01,2021-12-30,PE,460,0.0,0.0,0.0,1.25,0.0,0.05,0,0.0,0.0,0,0,-,810.7,0.16164383561643836
2,59,ICICIBANK,2021-11-01,2021-12-30,PE,470,0.0,0.0,0.0,1.65,0.0,0.05,0,0.0,0.0,0,0,-,810.7,0.16164383561643836
3,60,ICICIBANK,2021-11-01,2021-12-30,PE,480,0.0,0.0,0.0,2.1,0.0,0.1,0,0.0,0.0,0,0,-,810.7,0.16164383561643836
4,61,ICICIBANK,2021-11-01,2021-12-30,PE,490,0.0,0.0,0.0,2.65,0.0,0.1,0,0.0,0.0,0,0,-,810.7,0.16164383561643836
5,62,ICICIBANK,2021-11-01,2021-12-30,PE,500,0.0,0.0,0.0,3.3,0.0,0.15,0,0.0,0.0,0,0,-,810.7,0.16164383561643836
6,63,ICICIBANK,2021-11-01,2021-12-30,PE,510,0.0,0.0,0.0,4.1,0.0,0.25,0,0.0,0.0,0,0,-,810.7,0.16164383561643836
7,64,ICICIBANK,2021-11-01,2021-12-30,PE,520,0.0,0.0,0.0,5.0,0.0,0.3,0,0.0,0.0,0,0,-,810.7,0.16164383561643836
8,65,ICICIBANK,2021-11-01,2021-12-30,PE,530,0.0,0.0,0.0,6.1,0.0,0.4,0,0.0,0.0,0,0,-,810.7,0.16164383561643836
9,66,ICICIBANK,2021-11-01,2021-12-30,PE,540,0.0,0.0,0.0,7.35,0.0,0.55,0,0.0,0.0,0,0,-,810.7,0.16164383561643836
10,67,ICICIBANK,2021-11-01,2021-12-30,PE,550,0.0,0.0,0.0,8.75,0.0,0.75,0,0.0,0.0,0,0,-,810.7,0.16164383561643836
11,68,ICICIBANK,2021-11-01,2021-12-30,PE,560,0.0,0.0,0.0,10.35,0.0,1.0,0,0.0,0.0,0,0,-,810.7,0.16164383561643836
12,69,ICICIBANK,2021-11-01,2021-12-30,PE,570,0.0,0.0,0.0,12.15,0.0,1.3,0,0.0,0.0,0,0,-,810.7,0.16164383561643836
13,70,ICICIBANK,2021-11-01,2021-12-30,PE,580,0.0,0.0,0.0,14.2,0.0,1.65,0,0.0,0.0,0,0,-,810.7,0.16164383561643836
14,71,ICICIBANK,2021-11-01,2021-12-30,PE,590,0.0,0.0,0.0,16.45,0.0,2.1,0,0.0,0.0,0,0,-,810.7,0.16164383561643836
15,72,ICICIBANK,2021-11-01,2021-12-30,PE,600,0.0,0.0,0.0,18.95,0.0,2.65,0,0.0,0.0,0,0,-,810.7,0.16164383561643836
16,73,ICICIBANK,2021-11-01,2021-12-30,PE,610,0.0,0.0,0.0,21.65,0.0,3.3,0,0.0,0.0,0,0,-,810.7,0.16164383561643836
17,74,ICICIBANK,2021-11-01,2021-12-30,PE,620,0.0,0.0,0.0,24.65,0.0,4.1,0,0.0,0.0,0,0,-,810.7,0.16164383561643836
18,75,ICICIBANK,2021-11-01,2021-12-30,PE,630,0.0,0.0,0.0,27.85,0.0,5.0,0,0.0,0.0,0,0,-,810.7,0.16164383561643836
19,76,ICICIBANK,2021-11-01,2021-12-30,PE,640,0.0,0.0,0.0,31.35,0.0,6.1,0,0.0,0.0,0,0,-,810.7,0.16164383561643836
20,77,ICICIBANK,2021-11-01,2021-12-30,PE,650,0.0,0.0,0.0,10.0,10.0,7.3,0,0.0,0.0,1375,0,-,810.7,0.16164383561643836
21,78,ICICIBANK,2021-11-01,2021-12-30,PE,660,0.0,0.0,0.0,39.1,0.0,8.75,0,0.0,0.0,0,0,-,810.7,0.16164383561643836
22,79,ICICIBANK,2021-11-01,2021-12-30,PE,670,0.0,0.0,0.0,43.4,0.0,10.35,0,0.0,0.0,0,0,-,810.7,0.16164383561643836
23,80,ICICIBANK,2021-11-01,2021-12-30,PE,680,0.0,0.0,0.0,47.95,0.0,12.15,0,0.0,0.0,0,0,-,810.7,0.16164383561643836
24,81,ICICIBANK,2021-11-01,2021-12-30,PE,690,0.0,0.0,0.0,52.75,0.0,14.2,0,0.0,0.0,0,0,-,810.7,0.16164383561643836
25,82,ICICIBANK,2021-11-01,2021-12-30,PE,700,6.05,6.05,4.75,4.75,4.75,16.45,3,29.1,0.23,24750,2750,-,810.7,0.16164383561643836
26,83,ICICIBANK,2021-11-01,2021-12-30,PE,710,0.0,0.0,0.0,63.15,0.0,19.0,0,0.0,0.0,0,0,-,810.7,0.16164383561643836
27,84,ICICIBANK,2021-11-01,2021-12-30,PE,720,0.0,0.0,0.0,10.0,10.0,21.75,0,0.0,0.0,1375,0,-,810.7,0.16164383561643836
28,85,ICICIBANK,2021-11-01,2021-12-30,PE,730,0.0,0.0,0.0,74.55,0.0,24.75,0,0.0,0.0,0,0,-,810.7,0.16164383561643836
29,86,ICICIBANK,2021-11-01,2021-12-30,PE,740,0.0,0.0,0.0,80.6,0.0,28.05,0,0.0,0.0,0,0,-,810.7,0.16164383561643836
30,87,ICICIBANK,2021-11-01,2021-12-30,PE,750,11.4,13.6,11.4,13.0,13.0,13.0,5,52.46,0.89,24750,2750,-,810.7,0.16164383561643836
31,88,ICICIBANK,2021-11-01,2021-12-30,PE,760,0.0,0.0,0.0,93.4,0.0,35.45,0,0.0,0.0,0,0,-,810.7,0.16164383561643836
32,89,ICICIBANK,2021-11-01,2021-12-30,PE,770,0.0,0.0,0.0,100.1,0.0,39.55,0,0.0,0.0,0,0,-,810.7,0.16164383561643836
33,90,ICICIBANK,2021-11-01,2021-12-30,PE,780,23.9,25.9,23.9,25.75,25.75,43.95,17,188.23,5.91,23375,23375,-,810.7,0.16164383561643836
34,91,ICICIBANK,2021-11-01,2021-12-30,PE,790,27.8,30.35,26.1,26.1,26.1,48.6,25,281.36,9.8,31625,31625,-,810.7,0.16164383561643836
35,92,ICICIBANK,2021-11-01,2021-12-30,PE,800,34.8,37.5,28.4,29.65,28.4,29.65,88,1007.88,39.88,107250,92125,-,810.7,0.16164383561643836
36,93,ICICIBANK,2021-11-01,2021-12-30,PE,810,0.0,0.0,0.0,128.95,0.0,58.8,0,0.0,0.0,0,0,-,810.7,0.16164383561643836
37,111,ICICIBANK,2021-11-01,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.05,0,0.0,0.0,0,0,-,810.7,0.16164383561643836
