,level_0,index,Date,Expiry,Strike Price,best_bid,best_offer,Close,futures_price,Option Type,time_diff,Unnamed: 9,impliedvolatility
57,0,0,1/11/21,30/12/21,320,0.9,2.0,1.45,851,PE,1.38,0.003780822,0.39303995184280893
58,1,1,1/11/21,30/12/21,340,0.15,2.3,1.225,851,PE,1.38,,0.36145290110823863
59,2,2,1/11/21,30/12/21,350,0.8,2.45,1.625,851,PE,1.38,,0.3656909226754773
60,3,3,1/11/21,30/12/21,360,0.6,2.65,1.625,851,PE,1.38,,0.35500667718624845
61,4,4,1/11/21,30/12/21,370,0.65,2.85,1.75,851,PE,1.38,,0.3485515950799863
62,5,5,1/11/21,30/12/21,380,1.2,3.0,2.1,851,PE,1.38,,0.3482280645221336
63,6,6,1/11/21,30/12/21,390,1.1,3.3,2.2,851,PE,1.38,,0.34059551261837684
64,7,7,1/11/21,30/12/21,400,1.4,3.6,2.5,851,PE,1.38,,0.3376984574750357
65,8,8,1/11/21,30/12/21,410,1.7,3.6,2.65,851,PE,1.38,,0.3310326170699055
66,9,9,1/11/21,30/12/21,420,2.05,4.0,3.025,851,PE,1.38,,0.32878296136157875
67,10,10,1/11/21,30/12/21,430,2.45,4.5,3.475,851,PE,1.38,,0.3271747230732981
68,11,11,1/11/21,30/12/21,440,2.8,5.0,3.9,851,PE,1.38,,0.32440908158662557
69,12,12,1/11/21,30/12/21,450,3.2,5.0,4.1,851,PE,1.38,,0.3177640155565429
70,13,13,1/11/21,30/12/21,460,3.5,6.0,4.75,851,PE,1.38,,0.31735205051893217
71,14,14,1/11/21,30/12/21,470,4.0,6.8,5.4,851,PE,1.38,,0.31603995476117314
72,15,15,1/11/21,30/12/21,480,4.5,7.4,5.95,851,PE,1.38,,0.31287198485928835
73,16,16,1/11/21,30/12/21,490,5.2,8.0,6.6,851,PE,1.38,,0.3103403346540775
74,17,17,1/11/21,30/12/21,500,7.1,8.9,8.0,851,PE,1.38,,0.3145095239680853
75,18,18,1/11/21,30/12/21,510,6.8,9.4,8.1,851,PE,1.38,,0.3056846635743194
76,19,19,1/11/21,30/12/21,520,7.7,10.7,9.2,851,PE,1.38,,0.30556546281562913
77,20,20,1/11/21,30/12/21,530,9.8,11.2,10.5,851,PE,1.38,,0.30619624477063484
78,21,21,1/11/21,30/12/21,540,9.7,12.5,11.1,851,PE,1.38,,0.3009004454337929
79,22,22,1/11/21,30/12/21,550,10.8,13.4,12.1,851,PE,1.38,,0.2982198456992568
80,23,23,1/11/21,30/12/21,560,12.0,14.7,13.35,851,PE,1.38,,0.29673877844898633
81,24,24,1/11/21,30/12/21,570,13.3,16.0,14.65,851,PE,1.38,,0.29501514754987085
82,25,25,1/11/21,30/12/21,580,14.7,17.4,16.05,851,PE,1.38,,0.29335738902358816
83,26,26,1/11/21,30/12/21,590,17.5,18.4,17.95,851,PE,1.38,,0.29389246430169075
84,27,27,1/11/21,30/12/21,600,19.0,19.9,19.45,851,PE,1.38,,0.2916660972109094
85,28,28,1/11/21,30/12/21,610,20.7,21.8,21.25,851,PE,1.38,,0.2904662667106228
86,29,29,1/11/21,30/12/21,620,22.2,23.8,23.0,851,PE,1.38,,0.28851924389149
87,30,30,1/11/21,30/12/21,630,24.2,25.1,24.65,851,PE,1.38,,0.28569140384164027
88,31,31,1/11/21,30/12/21,640,26.4,27.2,26.8,851,PE,1.38,,0.2846160116652406
89,32,32,1/11/21,30/12/21,650,28.5,29.3,28.9,851,PE,1.38,,0.2828387977312706
90,33,33,1/11/21,30/12/21,660,30.7,32.0,31.35,851,PE,1.38,,0.2819845798507412
91,34,34,1/11/21,30/12/21,670,33.4,34.3,33.85,851,PE,1.38,,0.28081824600785427
92,35,35,1/11/21,30/12/21,680,35.8,37.2,36.5,851,PE,1.38,,0.27972465856880685
93,36,36,1/11/21,30/12/21,690,38.4,39.6,39.0,851,PE,1.38,,0.27764801314183907
94,37,37,1/11/21,30/12/21,700,41.5,42.4,41.95,851,PE,1.38,,0.27669013403923576
95,38,38,1/11/21,30/12/21,710,44.5,45.5,45.0,851,PE,1.38,,0.27560076152893215
96,39,39,1/11/21,30/12/21,720,47.5,48.8,48.15,851,PE,1.38,,0.27438596822144595
97,40,40,1/11/21,30/12/21,730,51.0,52.4,51.7,851,PE,1.38,,0.27397285077930367
98,41,41,1/11/21,30/12/21,735,52.7,53.6,53.15,851,PE,1.38,,0.2726050894872931
99,42,42,1/11/21,30/12/21,740,54.3,55.3,54.8,851,PE,1.38,,0.27174956327289757
100,43,43,1/11/21,30/12/21,745,55.6,57.3,56.45,851,PE,1.38,,0.270794676017514
101,44,44,1/11/21,30/12/21,750,57.4,58.9,58.15,851,PE,1.38,,0.2698895337318991
102,45,45,1/11/21,30/12/21,755,59.9,61.3,60.6,851,PE,1.38,,0.2710579637209316
103,46,46,1/11/21,30/12/21,760,61.4,62.9,62.15,851,PE,1.38,,0.2695080839314585
104,47,47,1/11/21,30/12/21,765,63.3,64.6,63.95,851,PE,1.38,,0.26858372520678214
105,48,48,1/11/21,30/12/21,770,65.5,66.8,66.15,851,PE,1.38,,0.26868648912200593
106,49,49,1/11/21,30/12/21,775,67.3,68.6,67.95,851,PE,1.38,,0.26756254538717
107,50,50,1/11/21,30/12/21,780,69.6,70.7,70.15,851,PE,1.38,,0.2674496692320073
108,51,51,1/11/21,30/12/21,785,71.3,74.0,72.65,851,PE,1.38,,0.26804790735278733
109,52,52,1/11/21,30/12/21,790,73.9,74.9,74.4,851,PE,1.38,,0.2664952158052163
110,53,53,1/11/21,30/12/21,795,75.8,77.0,76.4,851,PE,1.38,,0.2655310177588266
111,54,54,1/11/21,30/12/21,800,78.0,80.0,79.0,851,PE,1.38,,0.26607580187861457
112,55,55,1/11/21,30/12/21,805,80.5,81.5,81.0,851,PE,1.38,,0.2649164758844588
