,Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,futures_price,time_diff
89,BANKNIFTY,2021-10-01,2021-12-30,PE,35100,0.0,0.0,0.0,1300.65,0.0,1346.1,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
90,BANKNIFTY,2021-10-01,2021-12-30,PE,35200,0.0,0.0,0.0,1336.6,0.0,1383.15,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
91,BANKNIFTY,2021-10-01,2021-12-30,PE,35300,0.0,0.0,0.0,1373.25,0.0,1420.9,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
92,BANKNIFTY,2021-10-01,2021-12-30,PE,34800,0.0,0.0,0.0,1196.5,0.0,1238.75,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
93,BANKNIFTY,2021-10-01,2021-12-30,PE,34900,0.0,0.0,0.0,1230.6,0.0,1273.9,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
94,BANKNIFTY,2021-10-01,2021-12-30,PE,35000,658.8,658.8,615.05,617.05,615.05,617.05,5,44.54,0.79,125,125,-,37605.9,0.2465753424657534
95,BANKNIFTY,2021-10-01,2021-12-30,PE,34600,0.0,0.0,0.0,1130.2,0.0,1170.35,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
96,BANKNIFTY,2021-10-01,2021-12-30,PE,34700,0.0,0.0,0.0,1163.05,0.0,1204.25,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
97,BANKNIFTY,2021-10-01,2021-12-30,PE,34200,0.0,0.0,0.0,1006.65,0.0,1041.2,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
98,BANKNIFTY,2021-10-01,2021-12-30,PE,34300,0.0,0.0,0.0,1036.9,0.0,1072.55,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
99,BANKNIFTY,2021-10-01,2021-12-30,PE,34400,0.0,0.0,0.0,1066.35,0.0,1104.55,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
100,BANKNIFTY,2021-10-01,2021-12-30,PE,34500,0.0,0.0,0.0,6370.8,0.0,1137.15,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
101,BANKNIFTY,2021-10-01,2021-12-30,PE,33800,0.0,0.0,0.0,891.55,0.0,923.8,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
102,BANKNIFTY,2021-10-01,2021-12-30,PE,33900,0.0,0.0,0.0,919.4,0.0,952.6,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
103,BANKNIFTY,2021-10-01,2021-12-30,PE,34000,0.0,0.0,0.0,947.9,0.0,982.0,0,0.0,0.0,0,0,-,37605.9,0.2465753424657534
