,level_0,index,Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,futures_price,time_diff,impliedvolatility
1407,650,1964,ICICIBANK,2021-11-01,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.05,0,0.0,0.0,0,0,-,810.7,0.16164383561643836,0.6779512359522482
1161,404,1231,ICICIBANK,2021-10-21,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.1,0,0.0,0.0,0,0,-,763.35,0.1917808219178082,0.5713087087310847
1968,1211,3774,ICICIBANK,2021-11-26,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.0,0,0.0,0.0,0,0,-,724.25,0.09315068493150686,0.7546013111646892
1194,437,1327,ICICIBANK,2021-10-22,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.05,0,0.0,0.0,0,0,-,765.4,0.18904109589041096,0.5777465564223296
1274,517,1534,ICICIBANK,2021-10-26,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.05,0,0.0,0.0,0,0,829.4,835.5,0.1780821917808219,0.6721232006120545
1314,557,1646,ICICIBANK,2021-10-27,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.05,0,0.0,0.0,0,0,835,839.85,0.17534246575342466,0.6818862499654263
1351,594,1758,ICICIBANK,2021-10-28,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.05,0,0.0,0.0,0,0,-,806.2,0.1726027397260274,0.6511325181171949
1939,1182,3662,ICICIBANK,2021-11-25,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.0,0,0.0,0.0,0,0,-,752.6,0.0958904109589041,0.7907358856076309
1389,632,1871,ICICIBANK,2021-10-29,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.05,0,0.0,0.0,0,0,802.05,808.0,0.16986301369863013,0.6583601261134004
1446,689,2077,ICICIBANK,2021-11-02,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.05,0,0.0,0.0,0,0,800.95,806.6,0.1589041095890411,0.6790779083074583
1482,725,2189,ICICIBANK,2021-11-03,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.05,0,0.0,0.0,0,0,-,790.7,0.15616438356164383,0.6663560874719604
1502,745,2266,ICICIBANK,2021-11-04,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.05,0,0.0,0.0,0,0,-,785.35,0.15342465753424658,0.6658379590788512
1907,1150,3550,ICICIBANK,2021-11-24,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.0,0,0.0,0.0,0,0,760.2,761.8,0.09863013698630137,0.7942235157025447
1569,812,2430,ICICIBANK,2021-11-08,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.05,0,0.0,0.0,0,0,-,786.6,0.14246575342465753,0.6925397495595177
1604,847,2541,ICICIBANK,2021-11-09,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.05,0,0.0,0.0,0,0,-,790.8,0.13972602739726028,0.704589451025223
1639,882,2653,ICICIBANK,2021-11-10,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.05,0,0.0,0.0,0,0,-,784.45,0.136986301369863,0.7035040174209073
1673,916,2765,ICICIBANK,2021-11-11,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.05,0,0.0,0.0,0,0,-,777.15,0.13424657534246576,0.7011381991414489
1874,1117,3438,ICICIBANK,2021-11-23,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.0,0,0.0,0.0,0,0,-,754.5,0.10136986301369863,0.7720499188728128
1708,951,2877,ICICIBANK,2021-11-12,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.0,0,0.0,0.0,0,0,-,783.05,0.13150684931506848,0.7161773492742849
1743,986,2990,ICICIBANK,2021-11-15,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.0,0,0.0,0.0,0,0,-,779.05,0.1232876712328767,0.7342304922717396
1776,1019,3102,ICICIBANK,2021-11-16,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.0,0,0.0,0.0,0,0,-,769.5,0.12054794520547946,0.7292575402010022
1808,1051,3214,ICICIBANK,2021-11-17,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.0,0,0.0,0.0,0,0,-,766.55,0.1178082191780822,0.7334985163353719
1128,371,1137,ICICIBANK,2021-10-20,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.1,0,0.0,0.0,0,0,745.85,754.9,0.19452054794520549,0.5577882829053865
1096,339,1043,ICICIBANK,2021-10-19,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.1,0,0.0,0.0,0,0,-,753.15,0.19726027397260273,0.5519338131096337
1234,477,1422,ICICIBANK,2021-10-25,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.05,0,0.0,0.0,0,0,841.7,848.85,0.18082191780821918,0.6806176029682031
1842,1085,3326,ICICIBANK,2021-11-18,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.0,0,0.0,0.0,0,0,-,767.7,0.11506849315068493,0.7438345171122662
2025,1268,3998,ICICIBANK,2021-11-30,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.0,0,0.0,0.0,0,0,-,715.85,0.0821917808219178,0.7877884802086756
1064,307,949,ICICIBANK,2021-10-18,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.1,0,0.0,0.0,0,0,-,751.75,0.2,0.546573036777984
917,160,513,ICICIBANK,2021-10-08,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.45,0,0.0,0.0,0,0,-,710.25,0.2273972602739726,0.4673088461267332
2028,1271,4058,ICICIBANK,2021-12-01,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.0,0,0.0,0.0,0,0,727.7,729.45,0.07945205479452055,0.8267344010730459
946,189,599,ICICIBANK,2021-10-11,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.35,0,0.0,0.0,0,0,713.3,720.35,0.2191780821917808,0.4875382648097667
