,level_0,index,Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,futures_price,time_diff,impliedvolatility,alpha,rho,nu,Beta,sabrsigma
1407,650,1964,ICICIBANK,2021-11-01,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.05,0,0.0,0.0,0,0,-,810.7,0.16164383561643836,0.6779512359522482,2.0139877239835893,-1.589337581106093,0.8940008334559336,0.8,0.8326076527819548
1161,404,1231,ICICIBANK,2021-10-21,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.1,0,0.0,0.0,0,0,-,763.35,0.1917808219178082,0.5713087087310847,1.8410610192415675,-2.0221966006198757,0.4278468358085305,0.8,0.6793588123202353
1968,1211,3774,ICICIBANK,2021-11-26,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.0,0,0.0,0.0,0,0,-,724.25,0.09315068493150686,0.7546013111646892,0.8944436580308364,-0.2503271740342039,4.409035834502544,0.8,0.9319100478932483
1194,437,1327,ICICIBANK,2021-10-22,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.05,0,0.0,0.0,0,0,-,765.4,0.18904109589041096,0.5777465564223296,1.854386860618795,-2.0788283728289665,0.4347069626916383,0.8,0.6885879966703065
1274,517,1534,ICICIBANK,2021-10-26,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.05,0,0.0,0.0,0,0,829.4,835.5,0.1780821917808219,0.6721232006120545,2.236460964173297,-2.563771028524733,0.6813611133723536,0.8,0.8961014563136849
1314,557,1646,ICICIBANK,2021-10-27,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.05,0,0.0,0.0,0,0,835,839.85,0.17534246575342466,0.6818862499654263,2.260925154273015,-2.4615303693644885,0.7446995954462144,0.8,0.9128455669551447
1351,594,1758,ICICIBANK,2021-10-28,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.05,0,0.0,0.0,0,0,-,806.2,0.1726027397260274,0.6511325181171949,2.0636275649013536,-2.1690093394518666,0.6156835175577275,0.8,0.8136998674550409
1939,1182,3662,ICICIBANK,2021-11-25,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.0,0,0.0,0.0,0,0,-,752.6,0.0958904109589041,0.7907358856076309,0.7174428531857554,-0.18785257999543103,4.944584909922759,0.8,1.0059205252188335
1389,632,1871,ICICIBANK,2021-10-29,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.05,0,0.0,0.0,0,0,802.05,808.0,0.16986301369863013,0.6583601261134004,2.0302102370345096,-1.9519485394359093,0.691620215257546,0.8,0.8122062956208956
1446,689,2077,ICICIBANK,2021-11-02,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.05,0,0.0,0.0,0,0,800.95,806.6,0.1589041095890411,0.6790779083074583,1.7977299614281554,-0.9520515866938642,1.5590569328171031,0.8,0.8511477355970907
