pip install --upgrade git+https://github.com/StreamAlpha/pynse.git
,Historical Contract-wise Price Volume Data,Historical Contract-wise Price Volume Data,Historical Contract-wise Price Volume Data,Historical Contract-wise Price Volume Data,Historical Contract-wise Price Volume Data,Historical Contract-wise Price Volume Data,Historical Contract-wise Price Volume Data,Historical Contract-wise Price Volume Data,Historical Contract-wise Price Volume Data,Historical Contract-wise Price Volume Data,Historical Contract-wise Price Volume Data,Historical Contract-wise Price Volume Data,Historical Contract-wise Price Volume Data,Historical Contract-wise Price Volume Data,Historical Contract-wise Price Volume Data,Historical Contract-wise Price Volume Data,Historical Contract-wise Price Volume Data
,Symbol,Date,Expiry,Optiontype,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover * in Lacs,Premium Turnover ** in Lacs,Open Int,Change in OI,Underlying Value
0,SBIN,01-Oct-2021,30-Dec-2021,CE,550.0,0.0,0.0,0.0,12.8,0.0,12.2,0,0.0,0.0,0,0,-
1,SBIN,01-Oct-2021,30-Dec-2021,CE,290.0,0.0,0.0,0.0,166.4,0.0,165.0,0,0.0,0.0,0,0,-
2,SBIN,01-Oct-2021,30-Dec-2021,CE,535.0,0.0,0.0,0.0,15.65,0.0,15.0,0,0.0,0.0,0,0,-
3,SBIN,01-Oct-2021,30-Dec-2021,CE,540.0,0.0,0.0,0.0,14.65,0.0,14.0,0,0.0,0.0,0,0,-
4,SBIN,01-Oct-2021,30-Dec-2021,CE,545.0,0.0,0.0,0.0,13.7,0.0,13.1,0,0.0,0.0,0,0,-
5,SBIN,01-Oct-2021,30-Dec-2021,CE,515.0,0.0,0.0,0.0,20.25,0.0,19.5,0,0.0,0.0,0,0,-
6,SBIN,01-Oct-2021,30-Dec-2021,CE,520.0,0.0,0.0,0.0,19.0,0.0,18.3,0,0.0,0.0,0,0,-
7,SBIN,01-Oct-2021,30-Dec-2021,CE,525.0,0.0,0.0,0.0,17.85,0.0,17.1,0,0.0,0.0,0,0,-
8,SBIN,01-Oct-2021,30-Dec-2021,CE,530.0,0.0,0.0,0.0,16.7,0.0,16.05,0,0.0,0.0,0,0,-
9,SBIN,01-Oct-2021,30-Dec-2021,CE,500.0,0.0,0.0,0.0,24.45,0.0,23.6,0,0.0,0.0,0,0,-
10,SBIN,01-Oct-2021,30-Dec-2021,CE,505.0,0.0,0.0,0.0,22.95,0.0,22.15,0,0.0,0.0,0,0,-
11,SBIN,01-Oct-2021,30-Dec-2021,CE,510.0,0.0,0.0,0.0,21.55,0.0,20.8,0,0.0,0.0,0,0,-
12,SBIN,01-Oct-2021,30-Dec-2021,CE,485.0,0.0,0.0,0.0,29.35,0.0,28.4,0,0.0,0.0,0,0,-
13,SBIN,01-Oct-2021,30-Dec-2021,CE,490.0,0.0,0.0,0.0,27.6,0.0,26.7,0,0.0,0.0,0,0,-
14,SBIN,01-Oct-2021,30-Dec-2021,CE,495.0,0.0,0.0,0.0,26.0,0.0,25.1,0,0.0,0.0,0,0,-
15,SBIN,01-Oct-2021,30-Dec-2021,CE,470.0,0.0,0.0,0.0,35.0,0.0,33.95,0,0.0,0.0,0,0,-
16,SBIN,01-Oct-2021,30-Dec-2021,CE,475.0,0.0,0.0,0.0,33.0,0.0,32.0,0,0.0,0.0,0,0,-
17,SBIN,01-Oct-2021,30-Dec-2021,CE,480.0,0.0,0.0,0.0,31.15,0.0,30.15,0,0.0,0.0,0,0,-
18,SBIN,01-Oct-2021,30-Dec-2021,CE,450.0,0.0,0.0,0.0,43.8,0.0,42.7,0,0.0,0.0,0,0,-
19,SBIN,01-Oct-2021,30-Dec-2021,CE,455.0,0.0,0.0,0.0,41.45,0.0,40.35,0,0.0,0.0,0,0,-
20,SBIN,01-Oct-2021,30-Dec-2021,CE,460.0,0.0,0.0,0.0,39.2,0.0,38.15,0,0.0,0.0,0,0,-
21,SBIN,01-Oct-2021,30-Dec-2021,CE,465.0,0.0,0.0,0.0,37.05,0.0,36.0,0,0.0,0.0,0,0,-
22,SBIN,01-Oct-2021,30-Dec-2021,CE,435.0,0.0,0.0,0.0,51.45,0.0,50.25,0,0.0,0.0,0,0,-
23,SBIN,01-Oct-2021,30-Dec-2021,CE,440.0,0.0,0.0,0.0,48.8,0.0,47.65,0,0.0,0.0,0,0,-
24,SBIN,01-Oct-2021,30-Dec-2021,CE,445.0,0.0,0.0,0.0,46.25,0.0,45.1,0,0.0,0.0,0,0,-
25,SBIN,01-Oct-2021,30-Dec-2021,CE,420.0,0.0,0.0,0.0,60.0,0.0,58.75,0,0.0,0.0,0,0,-
26,SBIN,01-Oct-2021,30-Dec-2021,CE,425.0,0.0,0.0,0.0,57.05,0.0,55.8,0,0.0,0.0,0,0,-
27,SBIN,01-Oct-2021,30-Dec-2021,CE,430.0,0.0,0.0,0.0,54.2,0.0,53.0,0,0.0,0.0,0,0,-
28,SBIN,01-Oct-2021,30-Dec-2021,CE,405.0,0.0,0.0,0.0,69.45,0.0,68.15,0,0.0,0.0,0,0,-
29,SBIN,01-Oct-2021,30-Dec-2021,CE,410.0,0.0,0.0,0.0,66.2,0.0,64.9,0,0.0,0.0,0,0,-
30,SBIN,01-Oct-2021,30-Dec-2021,CE,415.0,0.0,0.0,0.0,63.05,0.0,61.8,0,0.0,0.0,0,0,-
31,SBIN,01-Oct-2021,30-Dec-2021,CE,390.0,0.0,0.0,0.0,79.85,0.0,78.5,0,0.0,0.0,0,0,-
32,SBIN,01-Oct-2021,30-Dec-2021,CE,395.0,0.0,0.0,0.0,76.3,0.0,74.95,0,0.0,0.0,0,0,-
33,SBIN,01-Oct-2021,30-Dec-2021,CE,400.0,0.0,0.0,0.0,72.85,0.0,71.5,0,0.0,0.0,0,0,-
34,SBIN,01-Oct-2021,30-Dec-2021,CE,375.0,0.0,0.0,0.0,91.0,0.0,89.65,0,0.0,0.0,0,0,-
35,SBIN,01-Oct-2021,30-Dec-2021,CE,380.0,0.0,0.0,0.0,87.2,0.0,85.85,0,0.0,0.0,0,0,-
36,SBIN,01-Oct-2021,30-Dec-2021,CE,385.0,0.0,0.0,0.0,83.5,0.0,82.1,0,0.0,0.0,0,0,-
37,SBIN,01-Oct-2021,30-Dec-2021,CE,355.0,0.0,0.0,0.0,107.15,0.0,105.75,0,0.0,0.0,0,0,-
38,SBIN,01-Oct-2021,30-Dec-2021,CE,360.0,0.0,0.0,0.0,103.0,0.0,101.6,0,0.0,0.0,0,0,-
39,SBIN,01-Oct-2021,30-Dec-2021,CE,365.0,0.0,0.0,0.0,98.95,0.0,97.55,0,0.0,0.0,0,0,-
40,SBIN,01-Oct-2021,30-Dec-2021,CE,370.0,0.0,0.0,0.0,94.95,0.0,93.55,0,0.0,0.0,0,0,-
41,SBIN,01-Oct-2021,30-Dec-2021,CE,340.0,0.0,0.0,0.0,120.05,0.0,118.65,0,0.0,0.0,0,0,-
42,SBIN,01-Oct-2021,30-Dec-2021,CE,345.0,0.0,0.0,0.0,115.7,0.0,114.25,0,0.0,0.0,0,0,-
43,SBIN,01-Oct-2021,30-Dec-2021,CE,350.0,0.0,0.0,0.0,111.4,0.0,110.0,0,0.0,0.0,0,0,-
44,SBIN,01-Oct-2021,30-Dec-2021,CE,325.0,0.0,0.0,0.0,133.5,0.0,132.05,0,0.0,0.0,0,0,-
45,SBIN,01-Oct-2021,30-Dec-2021,CE,330.0,0.0,0.0,0.0,128.95,0.0,127.55,0,0.0,0.0,0,0,-
46,SBIN,01-Oct-2021,30-Dec-2021,CE,335.0,0.0,0.0,0.0,124.45,0.0,123.05,0,0.0,0.0,0,0,-
47,SBIN,01-Oct-2021,30-Dec-2021,CE,310.0,0.0,0.0,0.0,147.35,0.0,145.95,0,0.0,0.0,0,0,-
48,SBIN,01-Oct-2021,30-Dec-2021,CE,315.0,0.0,0.0,0.0,142.7,0.0,141.3,0,0.0,0.0,0,0,-
49,SBIN,01-Oct-2021,30-Dec-2021,CE,320.0,0.0,0.0,0.0,138.05,0.0,136.65,0,0.0,0.0,0,0,-
50,SBIN,01-Oct-2021,30-Dec-2021,CE,295.0,0.0,0.0,0.0,161.6,0.0,160.2,0,0.0,0.0,0,0,-
51,SBIN,01-Oct-2021,30-Dec-2021,CE,300.0,0.0,0.0,0.0,156.85,0.0,155.4,0,0.0,0.0,0,0,-
