Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,107.01,107.03,104.82,105.26,99.03,40635300
2016-01-04,102.61,105.37,102,105.35,99.12,67649400
2016-01-05,105.75,105.85,102.41,102.71,96.63,55791000
2016-01-06,100.56,102.37,99.87,100.7,94.74,68457400
2016-01-07,98.68,100.13,96.43,96.45,90.74,81094400
2016-01-08,98.55,99.11,96.76,96.96,91.22,70798000
2016-01-11,98.97,99.06,97.34,98.53,92.7,49739400
2016-01-12,100.55,100.69,98.84,99.96,94.05,49154200
2016-01-13,100.32,101.19,97.3,97.39,91.63,62439600
2016-01-14,97.96,100.48,95.74,99.52,93.63,63170100
2016-01-15,96.2,97.71,95.36,97.13,91.38,79010000
2016-01-19,98.41,98.65,95.5,96.66,90.94,53087700
2016-01-20,95.1,98.19,93.42,96.79,91.06,72334400
2016-01-21,97.06,97.88,94.94,96.3,90.6,52161500
2016-01-22,98.63,101.46,98.37,101.42,95.42,65800500
2016-01-25,101.52,101.53,99.21,99.44,93.56,51794500
2016-01-26,99.93,100.88,98.07,99.99,94.07,75077000
2016-01-27,96.04,96.63,93.34,93.42,87.89,133369700
2016-01-28,93.79,94.52,92.39,94.09,88.52,55678800
2016-01-29,94.79,97.34,94.35,97.34,91.58,64416500
2016-02-01,96.47,96.71,95.4,96.43,90.73,40943500
2016-02-02,95.42,96.04,94.28,94.48,88.89,37357200
2016-02-03,95,96.84,94.08,96.35,90.65,45964300
2016-02-04,95.86,97.33,95.19,96.6,91.38,46471700
2016-02-05,96.52,96.92,93.69,94.02,88.94,46418100
2016-02-08,93.13,95.7,93.04,95.01,89.87,54021400
2016-02-09,94.29,95.94,93.93,94.99,89.86,44331200
2016-02-10,95.92,96.35,94.1,94.27,89.17,42343600
2016-02-11,93.79,94.72,92.59,93.7,88.63,50074700
2016-02-12,94.19,94.5,93.01,93.99,88.91,40351400
2016-02-16,95.02,96.85,94.61,96.64,91.42,49057900
2016-02-17,96.67,98.21,96.15,98.12,92.82,44863200
2016-02-18,98.84,98.89,96.09,96.26,91.06,39021000
2016-02-19,96,96.76,95.8,96.04,90.85,35374200
2016-02-22,96.31,96.9,95.92,96.88,91.64,34280800
2016-02-23,96.4,96.5,94.55,94.69,89.57,31942600
2016-02-24,93.98,96.38,93.32,96.1,90.91,36255700
2016-02-25,96.05,96.76,95.25,96.76,91.53,27582700
2016-02-26,97.2,98.02,96.58,96.91,91.67,28991100
2016-02-29,96.86,98.23,96.65,96.69,91.46,35216300
2016-03-01,97.65,100.77,97.42,100.53,95.1,50407100
2016-03-02,100.51,100.89,99.64,100.75,95.3,33169600
2016-03-03,100.58,101.71,100.45,101.5,96.01,36955700
2016-03-04,102.37,103.75,101.37,103.01,97.44,46055100
2016-03-07,102.39,102.83,100.96,101.87,96.36,35828900
2016-03-08,100.78,101.76,100.4,101.03,95.57,31561900
2016-03-09,101.31,101.58,100.27,101.12,95.65,27201700
2016-03-10,101.41,102.24,100.15,101.17,95.7,33513600
2016-03-11,102.24,102.28,101.5,102.26,96.73,27408200
2016-03-14,101.91,102.91,101.78,102.52,96.98,25076100
2016-03-15,103.96,105.18,103.85,104.58,98.93,40067700
2016-03-16,104.61,106.31,104.59,105.97,100.24,38303500
2016-03-17,105.52,106.47,104.96,105.8,100.08,34420700
2016-03-18,106.34,106.5,105.19,105.92,100.19,44205200
2016-03-21,105.93,107.65,105.14,105.91,100.18,35502700
2016-03-22,105.25,107.29,105.21,106.72,100.95,32444400
2016-03-23,106.48,107.07,105.9,106.13,100.39,25703500
2016-03-24,105.47,106.25,104.89,105.67,99.96,26133000
2016-03-28,106,106.19,105.06,105.19,99.5,19411400
2016-03-29,104.89,107.79,104.88,107.68,101.86,31190100
2016-03-30,108.65,110.42,108.6,109.56,103.64,45601100
2016-03-31,109.72,109.9,108.88,108.99,103.1,25888400
2016-04-01,108.78,110,108.2,109.99,104.04,25874000
2016-04-04,110.42,112.19,110.27,111.12,105.11,37356200
2016-04-05,109.51,110.73,109.42,109.81,103.87,26578700
2016-04-06,110.23,110.98,109.2,110.96,104.96,26404100
2016-04-07,109.95,110.42,108.12,108.54,102.67,31801900
2016-04-08,108.91,109.77,108.17,108.66,102.79,23581700
2016-04-11,108.97,110.61,108.83,109.02,103.13,29407500
2016-04-12,109.34,110.5,108.66,110.44,104.47,27232300
2016-04-13,110.8,112.34,110.8,112.04,105.98,33257300
2016-04-14,111.62,112.39,111.33,112.1,106.04,25473900
2016-04-15,112.11,112.3,109.73,109.85,103.91,46939000
2016-04-18,108.89,108.95,106.94,107.48,101.67,60834000
2016-04-19,107.88,108,106.23,106.91,101.13,32384900
2016-04-20,106.64,108.09,106.06,107.13,101.34,30611000
2016-04-21,106.93,106.93,105.52,105.97,100.24,31552500
2016-04-22,105.01,106.48,104.62,105.68,99.97,33683100
2016-04-25,105,105.65,104.51,105.08,99.4,28031600
2016-04-26,103.91,105.3,103.91,104.35,98.71,56016200
2016-04-27,96,98.71,95.68,97.82,92.53,114602100
2016-04-28,97.61,97.88,94.25,94.83,89.7,82242700
2016-04-29,93.99,94.72,92.51,93.74,88.67,68531500
2016-05-02,93.97,94.08,92.4,93.64,88.58,48160100
2016-05-03,94.2,95.74,93.68,95.18,90.03,56831300
2016-05-04,95.2,95.9,93.82,94.19,89.1,41025500
2016-05-05,94,94.07,92.68,93.24,88.74,35890500
2016-05-06,93.37,93.45,91.85,92.72,88.24,43458200
2016-05-09,93,93.77,92.59,92.79,88.31,32936400
2016-05-10,93.33,93.57,92.11,93.42,88.91,33686800
2016-05-11,93.48,93.57,92.46,92.51,88.04,28719100
2016-05-12,92.72,92.78,89.47,90.34,85.98,76314700
2016-05-13,90,91.67,90,90.52,86.15,44392800
2016-05-16,92.39,94.39,91.65,93.88,89.35,61259800
2016-05-17,94.55,94.7,93.01,93.49,88.97,46916900
2016-05-18,94.16,95.21,93.89,94.56,89.99,42062400
2016-05-19,94.64,94.64,93.57,94.2,89.65,30442100
2016-05-20,94.64,95.43,94.52,95.22,90.62,32026000
2016-05-23,95.87,97.19,95.67,96.43,91.77,38018600
2016-05-24,97.22,98.09,96.84,97.9,93.17,35140200
2016-05-25,98.67,99.74,98.11,99.62,94.81,38168800
2016-05-26,99.68,100.73,98.64,100.41,95.56,56331200
2016-05-27,99.44,100.47,99.25,100.35,95.5,36229500
2016-05-31,99.6,100.4,98.82,99.86,95.04,42307200
2016-06-01,99.02,99.54,98.33,98.46,93.7,29173300
2016-06-02,97.6,97.84,96.63,97.72,93,40191600
2016-06-03,97.79,98.27,97.45,97.92,93.19,28062900
2016-06-06,97.99,101.89,97.55,98.63,93.87,23292500
2016-06-07,99.25,99.87,98.96,99.03,94.25,22409500
2016-06-08,99.02,99.56,98.68,98.94,94.16,20848100
2016-06-09,98.5,99.99,98.46,99.65,94.84,26601400
2016-06-10,98.53,99.35,98.48,98.83,94.06,31712900
2016-06-13,98.69,99.12,97.1,97.34,92.64,38020500
2016-06-14,97.32,98.48,96.75,97.46,92.75,31931900
2016-06-15,97.82,98.41,97.03,97.14,92.45,29445200
2016-06-16,96.45,97.75,96.07,97.55,92.84,31326800
2016-06-17,96.62,96.65,95.3,95.33,90.73,61008200
2016-06-20,96,96.57,95.03,95.1,90.51,34411900
2016-06-21,94.94,96.35,94.68,95.91,91.28,35546400
2016-06-22,96.25,96.89,95.35,95.55,90.94,29219100
2016-06-23,95.94,96.29,95.25,96.1,91.46,32240200
2016-06-24,92.91,94.66,92.65,93.4,88.89,75311400
2016-06-27,93,93.05,91.5,92.04,87.59,45489600
2016-06-28,92.9,93.66,92.14,93.59,89.07,40444900
2016-06-29,93.97,94.55,93.63,94.4,89.84,36531000
2016-06-30,94.44,95.77,94.3,95.6,90.98,35836400
2016-07-01,95.49,96.47,95.33,95.89,91.26,26026500
2016-07-05,95.39,95.4,94.46,94.99,90.4,27705200
2016-07-06,94.6,95.66,94.37,95.53,90.92,30949100
2016-07-07,95.7,96.5,95.62,95.94,91.31,25139600
2016-07-08,96.49,96.89,96.05,96.68,92.01,28912100
2016-07-11,96.75,97.65,96.73,96.98,92.3,23794900
2016-07-12,97.17,97.7,97.12,97.42,92.71,24167500
2016-07-13,97.41,97.67,96.84,96.87,92.19,25892200
2016-07-14,97.39,98.99,97.32,98.79,94.02,38919000
2016-07-15,98.92,99.3,98.5,98.78,94.01,30137000
2016-07-18,98.7,100.13,98.6,99.83,95.01,36493900
2016-07-19,99.56,100,99.34,99.87,95.05,23779900
2016-07-20,100,100.46,99.74,99.96,95.13,26276000
2016-07-21,99.83,101,99.13,99.43,94.63,32702000
2016-07-22,99.26,99.3,98.31,98.66,93.9,28313700
2016-07-25,98.25,98.84,96.92,97.34,92.64,40382900
2016-07-26,96.82,97.97,96.42,96.67,92,56239800
2016-07-27,104.27,104.35,102.75,102.95,97.98,92344800
2016-07-28,102.83,104.45,102.82,104.34,99.3,39869800
2016-07-29,104.19,104.55,103.68,104.21,99.18,27733700
2016-08-01,104.41,106.15,104.41,106.05,100.93,38167900
2016-08-02,106.05,106.07,104,104.48,99.43,33816600
2016-08-03,104.81,105.84,104.77,105.79,100.68,30202600
2016-08-04,105.58,106,105.28,105.87,101.3,27408700
2016-08-05,106.27,107.65,106.18,107.48,102.84,40553400
2016-08-08,107.52,108.37,107.16,108.37,103.69,28037200
2016-08-09,108.23,108.94,108.01,108.81,104.12,26315200
2016-08-10,108.71,108.9,107.76,108,103.34,24008500
2016-08-11,108.52,108.93,107.85,107.93,103.27,27484500
2016-08-12,107.78,108.44,107.78,108.18,103.51,18660400
2016-08-15,108.14,109.54,108.08,109.48,104.76,25868200
2016-08-16,109.63,110.23,109.21,109.38,104.66,33794400
2016-08-17,109.1,109.37,108.34,109.22,104.51,25356000
2016-08-18,109.23,109.6,109.02,109.08,104.37,21984700
2016-08-19,108.77,109.69,108.36,109.36,104.64,25368100
2016-08-22,108.86,109.1,107.85,108.51,103.83,25820200
2016-08-23,108.59,109.32,108.53,108.85,104.15,21257700
2016-08-24,108.57,108.75,107.68,108.03,103.37,23675100
2016-08-25,107.39,107.88,106.68,107.57,102.93,25086200
2016-08-26,107.41,107.95,106.31,106.94,102.33,27766300
